B00, 100
B00, Trade, 85235.096, 135, S11, B00, 1
B00, Trade, 85250.500, 124, S09, B00, 1
B00, Trade, 85254.808, 134, S13, B00, 1
B00, Trade, 85264.615, 129, S06, B00, 1
B00, Trade, 85271.865, 136, S17, B00, 1
B00, Trade, 85284.750, 124, S24, B00, 1
B00, Trade, 85293.173, 134, S02, B00, 1
B00, Trade, 85302.212, 134, S07, B00, 1
B00, Trade, 85366.577, 128, B00, S04, 1
B00, Trade, 85375.173, 131, S11, B00, 1
B00, Trade, 85389.308, 130, S21, B00, 1
B00, Trade, 85393.692, 135, S22, B00, 1
B00, Trade, 85412.038, 134, S13, B00, 1
B00, Trade, 85414.250, 133, S13, B00, 1
B00, Trade, 85432.462, 129, S16, B00, 1
B00, Trade, 85440.385, 130, S23, B00, 1
B00, Trade, 85445.192, 133, S18, B00, 1
B00, Trade, 85460.288, 127, S23, B00, 1
B00, Trade, 85472.865, 128, S16, B00, 1
B00, Trade, 85485.019, 125, B00, S09, 1
B00, Trade, 85492.923, 130, S13, B00, 1
B00, Trade, 85505.077, 131, S16, B00, 1
B00, Trade, 85523.135, 131, S24, B00, 1
B00, Trade, 85537.731, 129, S13, B00, 1
B00, Trade, 85551.731, 128, B00, S20, 1
B00, Trade, 85552.769, 136, S10, B00, 1
B00, Trade, 85567.750, 129, P00, B00, 1
B00, Trade, 85579.885, 130, B00, S06, 1
B00, Trade, 85588.308, 133, S09, B00, 1
B00, Trade, 85599.000, 134, B00, S04, 1
B00, Trade, 85609.404, 134, S23, B00, 1
B00, Trade, 85618.423, 137, S12, B00, 1
B00, Trade, 85642.077, 129, S13, B00, 1
B00, Trade, 85643.827, 128, B00, S10, 1
B00, Trade, 85660.096, 135, S23, B00, 1
B00, Trade, 85667.404, 130, S16, B00, 1
B00, Trade, 85677.135, 131, S07, B00, 1
B00, Trade, 85688.000, 132, S09, B00, 1
B00, Trade, 85698.808, 133, S11, B00, 1
B00, Trade, 85706.346, 131, S13, B00, 1
B00, Trade, 85724.000, 125, B00, S07, 1
B00, Trade, 85733.615, 142, S22, B00, 1
B00, Trade, 85740.250, 125, P00, B00, 1
B00, Trade, 85759.481, 130, B00, S15, 1
B00, Trade, 85773.635, 121, B00, S00, 1
B00, Trade, 85779.308, 128, S14, B00, 1
B00, Trade, 85792.712, 128, S04, B00, 1
B00, Trade, 85799.731, 130, S21, B00, 1
B00, Trade, 85809.942, 129, S23, B00, 1
B00, Trade, 85820.538, 136, S12, B00, 1
B00, Trade, 85829.442, 132, P00, B00, 1
B00, Trade, 85836.250, 136, S10, B00, 1
B00, Trade, 85843.962, 134, S04, B00, 1
B00, Trade, 85855.231, 128, S24, B00, 1
