B00, 100
B00, Trade, 85059.519, 129, B00, S04, 1
B00, Trade, 85068.885, 130, B00, S19, 1
B00, Trade, 85082.308, 134, S08, B00, 1
B00, Trade, 85085.192, 131, B00, S07, 1
B00, Trade, 85095.538, 134, B00, S15, 1
B00, Trade, 85110.423, 132, B00, S13, 1
B00, Trade, 85119.192, 133, B00, S05, 1
B00, Trade, 85138.981, 135, S08, B00, 1
B00, Trade, 85148.865, 123, S09, B00, 1
B00, Trade, 85175.212, 133, S23, B00, 1
B00, Trade, 85192.288, 132, B00, S08, 1
B00, Trade, 85210.635, 126, B00, S07, 1
B00, Trade, 85219.404, 123, B00, S16, 1
B00, Trade, 85234.750, 132, B00, S13, 1
B00, Trade, 85274.442, 121, B00, S13, 1
B00, Trade, 85276.865, 129, B00, S21, 1
B00, Trade, 85333.981, 131, B00, S17, 1
B00, Trade, 85335.288, 130, S18, B00, 1
B00, Trade, 85356.346, 133, B00, S05, 1
B00, Trade, 85371.731, 129, B00, S13, 1
B00, Trade, 85377.231, 126, S23, B00, 1
B00, Trade, 85383.365, 126, B00, S24, 1
B00, Trade, 85395.481, 131, B00, S07, 1
B00, Trade, 85404.173, 126, B00, S18, 1
B00, Trade, 85415.192, 137, S08, B00, 1
B00, Trade, 85427.192, 127, B00, S00, 1
B00, Trade, 85439.308, 131, B00, S20, 1
B00, Trade, 85454.731, 133, B00, S06, 1
B00, Trade, 85457.654, 132, B00, S13, 1
B00, Trade, 85472.981, 122, B00, S23, 1
B00, Trade, 85482.808, 134, S06, B00, 1
B00, Trade, 85487.885, 131, B00, S10, 1
B00, Trade, 85502.596, 129, B00, S00, 1
B00, Trade, 85513.077, 127, B00, S24, 1
B00, Trade, 85523.865, 124, B00, S12, 1
B00, Trade, 85526.846, 127, B00, S09, 1
B00, Trade, 85538.654, 129, B00, S12, 1
B00, Trade, 85553.154, 132, B00, S11, 1
B00, Trade, 85557.923, 123, B00, S17, 1
B00, Trade, 85572.558, 132, S15, B00, 1
B00, Trade, 85584.981, 129, B00, S19, 1
B00, Trade, 85592.846, 128, B00, S10, 1
B00, Trade, 85598.308, 131, B00, S00, 1
B00, Trade, 85613.462, 130, B00, S20, 1
B00, Trade, 85622.019, 134, B00, S23, 1
B00, Trade, 85634.135, 132, B00, S02, 1
B00, Trade, 85644.769, 126, B00, S23, 1
B00, Trade, 85662.096, 128, B00, S04, 1
B00, Trade, 85671.769, 129, B00, S24, 1
B00, Trade, 85685.558, 131, B00, S01, 1
B00, Trade, 85692.481, 125, B00, S12, 1
B00, Trade, 85698.827, 134, B00, S08, 1
B00, Trade, 85705.558, 129, S05, B00, 1
B00, Trade, 85730.019, 133, B00, S09, 1
B00, Trade, 85737.885, 131, B00, S13, 1
B00, Trade, 85753.038, 127, B00, S02, 1
B00, Trade, 85756.558, 126, B00, S10, 1
B00, Trade, 85793.769, 126, B00, S18, 1
B00, Trade, 85799.750, 126, B00, S13, 1
B00, Trade, 85822.788, 126, B00, S09, 1
B00, Trade, 85833.769, 130, B00, S14, 1
B00, Trade, 85854.846, 130, B00, S03, 1
B00, Trade, 85880.096, 124, B00, S03, 1
B00, Trade, 85892.462, 131, B00, S15, 1
B00, Trade, 85907.173, 130, B00, S15, 1
B00, Trade, 85924.846, 129, S20, B00, 1
B00, Trade, 85943.673, 124, B00, S03, 1
B00, Trade, 85966.673, 132, B00, S24, 1
B00, Trade, 85974.519, 128, B00, S07, 1
B00, Trade, 85981.923, 128, S00, B00, 1
B00, Trade, 85995.615, 124, S12, B00, 1
B00, Trade, 86013.038, 129, B00, S24, 1
B00, Trade, 86025.846, 123, S03, B00, 1
B00, Trade, 86043.385, 128, B00, S15, 1
B00, Trade, 86045.981, 130, B00, S13, 1
B00, Trade, 86060.615, 126, B00, S13, 1
B00, Trade, 86070.769, 132, B00, S05, 1
B00, Trade, 86082.942, 134, B00, S21, 1
B00, Trade, 86087.404, 132, S06, B00, 1
B00, Trade, 86099.462, 127, B00, S03, 1
B00, Trade, 86125.712, 133, B00, S10, 1
B00, Trade, 86141.038, 128, B00, S24, 1
B00, Trade, 86157.077, 133, S08, B00, 1
B00, Trade, 86172.577, 126, B00, S20, 1
B00, Trade, 86182.615, 126, B00, S13, 1
B00, Trade, 86195.808, 132, B00, S07, 1
B00, Trade, 86211.712, 136, S19, B00, 1
B00, Trade, 86232.923, 135, B00, S00, 1
B00, Trade, 86238.500, 135, S15, B00, 1
B00, Trade, 86257.692, 124, B00, S12, 1
B00, Trade, 86269.308, 136, S11, B00, 1
B00, Trade, 86285.058, 126, B00, S11, 1
B00, Trade, 86313.769, 128, B00, S21, 1
B00, Trade, 86332.327, 127, B00, S04, 1
B00, Trade, 86340.865, 124, B00, S10, 1
B00, Trade, 86349.327, 126, B00, S07, 1
B00, Trade, 86362.481, 127, B00, S05, 1
B00, Trade, 86370.615, 132, S15, B00, 1
B00, Trade, 86381.365, 124, B00, S09, 1
B00, Trade, 86396.173, 129, S19, B00, 1
B01, 100
B01, Trade, 85243.077, 127, B01, S03, 1
B01, Trade, 85244.712, 132, S19, B01, 1
B01, Trade, 85255.654, 127, B01, S12, 1
B01, Trade, 85266.827, 135, S06, B01, 1
B01, Trade, 85281.192, 130, S00, B01, 1
B01, Trade, 85293.365, 129, S13, B01, 1
B01, Trade, 85315.827, 122, B01, S01, 1
B01, Trade, 85318.538, 125, S11, B01, 1
B01, Trade, 85328.462, 127, B01, S18, 1
B01, Trade, 85338.231, 138, S01, B01, 1
B01, Trade, 85352.596, 133, S06, B01, 1
B01, Trade, 85363.404, 136, S14, B01, 1
B01, Trade, 85388.596, 134, S21, B01, 1
B01, Trade, 85394.365, 133, P01, B01, 1
B01, Trade, 85405.615, 120, S01, B01, 1
B01, Trade, 85417.173, 138, S09, B01, 1
B01, Trade, 85423.673, 132, P01, B01, 1
B01, Trade, 85435.442, 135, S22, B01, 1
B01, Trade, 85452.192, 130, P01, B01, 1
B01, Trade, 85469.654, 131, S09, B01, 1
B01, Trade, 85489.981, 136, S14, B01, 1
B01, Trade, 85498.981, 129, S06, B01, 1
B01, Trade, 85512.500, 132, S00, B01, 1
B01, Trade, 85518.904, 130, S20, B01, 1
B01, Trade, 85527.231, 131, S17, B01, 1
B01, Trade, 85535.692, 130, B01, S09, 1
B01, Trade, 85558.827, 122, B01, S12, 1
B01, Trade, 85566.558, 136, P01, B01, 1
B01, Trade, 85573.846, 132, P01, B01, 1
B01, Trade, 85591.096, 135, B01, S24, 1
B01, Trade, 85593.673, 125, S02, B01, 1
B01, Trade, 85603.404, 133, P01, B01, 1
B01, Trade, 85617.942, 136, S00, B01, 1
B01, Trade, 85639.288, 130, B01, S20, 1
B01, Trade, 85657.904, 127, B01, S19, 1
B01, Trade, 85666.269, 133, S23, B01, 1
