B00, 100
B00, Trade, 85078.654, 135, P00, B00, 1
B00, Trade, 85094.000, 131, S02, B00, 1
B00, Trade, 85100.577, 132, S10, B00, 1
B00, Trade, 85111.981, 127, B00, S21, 1
B00, Trade, 85119.538, 130, B00, S12, 1
B00, Trade, 85121.865, 132, S17, B00, 1
B00, Trade, 85135.019, 129, B00, S00, 1
B00, Trade, 85152.808, 129, S17, B00, 1
B00, Trade, 85160.231, 135, S21, B00, 1
B00, Trade, 85171.865, 126, S17, B00, 1
B00, Trade, 85173.769, 125, S05, B00, 1
B00, Trade, 85192.442, 132, S24, B00, 1
B00, Trade, 85197.635, 130, S09, B00, 1
B00, Trade, 85212.827, 116, S09, B00, 1
B00, Trade, 85215.288, 126, S00, B00, 1
B00, Trade, 85236.615, 130, S13, B00, 1
B00, Trade, 85252.673, 134, S24, B00, 1
B00, Trade, 85263.558, 134, S15, B00, 1
B00, Trade, 85291.192, 129, B00, S01, 1
B00, Trade, 85300.096, 126, P00, B00, 1
B00, Trade, 85328.423, 136, S22, B00, 1
B00, Trade, 85338.000, 133, S09, B00, 1
B00, Trade, 85359.519, 128, S10, B00, 1
B00, Trade, 85377.904, 128, S16, B00, 1
B00, Trade, 85391.135, 129, B00, S05, 1
B00, Trade, 85393.923, 133, S24, B00, 1
B00, Trade, 85408.750, 135, S02, B00, 1
B00, Trade, 85415.827, 129, B00, S09, 1
B00, Trade, 85422.038, 134, S10, B00, 1
B00, Trade, 85439.346, 133, S09, B00, 1
B00, Trade, 85459.192, 121, B00, S19, 1
B00, Trade, 85460.750, 126, S16, B00, 1
B00, Trade, 85465.154, 128, S11, B00, 1
B00, Trade, 85481.712, 130, B00, S00, 1
B00, Trade, 85492.788, 128, S14, B00, 1
B00, Trade, 85500.346, 128, P00, B00, 1
B00, Trade, 85514.596, 135, S08, B00, 1
B00, Trade, 85548.115, 135, S05, B00, 1
B00, Trade, 85552.769, 129, S08, B00, 1
B00, Trade, 85566.096, 134, S03, B00, 1
B00, Trade, 85573.750, 129, B00, S22, 1
B00, Trade, 85600.000, 124, S03, B00, 1
B00, Trade, 85608.577, 126, S04, B00, 1
B00, Trade, 85622.212, 128, S07, B00, 1
B00, Trade, 85633.673, 138, S23, B00, 1
B00, Trade, 85661.769, 127, B00, S02, 1
B00, Trade, 85668.269, 134, S13, B00, 1
B00, Trade, 85682.808, 129, S06, B00, 1
B00, Trade, 85687.885, 129, S17, B00, 1
B00, Trade, 85703.692, 130, S16, B00, 1
B00, Trade, 85711.654, 129, S08, B00, 1
B00, Trade, 85721.385, 134, S16, B00, 1
B00, Trade, 85730.981, 130, S24, B00, 1
B00, Trade, 85742.596, 131, S18, B00, 1
B00, Trade, 85745.308, 128, S23, B00, 1
B00, Trade, 85766.808, 130, B00, S02, 1
B00, Trade, 85776.135, 150, B00, S01, 1
B00, Trade, 85786.173, 124, P00, B00, 1
B00, Trade, 85801.500, 138, S24, B00, 1
B00, Trade, 85808.404, 128, S04, B00, 1
B00, Trade, 85821.731, 132, S22, B00, 1
B00, Trade, 85827.115, 131, S10, B00, 1
B00, Trade, 85833.827, 135, S17, B00, 1
B00, Trade, 85863.269, 124, S04, B00, 1
B00, Trade, 85864.654, 129, S11, B00, 1
B00, Trade, 85883.096, 131, S11, B00, 1
B00, Trade, 85908.923, 121, B00, S07, 1
B00, Trade, 85916.827, 132, S02, B00, 1
B00, Trade, 85928.885, 129, S15, B00, 1
B00, Trade, 85937.558, 126, S10, B00, 1
B00, Trade, 85946.288, 126, S16, B00, 1
B00, Trade, 85955.096, 135, S24, B00, 1
B00, Trade, 85973.327, 131, S09, B00, 1
B00, Trade, 86002.962, 133, S24, B00, 1
B00, Trade, 86021.231, 121, B00, S23, 1
B00, Trade, 86027.635, 127, S17, B00, 1
B00, Trade, 86040.135, 133, S21, B00, 1
B00, Trade, 86046.923, 137, P00, B00, 1
B00, Trade, 86076.538, 131, B00, S20, 1
B00, Trade, 86098.692, 133, P00, B00, 1
B00, Trade, 86123.673, 134, P00, B00, 1
B00, Trade, 86133.288, 126, B00, S02, 1
B00, Trade, 86136.577, 129, S08, B00, 1
B00, Trade, 86150.154, 128, S19, B00, 1
B00, Trade, 86173.904, 130, P00, B00, 1
B00, Trade, 86194.788, 134, S17, B00, 1
B00, Trade, 86223.712, 129, B00, S05, 1
B00, Trade, 86233.077, 129, S04, B00, 1
B00, Trade, 86252.635, 133, S04, B00, 1
B00, Trade, 86267.058, 130, P00, B00, 1
B00, Trade, 86278.885, 130, S02, B00, 1
B00, Trade, 86293.481, 122, B00, S03, 1
B00, Trade, 86296.192, 128, S15, B00, 1
B00, Trade, 86308.442, 133, P00, B00, 1
B00, Trade, 86322.981, 128, S08, B00, 1
B00, Trade, 86326.673, 132, S12, B00, 1
B00, Trade, 86341.327, 129, P00, B00, 1
B00, Trade, 86358.192, 130, S16, B00, 1
B00, Trade, 86373.135, 133, S06, B00, 1
B00, Trade, 86389.635, 134, S09, B00, 1
B01, 100
B01, Trade, 84891.462, 128, B01, S22, 1
B01, Trade, 84904.269, 135, B01, S04, 1
B01, Trade, 84911.577, 130, S15, B01, 1
B01, Trade, 84924.000, 129, B01, S11, 1
B01, Trade, 84935.365, 125, S01, B01, 1
B01, Trade, 84953.077, 130, B01, S21, 1
B01, Trade, 84974.096, 124, B01, S03, 1
B01, Trade, 84992.173, 127, P00, B01, 1
B01, Trade, 84996.327, 130, S05, B01, 1
B01, Trade, 85042.519, 130, S11, B01, 1
B01, Trade, 85053.750, 131, S21, B01, 1
B01, Trade, 85079.096, 137, S17, B01, 1
B01, Trade, 85108.192, 130, S18, B01, 1
B01, Trade, 85124.769, 132, B01, S13, 1
B01, Trade, 85157.192, 128, S00, B01, 1
B01, Trade, 85171.731, 129, B01, S19, 1
B01, Trade, 85185.192, 132, S15, B01, 1
B01, Trade, 85201.462, 132, S12, B01, 1
B01, Trade, 85207.000, 126, S09, B01, 1
B01, Trade, 85240.250, 128, B01, S14, 1
B01, Trade, 85246.115, 134, S06, B01, 1
B01, Trade, 85282.154, 130, S10, B01, 1
B01, Trade, 85316.558, 130, B01, S14, 1
B01, Trade, 85327.135, 131, S23, B01, 1
B01, Trade, 85341.250, 125, B01, S14, 1
B01, Trade, 85350.500, 123, B01, S12, 1
B01, Trade, 85359.788, 131, S06, B01, 1
B01, Trade, 85378.288, 126, B01, S12, 1
B01, Trade, 85394.000, 130, B01, S14, 1
B01, Trade, 85396.558, 130, S13, B01, 1
B01, Trade, 85412.365, 131, S05, B01, 1
B01, Trade, 85433.615, 128, B01, S23, 1
B01, Trade, 85451.154, 136, P00, B01, 1
B01, Trade, 85472.327, 132, S02, B01, 1
B01, Trade, 85481.442, 133, B01, S14, 1
B01, Trade, 85494.462, 124, B01, S23, 1
B01, Trade, 85518.538, 134, S07, B01, 1
B01, Trade, 85531.673, 128, B01, S01, 1
B01, Trade, 85538.212, 126, B01, S16, 1
B01, Trade, 85547.577, 128, S22, B01, 1
B01, Trade, 85568.635, 134, B01, S14, 1
B01, Trade, 85581.769, 138, B01, S03, 1
B01, Trade, 85585.827, 137, S06, B01, 1
B01, Trade, 85598.096, 122, B01, S07, 1
B01, Trade, 85604.346, 128, S10, B01, 1
B01, Trade, 85630.654, 131, B01, S24, 1
B01, Trade, 85639.788, 128, S03, B01, 1
B01, Trade, 85659.115, 135, P00, B01, 1
B01, Trade, 85676.000, 124, B01, S23, 1
B01, Trade, 85700.442, 135, S06, B01, 1
B01, Trade, 85712.173, 132, S04, B01, 1
B01, Trade, 85726.712, 128, B01, S14, 1
B01, Trade, 85731.538, 130, B01, S17, 1
B01, Trade, 85745.615, 125, B01, S09, 1
B01, Trade, 85758.154, 129, B01, S19, 1
B01, Trade, 85769.462, 125, B01, S09, 1
B01, Trade, 85770.096, 133, S13, B01, 1
B01, Trade, 85784.788, 123, B01, S09, 1
B01, Trade, 85796.250, 134, S03, B01, 1
B01, Trade, 85810.327, 122, S14, B01, 1
B01, Trade, 85828.615, 129, B01, S07, 1
B01, Trade, 85834.288, 136, S08, B01, 1
B01, Trade, 85863.904, 130, S14, B01, 1
B01, Trade, 85864.846, 133, S08, B01, 1
B01, Trade, 85891.750, 130, S06, B01, 1
B01, Trade, 85904.731, 127, B01, S23, 1
B01, Trade, 85911.962, 126, B01, S24, 1
B01, Trade, 85922.981, 135, B01, S24, 1
B01, Trade, 85935.019, 126, B01, S05, 1
B01, Trade, 85944.808, 126, S04, B01, 1
B01, Trade, 85955.288, 134, B01, S17, 1
B01, Trade, 85968.269, 125, B01, S23, 1
B01, Trade, 85984.346, 130, B01, S23, 1
B01, Trade, 85990.019, 131, B01, S10, 1
B01, Trade, 86003.846, 133, S05, B01, 1
B01, Trade, 86015.519, 125, B01, S01, 1
B01, Trade, 86031.558, 126, B01, S19, 1
B01, Trade, 86043.692, 126, B01, S20, 1
B01, Trade, 86047.827, 126, S18, B01, 1
B01, Trade, 86062.654, 128, B01, S07, 1
B01, Trade, 86085.827, 132, S04, B01, 1
B01, Trade, 86108.096, 131, S03, B01, 1
B01, Trade, 86147.269, 124, S04, B01, 1
B01, Trade, 86179.654, 127, B01, S16, 1
B01, Trade, 86183.250, 133, S02, B01, 1
B01, Trade, 86192.058, 129, B01, S00, 1
B01, Trade, 86205.154, 127, B01, S23, 1
B01, Trade, 86217.904, 129, B01, S10, 1
B01, Trade, 86232.885, 127, B01, S15, 1
B01, Trade, 86254.173, 134, S15, B01, 1
B01, Trade, 86259.327, 135, S19, B01, 1
B01, Trade, 86280.712, 128, B01, S06, 1
B01, Trade, 86290.788, 124, S09, B01, 1
B01, Trade, 86311.788, 135, S16, B01, 1
B01, Trade, 86331.654, 126, B01, S22, 1
B01, Trade, 86334.173, 129, S15, B01, 1
B01, Trade, 86339.865, 129, S04, B01, 1
