dataset_day,simulation,FlashStart,FlashEnd,PT1_profit,PT2_profit
1,1,76261,78208,1486.0,13706.0
1,2,2794,4832,1641.0,12999.0
1,3,70863,71630,1283.0,13646.0
1,4,43514,45190,1513.0,12558.0
1,5,29644,31395,1096.0,13489.0
1,6,7317,9877,1546.0,12988.0
1,7,32191,32921,1506.0,12701.0
1,8,32042,32675,1003.0,13197.0
1,9,41886,43838,1343.0,11974.0
1,10,65879,68500,1297.0,13785.0
2,1,24236,25693,927.0,13774.0
2,2,16894,18470,1304.0,12283.0
2,3,24871,25693,1392.0,12791.0
2,4,47236,48836,1207.0,13419.0
2,5,76930,79538,1208.0,12538.0
2,6,55337,57199,1356.0,12768.0
2,7,44017,47450,1247.0,12875.0
2,8,44868,46591,1363.0,13041.0
2,9,53014,55966,1276.0,13549.0
2,10,39090,40334,610.0,13009.0
3,1,44939,47932,1965.0,13457.0
3,2,1557,3821,2030.0,12826.0
3,3,78232,79313,314.0,13479.0
3,4,43074,43723,1760.0,12944.0
3,5,46948,50326,1618.0,12934.0
3,6,54612,56991,1905.0,12789.0
3,7,69676,72748,700.0,13885.0
3,8,10840,13962,1559.0,12520.0
3,9,34042,34628,2007.0,12939.0
3,10,76654,77147,1149.0,13876.0
