B00, 100
B00, Trade, 85198.712, 161, P01, B00, 1
B00, Trade, 85211.269, 155, B00, S15, 1
B00, Trade, 85228.731, 155, B00, S22, 1
B00, Trade, 85233.327, 152, S15, B00, 1
B00, Trade, 85250.346, 159, S06, B00, 1
B00, Trade, 85259.019, 150, B00, S16, 1
B00, Trade, 85269.250, 151, B00, S11, 1
B00, Trade, 85284.962, 158, B00, S23, 1
B00, Trade, 85289.750, 153, P01, B00, 1
B00, Trade, 85300.308, 155, B00, S07, 1
B00, Trade, 85306.673, 154, B00, S06, 1
B00, Trade, 85317.019, 156, B00, S17, 1
B00, Trade, 85333.058, 149, B00, S05, 1
B00, Trade, 85348.019, 161, B00, S05, 1
B00, Trade, 85351.712, 160, B00, S24, 1
B00, Trade, 85359.712, 159, B00, S10, 1
B00, Trade, 85370.615, 154, B00, S01, 1
B00, Trade, 85380.942, 152, S00, B00, 1
B00, Trade, 85390.192, 156, B00, S09, 1
B00, Trade, 85398.038, 156, B00, S00, 1
B00, Trade, 85404.423, 156, S20, B00, 1
B00, Trade, 85418.481, 153, B00, S24, 1
B00, Trade, 85431.615, 155, B00, S24, 1
B00, Trade, 85442.500, 150, B00, S18, 1
B00, Trade, 85448.827, 157, S15, B00, 1
B00, Trade, 85462.827, 153, B00, S11, 1
B00, Trade, 85480.808, 156, B00, S20, 1
B00, Trade, 85497.885, 149, B00, S08, 1
B00, Trade, 85502.538, 146, B00, S23, 1
B00, Trade, 85514.115, 156, B00, S17, 1
B00, Trade, 85533.942, 159, S04, B00, 1
B00, Trade, 85564.058, 153, B00, S01, 1
B00, Trade, 85574.769, 158, S13, B00, 1
B00, Trade, 85590.365, 150, B00, S09, 1
B00, Trade, 85594.288, 155, B00, S13, 1
B00, Trade, 85609.923, 150, B00, S11, 1
B00, Trade, 85614.577, 147, S06, B00, 1
B00, Trade, 85633.904, 155, S01, B00, 1
B00, Trade, 85638.115, 154, B00, S10, 1
B00, Trade, 85655.923, 151, B00, S21, 1
B00, Trade, 85666.923, 154, B00, S02, 1
B00, Trade, 85671.769, 154, S03, B00, 1
B00, Trade, 85679.385, 160, S08, B00, 1
B00, Trade, 85689.731, 156, S01, B00, 1
B00, Trade, 85699.538, 159, S03, B00, 1
B00, Trade, 85711.827, 153, S13, B00, 1
B00, Trade, 85721.288, 149, S14, B00, 1
B00, Trade, 85731.538, 158, B00, S12, 1
B00, Trade, 85739.231, 158, B00, S19, 1
B00, Trade, 85749.673, 154, B00, S24, 1
B00, Trade, 85754.712, 155, B00, S02, 1
B00, Trade, 85767.596, 157, S19, B00, 1
B00, Trade, 85791.673, 147, B00, S20, 1
B00, Trade, 85799.019, 152, B00, S19, 1
B00, Trade, 85806.865, 155, S18, B00, 1
B00, Trade, 85836.288, 152, B00, S18, 1
B00, Trade, 85859.231, 151, B00, S06, 1
B00, Trade, 85868.000, 155, S23, B00, 1
B00, Trade, 85880.788, 153, B00, S12, 1
B00, Trade, 85900.077, 156, S17, B00, 1
B00, Trade, 85907.250, 153, B00, S06, 1
B00, Trade, 85923.346, 158, S12, B00, 1
B00, Trade, 85927.769, 153, B00, S15, 1
B00, Trade, 85942.192, 156, S22, B00, 1
B00, Trade, 85951.846, 153, B00, P01, 1
B00, Trade, 85960.904, 153, B00, S07, 1
B00, Trade, 85974.654, 150, B00, S09, 1
B00, Trade, 85992.038, 162, S17, B00, 1
B00, Trade, 86016.769, 155, B00, S16, 1
B00, Trade, 86028.462, 154, B00, S18, 1
B00, Trade, 86058.519, 153, S20, B00, 1
B00, Trade, 86074.923, 151, B00, S17, 1
