B00, 100
B00, Trade, 85239.596, 166, S13, B00, 1
B00, Trade, 85244.635, 167, S10, B00, 1
B00, Trade, 85266.192, 173, S02, B00, 1
B00, Trade, 85279.173, 162, P01, B00, 1
B00, Trade, 85291.269, 165, B00, S05, 1
B00, Trade, 85297.769, 167, S10, B00, 1
B00, Trade, 85307.346, 163, S05, B00, 1
B00, Trade, 85322.981, 172, S21, B00, 1
B00, Trade, 85340.673, 162, S17, B00, 1
B00, Trade, 85347.346, 169, S00, B00, 1
B00, Trade, 85357.058, 169, S14, B00, 1
B00, Trade, 85368.808, 168, S20, B00, 1
B00, Trade, 85382.904, 164, S16, B00, 1
B00, Trade, 85391.904, 159, S21, B00, 1
B00, Trade, 85401.808, 170, S20, B00, 1
B00, Trade, 85421.577, 170, P01, B00, 1
B00, Trade, 85424.269, 167, B00, S01, 1
B00, Trade, 85440.558, 170, S24, B00, 1
B00, Trade, 85444.000, 173, S23, B00, 1
B00, Trade, 85452.577, 174, S24, B00, 1
B00, Trade, 85465.096, 169, S22, B00, 1
B00, Trade, 85480.212, 166, S22, B00, 1
B00, Trade, 85490.692, 166, S20, B00, 1
B00, Trade, 85502.481, 164, S13, B00, 1
B00, Trade, 85515.788, 169, B00, S22, 1
B00, Trade, 85525.154, 173, S09, B00, 1
B00, Trade, 85534.058, 175, S20, B00, 1
B00, Trade, 85541.462, 167, S15, B00, 1
B00, Trade, 85550.962, 161, B00, S07, 1
B00, Trade, 85563.365, 166, B00, S16, 1
B00, Trade, 85575.615, 167, P01, B00, 1
B00, Trade, 85589.192, 168, S23, B00, 1
B00, Trade, 85595.212, 165, S11, B00, 1
B00, Trade, 85605.558, 168, S19, B00, 1
B00, Trade, 85616.538, 165, S03, B00, 1
B00, Trade, 85630.904, 170, S13, B00, 1
B00, Trade, 85644.346, 170, S13, B00, 1
B00, Trade, 85662.596, 172, S12, B00, 1
B00, Trade, 85665.615, 169, B00, S12, 1
B00, Trade, 85688.538, 172, S19, B00, 1
B00, Trade, 85698.077, 163, S09, B00, 1
B00, Trade, 85709.327, 167, S09, B00, 1
B00, Trade, 85731.000, 175, S04, B00, 1
B00, Trade, 85736.673, 167, B00, S15, 1
B00, Trade, 85749.635, 167, B00, S06, 1
B00, Trade, 85757.000, 171, P01, B00, 1
B00, Trade, 85766.058, 168, B00, S05, 1
B00, Trade, 85775.942, 171, S10, B00, 1
B00, Trade, 85789.481, 164, S20, B00, 1
B00, Trade, 85795.519, 174, S09, B00, 1
B00, Trade, 85812.904, 172, S14, B00, 1
B00, Trade, 85819.288, 177, S02, B00, 1
B00, Trade, 85834.423, 165, B00, S21, 1
B00, Trade, 85840.192, 170, S02, B00, 1
B00, Trade, 85858.019, 165, B00, S21, 1
B00, Trade, 85862.038, 172, S00, B00, 1
B00, Trade, 85879.692, 172, S11, B00, 1
B00, Trade, 85898.577, 173, S11, B00, 1
B00, Trade, 85916.769, 170, P01, B00, 1
B00, Trade, 85929.558, 166, B00, S10, 1
B00, Trade, 85935.154, 175, S05, B00, 1
B00, Trade, 85959.404, 172, S20, B00, 1
B00, Trade, 85975.077, 171, S03, B00, 1
B00, Trade, 85979.615, 175, S22, B00, 1
B00, Trade, 85992.692, 162, B00, S16, 1
B00, Trade, 86003.077, 170, S00, B00, 1
B00, Trade, 86014.154, 164, B00, S21, 1
B00, Trade, 86018.808, 165, S17, B00, 1
B00, Trade, 86025.750, 173, S01, B00, 1
B00, Trade, 86041.288, 169, S20, B00, 1
B00, Trade, 86050.404, 165, S09, B00, 1
B00, Trade, 86063.423, 172, B00, S10, 1
B00, Trade, 86074.173, 178, S19, B00, 1
B00, Trade, 86079.712, 170, B00, S17, 1
B00, Trade, 86099.192, 168, S20, B00, 1
B00, Trade, 86115.673, 173, S14, B00, 1
B00, Trade, 86127.173, 171, S13, B00, 1
B00, Trade, 86155.923, 172, S01, B00, 1
B00, Trade, 86158.058, 173, S08, B00, 1
B00, Trade, 86173.231, 167, P01, B00, 1
B00, Trade, 86174.654, 177, S15, B00, 1
B00, Trade, 86184.635, 175, B00, S16, 1
B00, Trade, 86194.577, 171, S02, B00, 1
