B00, 100
B00, Trade, 85258.942, 168, B00, S14, 1
B00, Trade, 85267.404, 169, B00, S02, 1
B00, Trade, 85280.135, 166, B00, S13, 1
B00, Trade, 85310.212, 164, B00, S16, 1
B00, Trade, 85316.712, 163, S07, B00, 1
B00, Trade, 85323.808, 168, S03, B00, 1
B00, Trade, 85338.481, 166, B00, S02, 1
B00, Trade, 85345.442, 165, B00, S02, 1
B00, Trade, 85363.654, 163, S12, B00, 1
B00, Trade, 85369.442, 169, B00, S11, 1
B00, Trade, 85377.250, 174, S08, B00, 1
B00, Trade, 85384.654, 173, B00, S18, 1
B00, Trade, 85395.192, 166, B00, S05, 1
B00, Trade, 85412.346, 168, B00, S22, 1
B00, Trade, 85419.423, 171, S24, B00, 1
B00, Trade, 85431.423, 165, S04, B00, 1
B00, Trade, 85441.058, 163, B00, S14, 1
B00, Trade, 85450.558, 169, S20, B00, 1
B00, Trade, 85465.231, 165, B00, S03, 1
B00, Trade, 85468.577, 166, B00, S16, 1
B00, Trade, 85473.788, 171, B00, S01, 1
B00, Trade, 85487.308, 168, B00, S15, 1
B00, Trade, 85500.192, 175, B00, S18, 1
B00, Trade, 85508.231, 160, B00, S23, 1
B00, Trade, 85515.538, 169, S10, B00, 1
B00, Trade, 85524.769, 175, S07, B00, 1
B00, Trade, 85543.942, 171, B00, S12, 1
B00, Trade, 85549.885, 171, S24, B00, 1
B00, Trade, 85558.346, 160, B00, S20, 1
B00, Trade, 85577.096, 167, B00, S02, 1
B00, Trade, 85585.442, 169, B00, S18, 1
B00, Trade, 85592.673, 169, B00, S05, 1
B00, Trade, 85601.885, 169, B00, S03, 1
B00, Trade, 85608.404, 173, S10, B00, 1
B00, Trade, 85622.654, 165, B00, S15, 1
B00, Trade, 85631.827, 170, B00, S14, 1
B00, Trade, 85645.308, 161, B00, S05, 1
B00, Trade, 85665.269, 168, B00, S22, 1
B00, Trade, 85676.019, 169, B00, S07, 1
B00, Trade, 85692.154, 167, B00, S15, 1
B00, Trade, 85697.846, 169, S03, B00, 1
B00, Trade, 85706.096, 169, S03, B00, 1
B00, Trade, 85715.288, 171, S03, B00, 1
B00, Trade, 85727.654, 166, B00, S23, 1
B00, Trade, 85733.212, 163, B00, S22, 1
B00, Trade, 85757.731, 173, S18, B00, 1
B00, Trade, 85763.077, 170, B00, S14, 1
B00, Trade, 85774.865, 168, B00, S05, 1
B00, Trade, 85779.000, 165, B00, S16, 1
