dataset_day,simulation,FlashStart,FlashEnd,PT1_profit,PT2_profit
1,1,14138,17052,1236.0,13088.0
1,2,8374,10825,1473.0,13467.0
1,3,3513,5299,724.0,13412.0
1,4,46743,47091,1606.0,13061.0
1,5,21717,22115,1585.0,12813.0
1,6,68447,69257,1587.0,13575.0
1,7,8761,9580,1522.0,13262.0
1,8,10208,13641,1457.0,14322.0
1,9,18824,19770,1584.0,13579.0
1,10,7851,10001,1333.0,12828.0
2,1,12602,14632,1290.0,13697.0
2,2,73508,77087,1717.0,12708.0
2,3,35250,37485,1423.0,13429.0
2,4,21827,22448,1431.0,13035.0
2,5,68718,70749,1676.0,13485.0
2,6,62719,66183,1575.0,12918.0
2,7,2497,5635,1359.0,13332.0
2,8,57344,58916,1194.0,14009.0
2,9,64455,65587,1814.0,12190.0
2,10,78094,78863,1492.0,12776.0
3,1,19706,21653,1751.0,13416.0
3,2,4386,5724,1697.0,13072.0
3,3,71973,75412,2040.0,13002.0
3,4,9353,12549,1603.0,13396.0
3,5,26139,28879,2071.0,12435.0
3,6,7015,7381,1700.0,13706.0
3,7,20912,23352,1437.0,13460.0
3,8,16182,19309,690.0,12976.0
3,9,60628,61875,1974.0,11982.0
3,10,27356,29388,596.0,12249.0
