B00, 100
B00, Trade, 85282.192, 173, S01, B00, 1
B00, Trade, 85301.962, 175, S20, B00, 1
B00, Trade, 85311.750, 170, B00, S19, 1
B00, Trade, 85318.558, 170, S12, B00, 1
B00, Trade, 85327.308, 170, S18, B00, 1
B00, Trade, 85338.981, 175, S14, B00, 1
B00, Trade, 85362.327, 172, B00, S10, 1
B00, Trade, 85373.673, 166, S04, B00, 1
B00, Trade, 85380.808, 169, S12, B00, 1
B00, Trade, 85387.173, 174, S22, B00, 1
B00, Trade, 85392.115, 181, S09, B00, 1
B00, Trade, 85407.846, 174, S17, B00, 1
B00, Trade, 85419.154, 168, B00, S11, 1
B00, Trade, 85426.135, 174, S14, B00, 1
B00, Trade, 85440.769, 171, B00, S15, 1
B00, Trade, 85464.385, 174, S18, B00, 1
B00, Trade, 85481.865, 168, S20, B00, 1
B00, Trade, 85498.096, 172, S19, B00, 1
B00, Trade, 85512.173, 168, B00, S20, 1
B00, Trade, 85513.442, 176, S05, B00, 1
B00, Trade, 85525.423, 177, S21, B00, 1
B00, Trade, 85537.731, 162, S14, B00, 1
B00, Trade, 85559.673, 172, P01, B00, 1
B00, Trade, 85567.981, 174, S23, B00, 1
B00, Trade, 85579.596, 165, S23, B00, 1
B00, Trade, 85603.250, 170, S12, B00, 1
B00, Trade, 85610.423, 174, S18, B00, 1
B00, Trade, 85613.654, 174, S17, B00, 1
B00, Trade, 85624.615, 174, S12, B00, 1
B00, Trade, 85638.404, 170, S16, B00, 1
B00, Trade, 85646.308, 171, B00, S16, 1
B00, Trade, 85662.500, 167, S11, B00, 1
B00, Trade, 85673.250, 165, S20, B00, 1
B00, Trade, 85678.692, 170, S02, B00, 1
B00, Trade, 85685.365, 169, S24, B00, 1
B00, Trade, 85698.673, 172, P01, B00, 1
B00, Trade, 85708.769, 176, S19, B00, 1
B00, Trade, 85718.462, 173, S17, B00, 1
B00, Trade, 85731.404, 165, B00, S22, 1
B00, Trade, 85739.269, 168, S14, B00, 1
B00, Trade, 85747.058, 178, S09, B00, 1
B00, Trade, 85760.654, 176, S17, B00, 1
B00, Trade, 85768.788, 177, S23, B00, 1
B00, Trade, 85792.615, 171, S17, B00, 1
B00, Trade, 85804.365, 172, S14, B00, 1
B00, Trade, 85810.827, 169, B00, S06, 1
B00, Trade, 85817.769, 173, B00, S05, 1
B00, Trade, 85825.269, 173, S07, B00, 1
B00, Trade, 85845.231, 177, S14, B00, 1
B00, Trade, 85861.077, 171, S08, B00, 1
B00, Trade, 85866.154, 174, S06, B00, 1
B00, Trade, 85873.846, 175, P01, B00, 1
B00, Trade, 85898.077, 175, P01, B00, 1
B00, Trade, 85906.385, 172, S18, B00, 1
B00, Trade, 85916.500, 174, B00, S04, 1
B00, Trade, 85924.827, 167, S14, B00, 1
B00, Trade, 85944.365, 168, B00, S20, 1
B00, Trade, 85946.692, 178, S23, B00, 1
B00, Trade, 85954.442, 179, S03, B00, 1
B00, Trade, 85972.404, 180, S11, B00, 1
B00, Trade, 85975.750, 177, S14, B00, 1
B00, Trade, 86003.346, 176, S20, B00, 1
B00, Trade, 86004.173, 177, S12, B00, 1
B00, Trade, 86016.846, 171, P01, B00, 1
B00, Trade, 86032.096, 173, S09, B00, 1
B00, Trade, 86042.212, 176, S23, B00, 1
B00, Trade, 86049.865, 172, S01, B00, 1
B00, Trade, 86061.058, 172, B00, S13, 1
B00, Trade, 86064.692, 166, S03, B00, 1
B00, Trade, 86086.135, 166, B00, S06, 1
B00, Trade, 86092.577, 176, S09, B00, 1
B00, Trade, 86103.481, 172, S10, B00, 1
B00, Trade, 86120.846, 175, S20, B00, 1
B00, Trade, 86131.615, 167, P01, B00, 1
B00, Trade, 86138.462, 168, B00, S21, 1
B00, Trade, 86147.038, 169, S23, B00, 1
B00, Trade, 86163.942, 167, B00, S23, 1
B00, Trade, 86169.923, 171, S14, B00, 1
B00, Trade, 86176.269, 176, S17, B00, 1
B00, Trade, 86191.192, 169, S12, B00, 1
B00, Trade, 86204.673, 174, S17, B00, 1
B00, Trade, 86209.731, 171, S02, B00, 1
B00, Trade, 86217.558, 174, P00, B00, 1
B00, Trade, 86231.538, 167, S17, B00, 1
B00, Trade, 86242.019, 177, S17, B00, 1
B00, Trade, 86249.808, 172, S12, B00, 1
B00, Trade, 86257.904, 169, S15, B00, 1
B00, Trade, 86265.423, 173, S05, B00, 1
B00, Trade, 86280.712, 175, S08, B00, 1
B00, Trade, 86287.654, 170, S07, B00, 1
B00, Trade, 86296.615, 175, S05, B00, 1
B00, Trade, 86313.692, 171, S16, B00, 1
B00, Trade, 86329.096, 170, B00, S03, 1
B00, Trade, 86335.365, 166, B00, S08, 1
B00, Trade, 86342.827, 168, S11, B00, 1
B00, Trade, 86346.019, 170, S22, B00, 1
B00, Trade, 86370.712, 168, B00, S09, 1
B00, Trade, 86374.192, 169, S24, B00, 1
B00, Trade, 86382.558, 168, S15, B00, 1
B00, Trade, 86384.154, 170, S14, B00, 1
B01, 100
B01, Trade, 85207.077, 173, B01, S23, 1
B01, Trade, 85217.058, 170, S07, B01, 1
B01, Trade, 85226.308, 170, S20, B01, 1
B01, Trade, 85247.731, 168, B01, S07, 1
B01, Trade, 85269.731, 167, B01, S05, 1
B01, Trade, 85275.481, 168, S19, B01, 1
B01, Trade, 85294.038, 172, B01, S09, 1
B01, Trade, 85299.327, 171, B01, S08, 1
B01, Trade, 85309.519, 175, B01, S02, 1
B01, Trade, 85319.635, 167, B01, S09, 1
B01, Trade, 85330.115, 169, B01, S06, 1
B01, Trade, 85341.808, 163, B01, S16, 1
B01, Trade, 85351.385, 175, S12, B01, 1
B01, Trade, 85363.846, 172, B01, S11, 1
B01, Trade, 85382.981, 169, B01, S18, 1
B01, Trade, 85387.308, 170, B01, S20, 1
B01, Trade, 85406.981, 171, B01, S02, 1
B01, Trade, 85413.038, 180, B01, S05, 1
B01, Trade, 85449.750, 170, S23, B01, 1
B01, Trade, 85457.788, 172, B01, S20, 1
B01, Trade, 85463.712, 171, B01, S14, 1
B01, Trade, 85474.846, 168, B01, S15, 1
B01, Trade, 85501.885, 173, B01, S20, 1
B01, Trade, 85509.942, 174, S23, B01, 1
B01, Trade, 85519.750, 170, S12, B01, 1
B01, Trade, 85534.192, 164, B01, S00, 1
B01, Trade, 85537.058, 162, B01, S06, 1
B01, Trade, 85549.635, 170, P01, B01, 1
B01, Trade, 85556.058, 167, B01, S01, 1
B01, Trade, 85565.327, 172, B01, S00, 1
B01, Trade, 85579.481, 165, P01, B01, 1
B01, Trade, 85597.538, 169, P01, B01, 1
B01, Trade, 85609.115, 172, B01, S06, 1
B01, Trade, 85627.865, 174, B01, S13, 1
B01, Trade, 85656.192, 166, B01, S23, 1
B01, Trade, 85658.462, 165, B01, S01, 1
B01, Trade, 85670.173, 165, B01, S00, 1
B01, Trade, 85682.654, 170, S15, B01, 1
B01, Trade, 85695.481, 173, B01, S10, 1
B01, Trade, 85705.981, 171, B01, S10, 1
B01, Trade, 85714.346, 175, P01, B01, 1
