B00, 100
B00, Trade, 85189.596, 161, B00, S19, 1
B00, Trade, 85203.154, 167, B00, S02, 1
B00, Trade, 85221.846, 168, B00, S08, 1
B00, Trade, 85229.154, 166, B00, S08, 1
B00, Trade, 85240.577, 168, S06, B00, 1
B00, Trade, 85245.981, 171, B00, S13, 1
B00, Trade, 85255.442, 162, S21, B00, 1
B00, Trade, 85293.462, 164, B00, S01, 1
B00, Trade, 85311.788, 169, B00, S01, 1
B00, Trade, 85317.558, 166, P00, B00, 1
B00, Trade, 85323.962, 166, P00, B00, 1
B00, Trade, 85340.058, 166, B00, S04, 1
B00, Trade, 85351.731, 163, B00, S18, 1
B00, Trade, 85360.019, 163, B00, S06, 1
B00, Trade, 85367.385, 161, B00, S01, 1
B00, Trade, 85378.135, 169, B00, S08, 1
B00, Trade, 85391.769, 166, S23, B00, 1
B00, Trade, 85400.423, 166, B00, S17, 1
B00, Trade, 85405.019, 163, P00, B00, 1
B00, Trade, 85414.673, 166, B00, S18, 1
B00, Trade, 85429.827, 165, B00, S23, 1
B00, Trade, 85452.000, 169, B00, S07, 1
B00, Trade, 85471.327, 163, B00, S15, 1
B00, Trade, 85473.019, 163, B00, S19, 1
B00, Trade, 85491.346, 166, B00, S00, 1
B00, Trade, 85492.962, 166, B00, S08, 1
B00, Trade, 85518.750, 167, B00, S14, 1
B00, Trade, 85534.019, 168, B00, S17, 1
B00, Trade, 85551.731, 168, B00, S06, 1
B00, Trade, 85553.692, 169, B00, S22, 1
B00, Trade, 85570.865, 165, B00, S03, 1
B00, Trade, 85573.096, 165, B00, S22, 1
B00, Trade, 85594.808, 162, B00, S05, 1
B00, Trade, 85604.904, 166, B00, S13, 1
B00, Trade, 85618.519, 163, S02, B00, 1
B00, Trade, 85632.519, 169, B00, S18, 1
B00, Trade, 85642.212, 170, S20, B00, 1
B00, Trade, 85650.442, 171, S00, B00, 1
B00, Trade, 85659.846, 166, S01, B00, 1
B00, Trade, 85674.096, 165, B00, S06, 1
B00, Trade, 85679.231, 165, B00, S19, 1
B00, Trade, 85705.712, 163, B00, S06, 1
