B00, 100
B00, Trade, 85022.019, 169, P00, B00, 1
B00, Trade, 85046.000, 167, S09, B00, 1
B00, Trade, 85062.865, 165, B00, S24, 1
B00, Trade, 85092.096, 164, S02, B00, 1
B00, Trade, 85112.788, 169, S18, B00, 1
B00, Trade, 85122.154, 173, S03, B00, 1
B00, Trade, 85142.154, 167, B00, S08, 1
B00, Trade, 85159.288, 162, B00, S24, 1
B00, Trade, 85166.692, 163, P00, B00, 1
B00, Trade, 85182.962, 165, B00, S17, 1
B00, Trade, 85185.615, 170, S22, B00, 1
B00, Trade, 85199.692, 162, B00, S13, 1
B00, Trade, 85208.981, 161, S13, B00, 1
B00, Trade, 85216.635, 160, B00, S06, 1
B00, Trade, 85225.577, 170, B00, S05, 1
B00, Trade, 85240.865, 173, S02, B00, 1
B00, Trade, 85244.962, 171, S18, B00, 1
B00, Trade, 85265.173, 160, B00, S18, 1
B00, Trade, 85270.846, 162, S14, B00, 1
B00, Trade, 85295.135, 163, B00, S11, 1
B00, Trade, 85299.712, 167, S20, B00, 1
B00, Trade, 85314.192, 166, B00, S03, 1
B00, Trade, 85322.135, 161, B00, S13, 1
B00, Trade, 85327.750, 160, B00, S11, 1
B00, Trade, 85337.481, 168, S15, B00, 1
B00, Trade, 85345.846, 159, S05, B00, 1
B00, Trade, 85362.692, 171, B00, S15, 1
B00, Trade, 85364.231, 169, B00, S20, 1
B00, Trade, 85383.135, 167, B00, S13, 1
B00, Trade, 85405.019, 166, B00, S00, 1
B00, Trade, 85417.192, 160, B00, S06, 1
B00, Trade, 85432.635, 169, S20, B00, 1
B00, Trade, 85445.769, 160, B00, S05, 1
B00, Trade, 85462.462, 169, B00, S12, 1
B00, Trade, 85466.173, 168, B00, S21, 1
B00, Trade, 85482.558, 164, S01, B00, 1
B00, Trade, 85498.865, 164, S15, B00, 1
B00, Trade, 85513.019, 165, B00, S21, 1
B00, Trade, 85527.615, 162, S15, B00, 1
B00, Trade, 85538.865, 162, B00, S20, 1
B00, Trade, 85546.731, 171, S18, B00, 1
B00, Trade, 85554.962, 165, S13, B00, 1
B00, Trade, 85593.192, 165, S20, B00, 1
B00, Trade, 85611.519, 170, P00, B00, 1
B00, Trade, 85622.692, 159, B00, S01, 1
B00, Trade, 85626.308, 167, B00, S13, 1
B00, Trade, 85654.000, 168, P00, B00, 1
B00, Trade, 85660.096, 160, B00, S01, 1
B00, Trade, 85669.654, 170, S08, B00, 1
B00, Trade, 85679.077, 161, B00, S05, 1
B00, Trade, 85702.942, 168, S03, B00, 1
B00, Trade, 85725.154, 168, S19, B00, 1
B00, Trade, 85731.904, 168, B00, S12, 1
B00, Trade, 85747.577, 169, S23, B00, 1
B00, Trade, 85767.981, 159, B00, S07, 1
B00, Trade, 85773.077, 164, P00, B00, 1
B00, Trade, 85784.827, 163, B00, S05, 1
B00, Trade, 85802.731, 169, B00, S17, 1
B00, Trade, 85807.288, 166, B00, S06, 1
B00, Trade, 85833.750, 168, S20, B00, 1
B00, Trade, 85838.231, 167, B00, S19, 1
B00, Trade, 85855.058, 172, S24, B00, 1
B00, Trade, 85880.481, 171, B00, S18, 1
B00, Trade, 85884.846, 173, S19, B00, 1
B00, Trade, 85913.038, 166, S16, B00, 1
B00, Trade, 85936.365, 168, S08, B00, 1
B00, Trade, 85954.942, 165, B00, S08, 1
B00, Trade, 85958.077, 167, S24, B00, 1
B00, Trade, 85966.962, 168, S11, B00, 1
B00, Trade, 85992.154, 167, S23, B00, 1
B00, Trade, 85995.423, 167, B00, S12, 1
B00, Trade, 86014.712, 170, S24, B00, 1
B00, Trade, 86038.231, 161, B00, S13, 1
B00, Trade, 86043.808, 165, B00, S05, 1
B00, Trade, 86046.673, 161, S23, B00, 1
B00, Trade, 86059.615, 176, B00, S02, 1
B00, Trade, 86074.673, 165, B00, S24, 1
B00, Trade, 86085.481, 166, B00, S20, 1
B00, Trade, 86092.846, 183, S05, B00, 1
B00, Trade, 86114.404, 167, S18, B00, 1
B00, Trade, 86116.404, 170, S14, B00, 1
B00, Trade, 86140.885, 167, B00, S14, 1
B00, Trade, 86143.865, 169, S22, B00, 1
B00, Trade, 86157.654, 172, S00, B00, 1
B00, Trade, 86177.615, 166, B00, S07, 1
B00, Trade, 86179.654, 166, B00, S17, 1
B00, Trade, 86193.000, 172, B00, S21, 1
B00, Trade, 86200.269, 166, B00, S19, 1
B00, Trade, 86219.635, 169, B00, S19, 1
B00, Trade, 86232.365, 169, S00, B00, 1
B00, Trade, 86234.865, 177, S02, B00, 1
B00, Trade, 86257.904, 165, B00, S24, 1
B00, Trade, 86273.269, 164, B00, S09, 1
B00, Trade, 86284.038, 172, B00, S02, 1
B00, Trade, 86304.731, 168, S17, B00, 1
B00, Trade, 86328.000, 167, B00, S08, 1
B00, Trade, 86341.827, 171, S15, B00, 1
B00, Trade, 86351.904, 171, B00, S05, 1
B00, Trade, 86376.558, 169, S23, B00, 1
B00, Trade, 86398.712, 167, S18, B00, 1
B01, 100
B01, Trade, 85231.135, 167, B01, S17, 1
B01, Trade, 85242.962, 170, B01, S13, 1
B01, Trade, 85250.346, 164, B01, S17, 1
B01, Trade, 85259.788, 160, B01, S21, 1
B01, Trade, 85292.385, 163, B01, S18, 1
B01, Trade, 85305.712, 170, B01, S06, 1
B01, Trade, 85316.135, 165, B01, S08, 1
B01, Trade, 85328.423, 159, B01, S24, 1
B01, Trade, 85332.481, 167, S05, B01, 1
B01, Trade, 85342.269, 162, B01, S17, 1
B01, Trade, 85346.500, 160, S24, B01, 1
B01, Trade, 85360.308, 173, B01, S01, 1
B01, Trade, 85371.846, 163, B01, S21, 1
B01, Trade, 85385.115, 158, B01, S18, 1
B01, Trade, 85399.000, 165, B01, S20, 1
B01, Trade, 85411.981, 163, S15, B01, 1
B01, Trade, 85416.654, 165, S02, B01, 1
B01, Trade, 85423.981, 169, S23, B01, 1
B01, Trade, 85439.654, 160, B01, S01, 1
B01, Trade, 85449.019, 165, S00, B01, 1
B01, Trade, 85460.423, 170, B01, S22, 1
B01, Trade, 85472.885, 168, B01, S04, 1
B01, Trade, 85482.173, 160, B01, S14, 1
B01, Trade, 85491.712, 165, B01, S01, 1
B01, Trade, 85517.827, 167, B01, S03, 1
B01, Trade, 85536.615, 164, B01, S06, 1
B01, Trade, 85551.154, 167, B01, S11, 1
B01, Trade, 85557.712, 162, B01, S16, 1
B01, Trade, 85575.288, 164, B01, S06, 1
B01, Trade, 85582.519, 162, B01, S11, 1
B01, Trade, 85584.519, 163, S14, B01, 1
B01, Trade, 85597.327, 162, B01, S06, 1
B01, Trade, 85619.923, 165, B01, S05, 1
B01, Trade, 85628.750, 167, S23, B01, 1
B01, Trade, 85640.846, 170, B01, S16, 1
B01, Trade, 85644.865, 161, B01, S11, 1
B01, Trade, 85661.981, 161, B01, S14, 1
B01, Trade, 85668.846, 158, B01, S24, 1
B01, Trade, 85675.808, 166, B01, S11, 1
B01, Trade, 85690.981, 165, S05, B01, 1
B01, Trade, 85705.635, 170, P00, B01, 1
B01, Trade, 85710.904, 163, S03, B01, 1
