dataset_day,simulation,FlashStart,FlashEnd,PT1_profit,PT2_profit
1,1,74264,76860,2433.0,12848.0
1,2,34311,35397,2161.0,13156.0
1,3,44026,46283,2355.0,13332.0
1,4,73939,74275,2234.0,13746.0
1,5,7320,8942,1807.0,13140.0
1,6,53541,55148,2447.0,14268.0
1,7,43218,46746,1925.0,13305.0
1,8,51522,53662,2161.0,13174.0
1,9,17745,20389,2034.0,12862.0
1,10,64062,64877,2576.0,12650.0
2,1,28362,29986,1547.0,12888.0
2,2,29384,30066,2191.0,12384.0
2,3,5077,6697,1777.0,13145.0
2,4,36257,39103,2094.0,12525.0
2,5,30005,30733,1807.0,12974.0
2,6,59777,63216,1561.0,12610.0
2,7,42605,45113,1453.0,12368.0
2,8,6394,7678,1448.0,12588.0
2,9,78269,81473,2124.0,12877.0
2,10,43124,44750,2130.0,12180.0
3,1,38246,39416,1382.0,13710.0
3,2,47938,51382,1846.0,12358.0
3,3,78924,81988,1357.0,12699.0
3,4,14527,17866,1656.0,12972.0
3,5,49217,49717,1670.0,13247.0
3,6,16723,18218,1484.0,13323.0
3,7,7078,10224,1362.0,13564.0
3,8,61178,63002,1558.0,14084.0
3,9,7457,9298,1313.0,13331.0
3,10,64218,64731,1525.0,13178.0
