B00, 100
B00, Trade, 84972.288, 109, B00, S17, 1
B00, Trade, 84997.846, 103, B00, S19, 1
B00, Trade, 85007.173, 105, S08, B00, 1
B00, Trade, 85024.519, 106, B00, S23, 1
B00, Trade, 85029.308, 105, S16, B00, 1
B00, Trade, 85035.692, 104, S09, B00, 1
B00, Trade, 85054.673, 100, B00, S01, 1
B00, Trade, 85060.404, 108, S07, B00, 1
B00, Trade, 85075.750, 108, B00, S23, 1
B00, Trade, 85079.635, 108, P01, B00, 1
B00, Trade, 85102.231, 104, S06, B00, 1
B00, Trade, 85122.885, 103, B00, S24, 1
B00, Trade, 85136.942, 107, P01, B00, 1
B00, Trade, 85157.923, 109, B00, S11, 1
B00, Trade, 85164.654, 107, B00, S10, 1
B00, Trade, 85170.673, 112, S18, B00, 1
B00, Trade, 85194.942, 102, B00, S24, 1
B00, Trade, 85204.250, 103, B00, S11, 1
B00, Trade, 85231.115, 109, S21, B00, 1
B00, Trade, 85262.885, 106, S22, B00, 1
B00, Trade, 85269.058, 108, S24, B00, 1
B00, Trade, 85275.923, 105, B00, S20, 1
B00, Trade, 85289.250, 105, S09, B00, 1
B00, Trade, 85300.346, 105, B00, S20, 1
B00, Trade, 85309.019, 104, S06, B00, 1
B00, Trade, 85332.327, 104, B00, S03, 1
B00, Trade, 85351.096, 101, B00, S21, 1
B00, Trade, 85361.135, 111, S11, B00, 1
B00, Trade, 85366.538, 119, S06, B00, 1
B00, Trade, 85383.635, 102, B00, S03, 1
B00, Trade, 85386.173, 104, B00, S19, 1
B00, Trade, 85394.135, 107, S10, B00, 1
B00, Trade, 85405.096, 109, B00, S19, 1
B00, Trade, 85430.615, 102, B00, S20, 1
B00, Trade, 85445.154, 100, B00, S06, 1
B00, Trade, 85453.673, 97, B00, S21, 1
B00, Trade, 85458.558, 108, S22, B00, 1
B00, Trade, 85469.327, 105, B00, S14, 1
B00, Trade, 85493.904, 109, S18, B00, 1
B00, Trade, 85513.558, 100, B00, S17, 1
B00, Trade, 85529.692, 99, S04, B00, 1
B00, Trade, 85543.712, 98, B00, S15, 1
B00, Trade, 85566.962, 105, S01, B00, 1
B00, Trade, 85581.923, 105, B00, S22, 1
B00, Trade, 85591.846, 98, B00, S03, 1
B00, Trade, 85593.500, 102, S04, B00, 1
B00, Trade, 85605.231, 110, S09, B00, 1
B00, Trade, 85620.712, 102, B00, S03, 1
B00, Trade, 85630.654, 104, B00, S10, 1
B00, Trade, 85647.673, 101, S05, B00, 1
B00, Trade, 85710.654, 105, S10, B00, 1
B00, Trade, 85729.173, 102, S01, B00, 1
B00, Trade, 85741.558, 104, B00, S20, 1
B00, Trade, 85748.231, 107, S00, B00, 1
B00, Trade, 85762.269, 105, B00, S08, 1
B00, Trade, 85774.423, 105, B00, S04, 1
B00, Trade, 85778.173, 111, S08, B00, 1
