B00, 100
B00, Trade, 85175.000, 114, P00, B00, 1
B00, Trade, 85185.769, 112, S00, B00, 1
B00, Trade, 85198.462, 114, B00, S05, 1
B00, Trade, 85211.788, 103, S03, B00, 1
B00, Trade, 85221.712, 106, S00, B00, 1
B00, Trade, 85227.019, 100, S24, B00, 1
B00, Trade, 85241.615, 105, S13, B00, 1
B00, Trade, 85245.250, 104, B00, S24, 1
B00, Trade, 85258.712, 102, B00, S03, 1
B00, Trade, 85271.885, 104, S00, B00, 1
B00, Trade, 85276.173, 107, S08, B00, 1
B00, Trade, 85320.827, 107, S20, B00, 1
B00, Trade, 85342.269, 104, S22, B00, 1
B00, Trade, 85352.519, 106, S05, B00, 1
B00, Trade, 85365.423, 103, S18, B00, 1
B00, Trade, 85383.154, 105, B00, S12, 1
B00, Trade, 85388.346, 104, S05, B00, 1
B00, Trade, 85401.192, 107, B00, S03, 1
B00, Trade, 85409.192, 110, S18, B00, 1
B00, Trade, 85423.769, 103, P00, B00, 1
B00, Trade, 85434.135, 107, S05, B00, 1
B00, Trade, 85443.673, 110, S13, B00, 1
B00, Trade, 85462.808, 108, S13, B00, 1
B00, Trade, 85464.442, 108, S06, B00, 1
B00, Trade, 85478.808, 106, B00, S16, 1
B00, Trade, 85487.500, 110, S12, B00, 1
B00, Trade, 85504.231, 105, S13, B00, 1
B00, Trade, 85518.096, 99, B00, S09, 1
B00, Trade, 85530.519, 96, S13, B00, 1
B00, Trade, 85541.385, 102, P00, B00, 1
B00, Trade, 85547.385, 105, S00, B00, 1
B00, Trade, 85553.731, 101, S02, B00, 1
B00, Trade, 85564.885, 99, S20, B00, 1
B00, Trade, 85579.154, 108, S01, B00, 1
B00, Trade, 85588.154, 102, S19, B00, 1
B00, Trade, 85597.981, 99, S00, B00, 1
B00, Trade, 85610.558, 99, B00, S14, 1
B00, Trade, 85620.769, 100, S02, B00, 1
B00, Trade, 85627.288, 109, S22, B00, 1
B00, Trade, 85634.904, 103, S00, B00, 1
B00, Trade, 85650.673, 106, S22, B00, 1
B00, Trade, 85657.038, 106, S01, B00, 1
B00, Trade, 85667.577, 102, S22, B00, 1
B00, Trade, 85683.885, 103, S03, B00, 1
B00, Trade, 85697.615, 110, P00, B00, 1
B00, Trade, 85729.462, 102, P00, B00, 1
B00, Trade, 85740.423, 107, S05, B00, 1
B00, Trade, 85746.654, 101, S12, B00, 1
B00, Trade, 85760.538, 106, S18, B00, 1
B00, Trade, 85774.808, 113, S12, B00, 1
B00, Trade, 85787.058, 99, S22, B00, 1
B00, Trade, 85808.500, 101, B00, S12, 1
B00, Trade, 85815.846, 102, B00, S16, 1
B00, Trade, 85822.923, 109, S17, B00, 1
B00, Trade, 85828.615, 104, S13, B00, 1
B00, Trade, 85850.135, 104, P00, B00, 1
B00, Trade, 85860.192, 106, S12, B00, 1
B00, Trade, 85866.058, 107, B00, S22, 1
B00, Trade, 85887.058, 107, S18, B00, 1
B00, Trade, 85897.673, 107, S18, B00, 1
B00, Trade, 85914.904, 106, S03, B00, 1
B00, Trade, 85929.846, 104, S24, B00, 1
B00, Trade, 85934.923, 106, S13, B00, 1
B00, Trade, 85951.769, 113, S00, B00, 1
B00, Trade, 85977.827, 100, B00, S22, 1
B00, Trade, 85979.654, 103, S02, B00, 1
B00, Trade, 85991.519, 113, S08, B00, 1
B00, Trade, 85995.154, 110, S18, B00, 1
B00, Trade, 86010.385, 108, S10, B00, 1
B00, Trade, 86021.615, 108, S19, B00, 1
B00, Trade, 86026.519, 101, S12, B00, 1
B00, Trade, 86039.038, 111, B00, S10, 1
B00, Trade, 86051.596, 106, P00, B00, 1
B00, Trade, 86065.154, 106, S01, B00, 1
B00, Trade, 86075.981, 104, S03, B00, 1
B00, Trade, 86091.462, 108, S10, B00, 1
B00, Trade, 86098.135, 101, B00, S23, 1
B00, Trade, 86114.577, 109, S01, B00, 1
B00, Trade, 86143.154, 107, S19, B00, 1
B00, Trade, 86150.942, 111, S00, B00, 1
B00, Trade, 86157.308, 105, S08, B00, 1
B00, Trade, 86167.788, 110, S09, B00, 1
B00, Trade, 86183.135, 110, S19, B00, 1
B00, Trade, 86192.269, 106, P00, B00, 1
B00, Trade, 86207.154, 99, B00, S11, 1
B00, Trade, 86220.423, 111, S22, B00, 1
B00, Trade, 86230.500, 103, S16, B00, 1
B00, Trade, 86247.692, 101, B00, S08, 1
B00, Trade, 86256.250, 104, S10, B00, 1
B00, Trade, 86271.442, 109, S07, B00, 1
B00, Trade, 86279.346, 113, S24, B00, 1
B00, Trade, 86288.173, 114, S01, B00, 1
B00, Trade, 86296.038, 110, S11, B00, 1
B00, Trade, 86316.058, 103, B00, S14, 1
B00, Trade, 86334.769, 107, B00, S06, 1
B00, Trade, 86357.423, 101, B00, S17, 1
B00, Trade, 86362.923, 101, S08, B00, 1
B00, Trade, 86377.019, 110, S18, B00, 1
B00, Trade, 86389.615, 105, S04, B00, 1
B00, Trade, 86395.385, 106, S01, B00, 1
B01, 100
B01, Trade, 85240.365, 102, B01, S10, 1
B01, Trade, 85251.808, 104, B01, S17, 1
B01, Trade, 85263.750, 104, P00, B01, 1
B01, Trade, 85273.404, 105, P00, B01, 1
B01, Trade, 85284.250, 103, S01, B01, 1
B01, Trade, 85306.942, 101, B01, S18, 1
B01, Trade, 85319.558, 106, B01, S18, 1
B01, Trade, 85328.827, 103, B01, S06, 1
B01, Trade, 85337.769, 101, B01, S07, 1
B01, Trade, 85351.096, 99, B01, S17, 1
B01, Trade, 85352.577, 100, B01, S24, 1
B01, Trade, 85362.500, 103, S24, B01, 1
