B00, 100
B00, Trade, 85210.327, 103, S07, B00, 1
B00, Trade, 85236.942, 111, S21, B00, 1
B00, Trade, 85247.846, 110, S16, B00, 1
B00, Trade, 85256.865, 107, P01, B00, 1
B00, Trade, 85264.654, 112, S03, B00, 1
B00, Trade, 85283.654, 105, S03, B00, 1
B00, Trade, 85296.154, 104, S00, B00, 1
B00, Trade, 85311.942, 109, S00, B00, 1
B00, Trade, 85313.058, 108, S06, B00, 1
B00, Trade, 85328.827, 102, S21, B00, 1
B00, Trade, 85335.000, 110, S00, B00, 1
B00, Trade, 85344.788, 113, S20, B00, 1
B00, Trade, 85359.712, 101, S00, B00, 1
B00, Trade, 85366.615, 106, S01, B00, 1
B00, Trade, 85378.423, 104, S00, B00, 1
B00, Trade, 85392.577, 109, S15, B00, 1
B00, Trade, 85404.404, 102, B00, S14, 1
B00, Trade, 85407.096, 105, S18, B00, 1
B00, Trade, 85413.942, 103, S00, B00, 1
B00, Trade, 85425.327, 102, S21, B00, 1
B00, Trade, 85456.769, 110, S06, B00, 1
B00, Trade, 85471.962, 97, S00, B00, 1
B00, Trade, 85475.365, 99, S03, B00, 1
B00, Trade, 85492.038, 105, B00, S14, 1
B00, Trade, 85507.731, 107, S03, B00, 1
B00, Trade, 85520.327, 102, S17, B00, 1
B00, Trade, 85524.385, 104, S08, B00, 1
B00, Trade, 85542.481, 98, S17, B00, 1
B00, Trade, 85552.577, 105, S06, B00, 1
B00, Trade, 85555.385, 109, S02, B00, 1
B00, Trade, 85586.558, 103, S10, B00, 1
B00, Trade, 85599.192, 101, S21, B00, 1
B00, Trade, 85620.500, 107, S22, B00, 1
B00, Trade, 85640.365, 107, P01, B00, 1
B00, Trade, 85649.231, 95, S24, B00, 1
B00, Trade, 85663.558, 103, B00, S12, 1
B00, Trade, 85668.788, 106, S21, B00, 1
B00, Trade, 85690.788, 104, P01, B00, 1
B00, Trade, 85704.865, 102, S23, B00, 1
B00, Trade, 85713.423, 99, S10, B00, 1
B00, Trade, 85733.923, 105, S22, B00, 1
B00, Trade, 85744.000, 104, B00, S17, 1
B00, Trade, 85779.327, 102, S12, B00, 1
B00, Trade, 85789.615, 109, S24, B00, 1
B00, Trade, 85802.904, 111, S09, B00, 1
B00, Trade, 85809.058, 106, S07, B00, 1
B00, Trade, 85822.577, 101, B00, S22, 1
B00, Trade, 85830.692, 103, S00, B00, 1
B00, Trade, 85840.038, 109, S10, B00, 1
B00, Trade, 85846.769, 108, S12, B00, 1
B00, Trade, 85859.000, 103, S23, B00, 1
B00, Trade, 85868.577, 105, S06, B00, 1
B00, Trade, 85887.615, 101, S03, B00, 1
B00, Trade, 85898.538, 105, S07, B00, 1
B00, Trade, 85909.942, 110, S03, B00, 1
B00, Trade, 85916.788, 110, S06, B00, 1
B00, Trade, 85925.308, 104, S02, B00, 1
B00, Trade, 85943.058, 110, S00, B00, 1
B00, Trade, 85949.846, 109, B00, S21, 1
B00, Trade, 85958.288, 107, S00, B00, 1
B00, Trade, 85971.288, 106, S21, B00, 1
B00, Trade, 85976.000, 100, P01, B00, 1
B00, Trade, 85984.865, 109, B00, S06, 1
B00, Trade, 86003.827, 107, P01, B00, 1
B00, Trade, 86020.596, 107, S00, B00, 1
B00, Trade, 86027.519, 107, S14, B00, 1
B00, Trade, 86046.692, 99, B00, S22, 1
B00, Trade, 86051.404, 109, P01, B00, 1
B00, Trade, 86064.135, 105, S24, B00, 1
B00, Trade, 86075.538, 107, S07, B00, 1
B00, Trade, 86092.481, 102, B00, S13, 1
B00, Trade, 86099.154, 103, S07, B00, 1
B00, Trade, 86104.827, 100, S07, B00, 1
B00, Trade, 86121.365, 109, S23, B00, 1
B00, Trade, 86129.788, 111, S16, B00, 1
B00, Trade, 86133.558, 104, S00, B00, 1
B00, Trade, 86158.788, 106, S02, B00, 1
B00, Trade, 86165.942, 109, P01, B00, 1
B00, Trade, 86174.173, 104, P01, B00, 1
B00, Trade, 86190.327, 104, S02, B00, 1
B00, Trade, 86206.635, 105, B00, S05, 1
B00, Trade, 86216.769, 103, B00, S01, 1
B00, Trade, 86221.769, 108, S11, B00, 1
B00, Trade, 86238.615, 107, S23, B00, 1
B00, Trade, 86246.077, 108, S09, B00, 1
B00, Trade, 86263.558, 109, P01, B00, 1
B00, Trade, 86265.885, 112, S16, B00, 1
