dataset_day,simulation,PT1_profit,PT2_profit
1,1,1188.0,12223.0
1,2,1200.0,13400.0
1,3,1209.0,14004.0
1,4,1784.0,12457.0
1,5,1502.0,13529.0
1,6,1313.0,13546.0
1,7,1037.0,12435.0
1,8,1034.0,13165.0
1,9,1251.0,13926.0
1,10,1604.0,13234.0
2,1,1234.0,12860.0
2,2,1233.0,13264.0
2,3,579.0,13715.0
2,4,478.0,12818.0
2,5,1485.0,13029.0
2,6,1337.0,13382.0
2,7,1005.0,13043.0
2,8,1282.0,13547.0
2,9,1445.0,12111.0
2,10,974.0,13269.0
3,1,1161.0,12783.0
3,2,381.0,12636.0
3,3,1674.0,13952.0
3,4,2077.0,12007.0
3,5,1774.0,12301.0
3,6,1930.0,13603.0
3,7,1731.0,13171.0
3,8,1480.0,13190.0
3,9,2097.0,12560.0
3,10,217.0,12397.0
