B00, 100
B00, Trade, 85209.923, 157, B00, S02, 1
B00, Trade, 85219.269, 154, S14, B00, 1
B00, Trade, 85231.308, 160, S18, B00, 1
B00, Trade, 85245.058, 149, B00, S15, 1
B00, Trade, 85245.846, 149, S10, B00, 1
B00, Trade, 85256.846, 151, B00, S04, 1
B00, Trade, 85274.269, 152, B00, S03, 1
B00, Trade, 85291.577, 156, S06, B00, 1
B00, Trade, 85297.635, 160, B00, S09, 1
B00, Trade, 85326.654, 157, S11, B00, 1
B00, Trade, 85333.308, 160, S05, B00, 1
B00, Trade, 85342.135, 154, S18, B00, 1
B00, Trade, 85356.077, 155, S04, B00, 1
B00, Trade, 85387.077, 155, B00, S23, 1
B00, Trade, 85403.019, 158, S17, B00, 1
B00, Trade, 85420.962, 154, S02, B00, 1
B00, Trade, 85430.038, 150, S17, B00, 1
B00, Trade, 85438.981, 156, S07, B00, 1
B00, Trade, 85455.635, 151, B00, S14, 1
B00, Trade, 85461.212, 152, B00, S03, 1
B00, Trade, 85483.404, 158, S17, B00, 1
B00, Trade, 85486.154, 152, S16, B00, 1
B00, Trade, 85495.750, 154, B00, S17, 1
B00, Trade, 85519.346, 150, S16, B00, 1
B00, Trade, 85533.731, 149, B00, S04, 1
B00, Trade, 85541.981, 156, S16, B00, 1
B00, Trade, 85551.404, 151, S19, B00, 1
B00, Trade, 85556.500, 157, B00, S12, 1
B00, Trade, 85568.885, 154, S15, B00, 1
B00, Trade, 85576.885, 156, S07, B00, 1
B00, Trade, 85587.404, 158, S18, B00, 1
B00, Trade, 85598.981, 154, S21, B00, 1
B00, Trade, 85605.096, 159, P00, B00, 1
B00, Trade, 85616.654, 152, S06, B00, 1
B00, Trade, 85624.365, 156, S24, B00, 1
B00, Trade, 85640.135, 156, S10, B00, 1
B00, Trade, 85647.712, 151, S15, B00, 1
B00, Trade, 85663.558, 153, S21, B00, 1
B00, Trade, 85669.558, 155, P00, B00, 1
B00, Trade, 85674.346, 150, B00, S06, 1
B00, Trade, 85693.192, 161, S01, B00, 1
B00, Trade, 85704.115, 153, S22, B00, 1
B00, Trade, 85712.692, 163, S16, B00, 1
B00, Trade, 85735.212, 157, B00, S02, 1
B00, Trade, 85738.942, 155, S19, B00, 1
B00, Trade, 85760.365, 153, S15, B00, 1
B00, Trade, 85769.115, 158, S02, B00, 1
B00, Trade, 85783.423, 153, P00, B00, 1
B00, Trade, 85789.058, 151, B00, S15, 1
B00, Trade, 85797.500, 158, S05, B00, 1
B00, Trade, 85809.577, 154, S24, B00, 1
B00, Trade, 85821.077, 155, S24, B00, 1
B00, Trade, 85828.673, 146, P00, B00, 1
B00, Trade, 85834.346, 156, S14, B00, 1
B00, Trade, 85853.904, 155, S22, B00, 1
B00, Trade, 85873.442, 152, B00, S21, 1
