B00, 100
B00, Trade, 85040.654, 100, P01, B00, 1
B00, Trade, 85047.077, 99, B00, S10, 1
B00, Trade, 85064.058, 102, B00, S00, 1
B00, Trade, 85070.135, 97, B00, S05, 1
B00, Trade, 85075.154, 108, S19, B00, 1
B00, Trade, 85093.173, 98, B00, S15, 1
B00, Trade, 85104.346, 95, B00, S12, 1
B00, Trade, 85110.481, 94, S20, B00, 1
B00, Trade, 85118.154, 101, S08, B00, 1
B00, Trade, 85133.058, 100, B00, S21, 1
B00, Trade, 85137.615, 103, S22, B00, 1
B00, Trade, 85151.827, 101, B00, S24, 1
B00, Trade, 85160.077, 100, B00, S17, 1
B00, Trade, 85173.635, 99, B00, S10, 1
B00, Trade, 85180.250, 104, B00, S03, 1
B00, Trade, 85208.327, 108, S20, B00, 1
B00, Trade, 85228.846, 107, P01, B00, 1
B00, Trade, 85240.058, 105, B00, S18, 1
B00, Trade, 85255.173, 105, B00, S12, 1
B00, Trade, 85263.577, 107, S00, B00, 1
B00, Trade, 85284.308, 104, B00, S04, 1
B00, Trade, 85289.846, 109, S13, B00, 1
B00, Trade, 85299.192, 107, B00, S18, 1
B00, Trade, 85308.538, 103, S20, B00, 1
B00, Trade, 85322.923, 110, B00, S21, 1
B00, Trade, 85336.558, 113, S20, B00, 1
B00, Trade, 85346.788, 98, B00, S00, 1
B00, Trade, 85372.000, 106, S06, B00, 1
B00, Trade, 85393.346, 110, S19, B00, 1
B00, Trade, 85407.731, 100, S11, B00, 1
B00, Trade, 85425.558, 102, B00, S17, 1
B00, Trade, 85438.404, 110, S06, B00, 1
B00, Trade, 85451.269, 109, B00, S15, 1
B00, Trade, 85460.673, 108, B00, S21, 1
B00, Trade, 85466.212, 108, S03, B00, 1
B00, Trade, 85481.904, 100, B00, S06, 1
B00, Trade, 85483.288, 103, S11, B00, 1
B00, Trade, 85501.827, 106, B00, S07, 1
B00, Trade, 85516.269, 104, B00, S14, 1
B00, Trade, 85524.442, 109, S13, B00, 1
B00, Trade, 85541.615, 105, B00, S20, 1
B00, Trade, 85549.231, 108, S05, B00, 1
B00, Trade, 85564.538, 114, S06, B00, 1
B00, Trade, 85585.500, 112, B00, S23, 1
B00, Trade, 85600.808, 105, B00, S23, 1
B00, Trade, 85613.269, 103, S10, B00, 1
B00, Trade, 85637.038, 116, S15, B00, 1
B00, Trade, 85652.654, 109, B00, S06, 1
B00, Trade, 85661.846, 109, S09, B00, 1
B00, Trade, 85674.885, 103, B00, S07, 1
B00, Trade, 85689.038, 104, S11, B00, 1
B00, Trade, 85696.731, 104, B00, S11, 1
B00, Trade, 85709.981, 108, B00, S18, 1
B00, Trade, 85730.577, 102, B00, S12, 1
B00, Trade, 85736.019, 106, S08, B00, 1
B00, Trade, 85751.519, 111, S08, B00, 1
