B00, 100
B00, Trade, 85126.923, 101, S19, B00, 1
B00, Trade, 85132.077, 100, S11, B00, 1
B00, Trade, 85144.385, 110, S18, B00, 1
B00, Trade, 85155.712, 100, B00, S16, 1
B00, Trade, 85164.750, 99, S09, B00, 1
B00, Trade, 85177.769, 94, B00, S03, 1
B00, Trade, 85187.077, 100, S15, B00, 1
B00, Trade, 85197.154, 100, S16, B00, 1
B00, Trade, 85223.288, 108, S20, B00, 1
B00, Trade, 85226.558, 114, S13, B00, 1
B00, Trade, 85250.788, 109, S17, B00, 1
B00, Trade, 85267.077, 106, B00, S13, 1
B00, Trade, 85279.250, 103, S15, B00, 1
B00, Trade, 85291.904, 108, S18, B00, 1
B00, Trade, 85293.346, 106, S19, B00, 1
B00, Trade, 85308.635, 109, S10, B00, 1
B00, Trade, 85323.173, 105, S01, B00, 1
B00, Trade, 85323.442, 108, S11, B00, 1
B00, Trade, 85333.404, 107, S03, B00, 1
B00, Trade, 85358.327, 105, P01, B00, 1
B00, Trade, 85364.442, 104, S18, B00, 1
B00, Trade, 85387.058, 109, S08, B00, 1
B00, Trade, 85399.865, 102, P01, B00, 1
B00, Trade, 85409.942, 109, S10, B00, 1
B00, Trade, 85416.385, 110, S23, B00, 1
B00, Trade, 85436.481, 101, B00, S21, 1
B00, Trade, 85448.635, 107, B00, S08, 1
B00, Trade, 85457.808, 108, S24, B00, 1
B00, Trade, 85470.500, 104, S10, B00, 1
B00, Trade, 85490.365, 107, S01, B00, 1
B00, Trade, 85499.558, 112, P01, B00, 1
B00, Trade, 85507.192, 107, S08, B00, 1
B00, Trade, 85512.923, 105, P01, B00, 1
B00, Trade, 85533.346, 107, S00, B00, 1
B00, Trade, 85553.231, 111, S03, B00, 1
B00, Trade, 85572.154, 107, S12, B00, 1
B00, Trade, 85573.731, 106, B00, S07, 1
B00, Trade, 85591.115, 107, S09, B00, 1
B00, Trade, 85620.750, 109, S06, B00, 1
B00, Trade, 85638.654, 108, S19, B00, 1
B00, Trade, 85651.942, 102, S12, B00, 1
B00, Trade, 85682.327, 103, P01, B00, 1
B00, Trade, 85691.577, 106, S16, B00, 1
B00, Trade, 85711.712, 111, S17, B00, 1
B00, Trade, 85721.635, 110, B00, S09, 1
B00, Trade, 85731.423, 114, S09, B00, 1
B00, Trade, 85737.769, 111, S19, B00, 1
B00, Trade, 85753.038, 111, S01, B00, 1
B00, Trade, 85768.327, 108, S12, B00, 1
B00, Trade, 85780.154, 109, S10, B00, 1
B00, Trade, 85798.250, 112, S04, B00, 1
B00, Trade, 85811.288, 116, S09, B00, 1
B00, Trade, 85817.404, 117, S07, B00, 1
B00, Trade, 85829.865, 109, S19, B00, 1
B00, Trade, 85836.981, 112, S23, B00, 1
B00, Trade, 85853.173, 108, B00, S10, 1
B00, Trade, 85858.538, 104, B00, S02, 1
B00, Trade, 85875.173, 110, S17, B00, 1
B00, Trade, 85891.519, 109, S23, B00, 1
B00, Trade, 85893.827, 111, S06, B00, 1
B00, Trade, 85903.808, 109, S04, B00, 1
B00, Trade, 85919.404, 108, S23, B00, 1
B00, Trade, 85933.096, 106, S24, B00, 1
B00, Trade, 85944.212, 112, B00, S24, 1
B00, Trade, 85962.038, 108, S06, B00, 1
B00, Trade, 85966.212, 119, B00, S01, 1
B00, Trade, 85981.192, 111, S04, B00, 1
B00, Trade, 85983.827, 116, S06, B00, 1
B00, Trade, 85997.788, 110, S19, B00, 1
B00, Trade, 86010.788, 112, S19, B00, 1
B00, Trade, 86020.731, 106, S06, B00, 1
B00, Trade, 86025.192, 111, B00, S16, 1
B00, Trade, 86038.615, 108, S18, B00, 1
B00, Trade, 86047.981, 108, P01, B00, 1
B00, Trade, 86061.231, 113, S15, B00, 1
B00, Trade, 86070.077, 111, S19, B00, 1
B00, Trade, 86079.635, 112, P01, B00, 1
B00, Trade, 86086.769, 113, B00, S01, 1
B00, Trade, 86111.577, 108, S21, B00, 1
B00, Trade, 86130.346, 109, S16, B00, 1
B00, Trade, 86140.038, 112, B00, S07, 1
B00, Trade, 86172.923, 105, S24, B00, 1
B00, Trade, 86190.462, 113, S03, B00, 1
B00, Trade, 86196.519, 109, S16, B00, 1
B00, Trade, 86209.423, 111, B00, S14, 1
B00, Trade, 86220.077, 102, S18, B00, 1
B00, Trade, 86237.385, 116, S08, B00, 1
B00, Trade, 86249.558, 115, S09, B00, 1
B00, Trade, 86255.923, 113, B00, S03, 1
B00, Trade, 86286.904, 115, S11, B00, 1
B00, Trade, 86302.327, 116, S11, B00, 1
B00, Trade, 86312.327, 110, B00, S02, 1
B00, Trade, 86327.519, 113, S06, B00, 1
B00, Trade, 86329.750, 114, S12, B00, 1
B00, Trade, 86340.154, 108, S16, B00, 1
B00, Trade, 86343.750, 111, S08, B00, 1
B00, Trade, 86358.481, 116, B00, S13, 1
B00, Trade, 86379.404, 102, B00, S08, 1
B00, Trade, 86384.404, 110, B00, S00, 1
B00, Trade, 86388.962, 102, S17, B00, 1
B01, 100
B01, Trade, 84990.827, 100, S08, B01, 1
B01, Trade, 84999.288, 101, B01, S16, 1
B01, Trade, 85006.750, 95, B01, S12, 1
B01, Trade, 85015.981, 103, S24, B01, 1
B01, Trade, 85042.750, 98, S16, B01, 1
B01, Trade, 85049.750, 104, S04, B01, 1
B01, Trade, 85057.135, 94, B01, S13, 1
B01, Trade, 85068.173, 106, S06, B01, 1
B01, Trade, 85082.846, 105, B01, S13, 1
B01, Trade, 85100.019, 108, B01, S23, 1
B01, Trade, 85113.904, 101, S02, B01, 1
B01, Trade, 85124.231, 98, S16, B01, 1
B01, Trade, 85147.654, 109, S23, B01, 1
B01, Trade, 85165.788, 106, S03, B01, 1
B01, Trade, 85196.058, 99, S24, B01, 1
B01, Trade, 85205.788, 106, B01, S03, 1
B01, Trade, 85257.481, 109, S18, B01, 1
B01, Trade, 85267.885, 110, S00, B01, 1
B01, Trade, 85279.173, 102, B01, S18, 1
B01, Trade, 85291.750, 107, S06, B01, 1
B01, Trade, 85302.942, 107, B01, S07, 1
B01, Trade, 85306.308, 107, B01, S20, 1
B01, Trade, 85320.846, 101, B01, S07, 1
B01, Trade, 85329.846, 109, B01, S22, 1
B01, Trade, 85350.115, 104, B01, S11, 1
B01, Trade, 85367.308, 102, B01, S13, 1
B01, Trade, 85368.865, 107, P01, B01, 1
B01, Trade, 85384.154, 110, B01, S23, 1
B01, Trade, 85414.327, 109, S15, B01, 1
B01, Trade, 85428.846, 107, P01, B01, 1
B01, Trade, 85441.942, 106, B01, S01, 1
B01, Trade, 85458.538, 102, B01, S12, 1
B01, Trade, 85473.615, 104, S24, B01, 1
B01, Trade, 85485.192, 102, B01, S15, 1
B01, Trade, 85495.346, 105, S16, B01, 1
B01, Trade, 85522.212, 108, S01, B01, 1
B01, Trade, 85534.423, 104, B01, S23, 1
B01, Trade, 85535.308, 108, S09, B01, 1
B01, Trade, 85554.865, 114, S16, B01, 1
B01, Trade, 85574.942, 108, S02, B01, 1
B01, Trade, 85596.365, 105, B01, S24, 1
B01, Trade, 85602.615, 112, B01, S08, 1
B01, Trade, 85612.365, 104, S18, B01, 1
B01, Trade, 85623.808, 101, B01, S03, 1
B01, Trade, 85626.827, 109, S09, B01, 1
B01, Trade, 85639.788, 113, S15, B01, 1
B01, Trade, 85654.385, 106, B01, S03, 1
B01, Trade, 85667.481, 104, B01, S22, 1
