dataset_day,simulation,PT1_profit,PT2_profit
1,1,1500.0,13307.0
1,2,1309.0,13902.0
1,3,1471.0,12490.0
1,4,1593.0,13153.0
1,5,1323.0,12605.0
1,6,1502.0,13541.0
1,7,1576.0,12693.0
1,8,1659.0,13420.0
1,9,1588.0,12514.0
1,10,1500.0,13048.0
2,1,1610.0,13016.0
2,2,1513.0,13560.0
2,3,1681.0,12186.0
2,4,1642.0,13756.0
2,5,1587.0,13836.0
2,6,1357.0,12552.0
2,7,1488.0,12567.0
2,8,1493.0,13486.0
2,9,1428.0,13032.0
2,10,1401.0,12830.0
3,1,1627.0,13676.0
3,2,1615.0,12620.0
3,3,1437.0,12666.0
3,4,754.0,12721.0
3,5,1813.0,12935.0
3,6,1671.0,12238.0
3,7,1603.0,13436.0
3,8,1617.0,13262.0
3,9,1569.0,13162.0
3,10,1652.0,12994.0
