B00, 100
B00, Trade, 85252.135, 175, S05, B00, 1
B00, Trade, 85266.865, 175, S10, B00, 1
B00, Trade, 85285.308, 173, S23, B00, 1
B00, Trade, 85309.635, 174, S07, B00, 1
B00, Trade, 85317.846, 176, B00, S01, 1
B00, Trade, 85334.692, 176, S17, B00, 1
B00, Trade, 85349.481, 170, S10, B00, 1
B00, Trade, 85363.288, 176, P00, B00, 1
B00, Trade, 85366.096, 177, S17, B00, 1
B00, Trade, 85385.769, 178, S24, B00, 1
B00, Trade, 85400.346, 171, S13, B00, 1
B00, Trade, 85402.904, 180, S24, B00, 1
B00, Trade, 85430.250, 175, B00, S02, 1
B00, Trade, 85437.519, 168, S23, B00, 1
B00, Trade, 85452.615, 176, S14, B00, 1
B00, Trade, 85466.538, 176, S01, B00, 1
B00, Trade, 85488.231, 162, B00, S05, 1
B00, Trade, 85489.462, 175, S10, B00, 1
B00, Trade, 85509.269, 168, B00, S20, 1
B00, Trade, 85509.615, 175, S17, B00, 1
B00, Trade, 85522.385, 179, S02, B00, 1
B00, Trade, 85542.942, 175, S17, B00, 1
B00, Trade, 85543.346, 176, S08, B00, 1
B00, Trade, 85553.346, 167, S13, B00, 1
B00, Trade, 85569.538, 172, S03, B00, 1
B00, Trade, 85581.288, 178, P00, B00, 1
B00, Trade, 85594.712, 167, B00, S21, 1
B00, Trade, 85601.269, 172, S17, B00, 1
B00, Trade, 85611.404, 168, S16, B00, 1
B00, Trade, 85621.000, 170, S16, B00, 1
B00, Trade, 85629.615, 179, S09, B00, 1
B00, Trade, 85636.635, 170, S15, B00, 1
B00, Trade, 85646.692, 171, S00, B00, 1
B00, Trade, 85658.019, 170, S05, B00, 1
B00, Trade, 85670.827, 168, B00, S22, 1
B00, Trade, 85678.942, 165, S01, B00, 1
B00, Trade, 85694.077, 166, B00, S08, 1
B00, Trade, 85711.538, 173, S00, B00, 1
B00, Trade, 85720.462, 176, S05, B00, 1
B00, Trade, 85738.750, 167, B00, S06, 1
B00, Trade, 85750.808, 172, S15, B00, 1
B00, Trade, 85758.538, 174, S16, B00, 1
B00, Trade, 85768.827, 172, S14, B00, 1
B00, Trade, 85783.288, 171, B00, S11, 1
B00, Trade, 85790.288, 171, P00, B00, 1
B00, Trade, 85801.096, 171, S15, B00, 1
B00, Trade, 85811.000, 184, B00, S04, 1
B00, Trade, 85819.904, 175, S22, B00, 1
B00, Trade, 85833.212, 178, S14, B00, 1
B00, Trade, 85834.981, 176, P00, B00, 1
B00, Trade, 85846.462, 174, S17, B00, 1
B00, Trade, 85864.038, 176, S15, B00, 1
B00, Trade, 85870.769, 165, P00, B00, 1
B00, Trade, 85888.173, 171, B00, S16, 1
B00, Trade, 85893.346, 182, S08, B00, 1
B00, Trade, 85907.096, 170, B00, S15, 1
B00, Trade, 85918.000, 173, B00, S01, 1
B00, Trade, 85929.481, 168, B00, S02, 1
B00, Trade, 85940.942, 171, S05, B00, 1
B00, Trade, 85952.365, 164, B00, S09, 1
B00, Trade, 85962.462, 169, S22, B00, 1
B00, Trade, 85967.808, 172, S01, B00, 1
B00, Trade, 85980.365, 167, B00, S24, 1
B00, Trade, 85986.596, 177, S01, B00, 1
B00, Trade, 86001.115, 172, B00, S11, 1
B00, Trade, 86009.981, 169, P00, B00, 1
B00, Trade, 86021.635, 181, S24, B00, 1
B00, Trade, 86024.327, 178, S17, B00, 1
B00, Trade, 86038.788, 172, S09, B00, 1
B00, Trade, 86044.038, 169, S08, B00, 1
B00, Trade, 86061.538, 170, B00, S04, 1
B00, Trade, 86069.442, 178, S22, B00, 1
B00, Trade, 86074.712, 176, P00, B00, 1
B00, Trade, 86089.308, 175, S10, B00, 1
B00, Trade, 86094.519, 175, S24, B00, 1
B00, Trade, 86113.865, 174, S16, B00, 1
B00, Trade, 86117.250, 174, B00, S10, 1
B00, Trade, 86141.192, 175, S06, B00, 1
B00, Trade, 86151.154, 172, S03, B00, 1
B00, Trade, 86163.269, 175, S07, B00, 1
B00, Trade, 86172.231, 170, S16, B00, 1
B00, Trade, 86182.558, 166, B00, S03, 1
B00, Trade, 86191.308, 172, S15, B00, 1
B00, Trade, 86202.654, 169, S15, B00, 1
B00, Trade, 86208.596, 171, S00, B00, 1
B00, Trade, 86227.308, 164, B00, S20, 1
B00, Trade, 86242.904, 174, B00, S14, 1
B00, Trade, 86248.846, 174, S05, B00, 1
B00, Trade, 86263.538, 172, S18, B00, 1
B00, Trade, 86273.788, 166, S07, B00, 1
B00, Trade, 86280.096, 166, B00, S21, 1
B00, Trade, 86287.019, 170, S07, B00, 1
B00, Trade, 86308.596, 168, P00, B00, 1
B00, Trade, 86325.500, 173, S02, B00, 1
B00, Trade, 86337.692, 176, S16, B00, 1
