B00, 100
B00, Trade, 84964.096, 166, B00, S02, 1
B00, Trade, 84983.750, 167, B00, S14, 1
B00, Trade, 84989.519, 170, S16, B00, 1
B00, Trade, 84995.692, 172, S00, B00, 1
B00, Trade, 85003.115, 174, B00, S24, 1
B00, Trade, 85037.404, 173, B00, S05, 1
B00, Trade, 85043.115, 173, S06, B00, 1
B00, Trade, 85060.404, 169, B00, S04, 1
B00, Trade, 85068.038, 168, S12, B00, 1
B00, Trade, 85097.692, 183, S13, B00, 1
B00, Trade, 85115.673, 173, S24, B00, 1
B00, Trade, 85155.058, 170, B00, S15, 1
B00, Trade, 85175.038, 173, S00, B00, 1
B00, Trade, 85191.404, 167, B00, S01, 1
B00, Trade, 85213.635, 165, B00, S01, 1
B00, Trade, 85231.269, 164, B00, S12, 1
B00, Trade, 85236.885, 171, S20, B00, 1
B00, Trade, 85261.865, 171, B00, S17, 1
B00, Trade, 85264.769, 167, S06, B00, 1
B00, Trade, 85277.288, 178, S03, B00, 1
B00, Trade, 85294.019, 169, B00, S02, 1
B00, Trade, 85311.769, 170, B00, S20, 1
B00, Trade, 85319.500, 173, S15, B00, 1
B00, Trade, 85334.077, 166, B00, S00, 1
B00, Trade, 85347.231, 167, B00, S09, 1
B00, Trade, 85347.808, 177, S07, B00, 1
B00, Trade, 85366.577, 173, P01, B00, 1
B00, Trade, 85392.827, 177, B00, S24, 1
B00, Trade, 85428.788, 170, B00, S08, 1
B00, Trade, 85434.673, 178, S23, B00, 1
B00, Trade, 85447.346, 170, B00, S00, 1
B00, Trade, 85464.615, 162, B00, S10, 1
B00, Trade, 85467.692, 177, S02, B00, 1
B00, Trade, 85484.481, 173, B00, S15, 1
B00, Trade, 85492.577, 172, S09, B00, 1
B00, Trade, 85507.615, 164, B00, S05, 1
B00, Trade, 85519.519, 190, S07, B00, 1
B00, Trade, 85537.000, 181, S11, B00, 1
B00, Trade, 85560.231, 175, B00, S22, 1
B00, Trade, 85561.788, 175, S05, B00, 1
B00, Trade, 85581.962, 176, B00, S23, 1
B00, Trade, 85590.308, 176, S14, B00, 1
B00, Trade, 85606.019, 170, B00, S09, 1
B00, Trade, 85625.962, 167, B00, S21, 1
B00, Trade, 85637.942, 181, P01, B00, 1
B00, Trade, 85649.212, 170, S23, B00, 1
B00, Trade, 85664.269, 169, B00, S22, 1
B00, Trade, 85674.654, 179, S24, B00, 1
B00, Trade, 85701.192, 174, B00, S22, 1
B00, Trade, 85713.115, 171, B00, S16, 1
B00, Trade, 85725.442, 173, B00, S19, 1
B00, Trade, 85743.404, 178, S06, B00, 1
B00, Trade, 85754.154, 171, B00, S20, 1
B00, Trade, 85756.346, 177, B00, S06, 1
B00, Trade, 85776.981, 169, B00, S15, 1
B00, Trade, 85800.500, 179, S21, B00, 1
B00, Trade, 85830.346, 176, S20, B00, 1
B00, Trade, 85843.385, 172, B00, S03, 1
B00, Trade, 85852.577, 168, B00, S08, 1
B00, Trade, 85858.038, 168, B00, S08, 1
B00, Trade, 85869.750, 170, B00, S03, 1
B00, Trade, 85882.827, 174, B00, S09, 1
B00, Trade, 85887.942, 173, S24, B00, 1
B00, Trade, 85919.538, 172, S06, B00, 1
B00, Trade, 85935.500, 172, B00, S14, 1
B00, Trade, 85949.692, 173, B00, S03, 1
B00, Trade, 85951.519, 176, S07, B00, 1
B00, Trade, 85953.962, 171, P01, B00, 1
B00, Trade, 85970.827, 165, B00, S08, 1
B00, Trade, 85988.538, 179, B00, S21, 1
B00, Trade, 86006.923, 175, S21, B00, 1
B00, Trade, 86029.385, 172, B00, S16, 1
B00, Trade, 86031.654, 177, S14, B00, 1
B00, Trade, 86035.077, 170, B00, S15, 1
B00, Trade, 86049.058, 176, S00, B00, 1
B00, Trade, 86061.038, 169, B00, S03, 1
B00, Trade, 86063.846, 175, B00, S04, 1
B00, Trade, 86081.731, 174, S10, B00, 1
B00, Trade, 86099.231, 171, S00, B00, 1
B00, Trade, 86118.981, 175, S17, B00, 1
B00, Trade, 86128.635, 170, S19, B00, 1
B00, Trade, 86152.885, 165, B00, S15, 1
