B00, 100
B00, Trade, 85003.808, 168, P01, B00, 1
B00, Trade, 85025.635, 164, S00, B00, 1
B00, Trade, 85059.038, 167, P01, B00, 1
B00, Trade, 85087.442, 164, B00, S08, 1
B00, Trade, 85094.250, 155, B00, S12, 1
B00, Trade, 85108.231, 168, S24, B00, 1
B00, Trade, 85116.808, 172, S24, B00, 1
B00, Trade, 85127.135, 166, B00, S23, 1
B00, Trade, 85135.519, 168, S01, B00, 1
B00, Trade, 85152.481, 162, B00, S22, 1
B00, Trade, 85153.462, 172, S16, B00, 1
B00, Trade, 85199.500, 176, S17, B00, 1
B00, Trade, 85210.769, 169, B00, S17, 1
B00, Trade, 85223.192, 160, B00, S20, 1
B00, Trade, 85232.519, 161, B00, S06, 1
B00, Trade, 85241.231, 165, B00, S10, 1
B00, Trade, 85247.096, 169, S01, B00, 1
B00, Trade, 85263.654, 171, P01, B00, 1
B00, Trade, 85282.077, 165, B00, S02, 1
B00, Trade, 85282.846, 171, S01, B00, 1
B00, Trade, 85298.365, 164, B00, S02, 1
B00, Trade, 85327.115, 159, B00, S07, 1
B00, Trade, 85331.962, 163, P01, B00, 1
B00, Trade, 85336.442, 169, S16, B00, 1
B00, Trade, 85362.692, 167, S14, B00, 1
B00, Trade, 85384.288, 168, B00, S11, 1
B00, Trade, 85387.962, 164, B00, S23, 1
B00, Trade, 85396.904, 161, S04, B00, 1
B00, Trade, 85414.615, 173, S14, B00, 1
B00, Trade, 85434.481, 163, B00, S23, 1
B00, Trade, 85441.865, 172, S19, B00, 1
B00, Trade, 85449.019, 164, P01, B00, 1
B00, Trade, 85460.423, 172, B00, S09, 1
B00, Trade, 85466.538, 165, B00, S01, 1
B00, Trade, 85486.404, 172, S05, B00, 1
B00, Trade, 85498.308, 164, B00, S19, 1
B00, Trade, 85516.212, 166, S03, B00, 1
B00, Trade, 85535.077, 160, B00, S08, 1
B00, Trade, 85539.885, 164, S01, B00, 1
B00, Trade, 85553.500, 165, S15, B00, 1
B00, Trade, 85572.346, 168, S17, B00, 1
B00, Trade, 85587.327, 157, B00, S01, 1
B00, Trade, 85598.538, 171, S24, B00, 1
B00, Trade, 85606.481, 167, B00, S02, 1
B00, Trade, 85624.481, 162, B00, S13, 1
B00, Trade, 85637.077, 168, S16, B00, 1
B00, Trade, 85651.135, 171, B00, S06, 1
B00, Trade, 85659.192, 160, B00, S03, 1
B00, Trade, 85670.096, 162, B00, S23, 1
B00, Trade, 85679.519, 169, S12, B00, 1
B00, Trade, 85695.692, 165, B00, S21, 1
B00, Trade, 85697.635, 168, S19, B00, 1
B00, Trade, 85725.923, 165, B00, S07, 1
B00, Trade, 85728.404, 166, B00, S20, 1
B00, Trade, 85741.404, 172, S18, B00, 1
B00, Trade, 85759.788, 168, S18, B00, 1
