dataset_day,simulation,PT1_profit,PT2_profit
1,1,2449.0,12404.0
1,2,2344.0,13982.0
1,3,2540.0,12916.0
1,4,2282.0,12490.0
1,5,2099.0,13202.0
1,6,2040.0,13992.0
1,7,2303.0,13191.0
1,8,2273.0,13544.0
1,9,2085.0,12845.0
1,10,2218.0,12894.0
2,1,1945.0,13686.0
2,2,1999.0,12787.0
2,3,2177.0,13014.0
2,4,1493.0,13209.0
2,5,1630.0,13121.0
2,6,1988.0,12264.0
2,7,1708.0,14220.0
2,8,1951.0,13620.0
2,9,1708.0,13201.0
2,10,1647.0,13391.0
3,1,1590.0,13332.0
3,2,1333.0,12497.0
3,3,1342.0,12571.0
3,4,1757.0,12508.0
3,5,1620.0,13459.0
3,6,1453.0,13144.0
3,7,1668.0,13580.0
3,8,1501.0,13318.0
3,9,1346.0,13358.0
3,10,1498.0,12927.0
