B00, 100
B00, Trade, 84888.769, 104, B00, S10, 1
B00, Trade, 84903.846, 102, B00, S22, 1
B00, Trade, 84906.904, 106, B00, S01, 1
B00, Trade, 84921.250, 104, B00, S02, 1
B00, Trade, 84941.846, 110, S02, B00, 1
B00, Trade, 84955.962, 109, B00, S08, 1
B00, Trade, 84961.500, 110, B00, S19, 1
B00, Trade, 84966.558, 108, B00, S08, 1
B00, Trade, 84986.962, 116, P01, B00, 1
B00, Trade, 84992.385, 109, B00, S00, 1
B00, Trade, 85018.923, 109, B00, S00, 1
B00, Trade, 85035.096, 105, S03, B00, 1
B00, Trade, 85055.769, 110, B00, S17, 1
B00, Trade, 85061.596, 99, B00, S19, 1
B00, Trade, 85078.519, 102, B00, S08, 1
B00, Trade, 85088.077, 115, S09, B00, 1
B00, Trade, 85106.115, 106, B00, S22, 1
B00, Trade, 85116.231, 104, B00, S17, 1
B00, Trade, 85127.712, 113, S03, B00, 1
B00, Trade, 85132.538, 115, S21, B00, 1
B00, Trade, 85146.558, 102, B00, S13, 1
B00, Trade, 85165.308, 103, S01, B00, 1
B00, Trade, 85177.654, 107, S24, B00, 1
B00, Trade, 85200.231, 103, B00, S21, 1
B00, Trade, 85201.635, 101, S14, B00, 1
B00, Trade, 85227.365, 102, S03, B00, 1
B00, Trade, 85234.192, 104, B00, S15, 1
B00, Trade, 85248.788, 106, S09, B00, 1
B00, Trade, 85261.115, 110, S20, B00, 1
B00, Trade, 85273.788, 99, B00, S10, 1
B00, Trade, 85278.981, 108, S16, B00, 1
B00, Trade, 85293.019, 110, S03, B00, 1
B00, Trade, 85314.596, 104, B00, S19, 1
B00, Trade, 85326.231, 103, B00, S21, 1
B00, Trade, 85344.500, 97, B00, S24, 1
B00, Trade, 85354.923, 108, S22, B00, 1
B00, Trade, 85370.192, 104, B00, S07, 1
B00, Trade, 85380.385, 106, S02, B00, 1
B00, Trade, 85384.654, 104, S03, B00, 1
B00, Trade, 85402.846, 104, B00, S24, 1
B00, Trade, 85417.327, 103, B00, S19, 1
B00, Trade, 85426.962, 102, S09, B00, 1
B00, Trade, 85443.500, 105, B00, S21, 1
B00, Trade, 85450.346, 106, B00, S22, 1
B00, Trade, 85462.058, 104, S00, B00, 1
B00, Trade, 85474.212, 106, S06, B00, 1
B00, Trade, 85522.173, 104, S09, B00, 1
B00, Trade, 85534.596, 106, S14, B00, 1
B00, Trade, 85556.423, 99, B00, S04, 1
B00, Trade, 85576.827, 104, S09, B00, 1
B00, Trade, 85594.808, 103, S23, B00, 1
B00, Trade, 85611.269, 104, S09, B00, 1
B00, Trade, 85626.385, 100, B00, S13, 1
B00, Trade, 85629.558, 106, S02, B00, 1
B00, Trade, 85638.192, 96, B00, S21, 1
B00, Trade, 85657.058, 102, B00, S08, 1
B00, Trade, 85682.615, 102, S24, B00, 1
B00, Trade, 85691.615, 108, S06, B00, 1
B00, Trade, 85718.731, 106, S14, B00, 1
B00, Trade, 85737.481, 100, S00, B00, 1
B00, Trade, 85742.750, 103, S21, B00, 1
B00, Trade, 85758.327, 107, B00, S16, 1
B00, Trade, 85779.865, 103, S22, B00, 1
B00, Trade, 85794.058, 100, B00, S06, 1
B00, Trade, 85817.615, 97, B00, S13, 1
B00, Trade, 85840.712, 106, S10, B00, 1
B00, Trade, 85846.481, 110, S08, B00, 1
B00, Trade, 85867.462, 110, S22, B00, 1
B00, Trade, 85902.769, 108, S02, B00, 1
B00, Trade, 85906.635, 99, B00, S19, 1
B00, Trade, 85917.827, 113, S09, B00, 1
B00, Trade, 85943.404, 106, S18, B00, 1
B00, Trade, 85960.231, 110, P01, B00, 1
B00, Trade, 85972.865, 107, B00, S17, 1
B00, Trade, 85978.731, 106, B00, S05, 1
B00, Trade, 85997.346, 110, S23, B00, 1
B00, Trade, 86009.346, 102, B00, S10, 1
B00, Trade, 86054.346, 101, B00, S15, 1
B00, Trade, 86070.981, 103, S03, B00, 1
B00, Trade, 86097.673, 107, P01, B00, 1
B00, Trade, 86117.635, 106, B00, S03, 1
B00, Trade, 86121.250, 106, S00, B00, 1
B00, Trade, 86148.462, 100, B00, S16, 1
B00, Trade, 86151.827, 113, S04, B00, 1
B00, Trade, 86156.923, 114, P01, B00, 1
B00, Trade, 86185.212, 115, S09, B00, 1
B00, Trade, 86208.596, 107, B00, S09, 1
B00, Trade, 86231.058, 110, B00, S05, 1
B00, Trade, 86241.096, 107, B00, S10, 1
B00, Trade, 86254.654, 109, S00, B00, 1
B00, Trade, 86275.865, 105, B00, S21, 1
B00, Trade, 86286.885, 104, B00, S14, 1
B00, Trade, 86294.827, 104, B00, S13, 1
B00, Trade, 86298.000, 109, S15, B00, 1
B00, Trade, 86317.154, 107, S07, B00, 1
B00, Trade, 86330.712, 104, B00, S00, 1
B00, Trade, 86353.538, 105, S02, B00, 1
B00, Trade, 86355.846, 108, S14, B00, 1
B00, Trade, 86371.327, 112, B00, S24, 1
B00, Trade, 86381.154, 107, P01, B00, 1
B01, 100
B01, Trade, 84965.385, 109, B01, S06, 1
B01, Trade, 84976.096, 101, S06, B01, 1
B01, Trade, 84989.577, 109, S21, B01, 1
B01, Trade, 85001.327, 104, B01, S13, 1
B01, Trade, 85013.673, 112, B01, S18, 1
B01, Trade, 85021.538, 107, S20, B01, 1
B01, Trade, 85023.192, 108, B01, S05, 1
B01, Trade, 85047.135, 107, B01, S22, 1
B01, Trade, 85053.500, 112, S14, B01, 1
B01, Trade, 85082.673, 102, B01, S24, 1
B01, Trade, 85086.096, 100, B01, S10, 1
B01, Trade, 85103.269, 105, B01, S00, 1
B01, Trade, 85114.808, 108, P01, B01, 1
B01, Trade, 85146.942, 106, B01, S14, 1
B01, Trade, 85152.577, 109, S01, B01, 1
B01, Trade, 85181.942, 108, S02, B01, 1
B01, Trade, 85201.712, 105, P01, B01, 1
B01, Trade, 85214.519, 109, S09, B01, 1
B01, Trade, 85232.981, 103, B01, S14, 1
B01, Trade, 85242.538, 106, S05, B01, 1
B01, Trade, 85269.615, 110, P01, B01, 1
B01, Trade, 85304.731, 104, P01, B01, 1
B01, Trade, 85338.769, 103, B01, S12, 1
B01, Trade, 85345.038, 101, B01, S03, 1
B01, Trade, 85348.500, 104, S00, B01, 1
B01, Trade, 85356.673, 103, B01, S09, 1
B01, Trade, 85379.885, 103, B01, S18, 1
B01, Trade, 85393.654, 99, B01, S15, 1
B01, Trade, 85397.462, 110, S18, B01, 1
B01, Trade, 85415.904, 106, S22, B01, 1
B01, Trade, 85429.212, 98, B01, S19, 1
B01, Trade, 85434.077, 110, S14, B01, 1
B01, Trade, 85451.923, 105, B01, S15, 1
B01, Trade, 85464.288, 110, S22, B01, 1
B01, Trade, 85481.596, 102, B01, S08, 1
B01, Trade, 85492.058, 102, S14, B01, 1
B01, Trade, 85506.038, 104, B01, S24, 1
B01, Trade, 85532.942, 102, B01, S13, 1
B01, Trade, 85550.308, 101, P01, B01, 1
B01, Trade, 85561.115, 96, S20, B01, 1
B01, Trade, 85573.462, 100, B01, S13, 1
B01, Trade, 85577.442, 98, B01, S14, 1
B01, Trade, 85588.173, 105, S20, B01, 1
B01, Trade, 85607.615, 105, B01, S22, 1
B01, Trade, 85623.404, 108, S22, B01, 1
B01, Trade, 85633.962, 101, B01, S04, 1
B01, Trade, 85653.154, 101, B01, S22, 1
B01, Trade, 85663.192, 104, S24, B01, 1
B01, Trade, 85674.077, 110, S06, B01, 1
B01, Trade, 85692.538, 107, B01, S20, 1
B01, Trade, 85703.538, 103, B01, S16, 1
B01, Trade, 85708.712, 105, P01, B01, 1
B01, Trade, 85737.500, 100, S01, B01, 1
B01, Trade, 85748.500, 103, B01, S09, 1
B01, Trade, 85761.558, 97, B01, S17, 1
B01, Trade, 85782.250, 98, B01, S24, 1
B01, Trade, 85792.327, 104, S20, B01, 1
B01, Trade, 85797.981, 98, B01, S17, 1
B01, Trade, 85810.827, 107, S09, B01, 1
B01, Trade, 85839.308, 104, S22, B01, 1
B01, Trade, 85875.827, 111, B01, S19, 1
B01, Trade, 85886.038, 111, S20, B01, 1
B01, Trade, 85905.077, 104, P01, B01, 1
B01, Trade, 85926.558, 107, B01, S01, 1
B01, Trade, 85941.327, 103, S03, B01, 1
B01, Trade, 85951.019, 104, B01, S09, 1
B01, Trade, 85961.154, 103, B01, S01, 1
B01, Trade, 85972.135, 110, S03, B01, 1
B01, Trade, 85986.904, 109, B01, S10, 1
B01, Trade, 85989.615, 105, S21, B01, 1
B01, Trade, 85996.058, 109, S19, B01, 1
B01, Trade, 86011.769, 99, B01, S04, 1
B01, Trade, 86024.712, 105, B01, S06, 1
B01, Trade, 86027.269, 110, S19, B01, 1
B01, Trade, 86038.846, 120, B01, S24, 1
B01, Trade, 86060.019, 104, B01, S18, 1
B01, Trade, 86067.058, 103, P01, B01, 1
B01, Trade, 86083.558, 107, B01, S08, 1
B01, Trade, 86097.538, 103, B01, S15, 1
B01, Trade, 86100.442, 107, S06, B01, 1
B01, Trade, 86122.865, 122, S07, B01, 1
B01, Trade, 86143.942, 102, B01, S20, 1
B01, Trade, 86149.635, 114, P00, B01, 1
B01, Trade, 86173.673, 104, B01, S10, 1
B01, Trade, 86185.038, 115, B01, S04, 1
B01, Trade, 86220.115, 105, B01, S00, 1
B01, Trade, 86234.442, 112, S00, B01, 1
B01, Trade, 86254.731, 109, S06, B01, 1
B01, Trade, 86270.058, 111, B01, S07, 1
B01, Trade, 86283.654, 105, B01, S16, 1
B01, Trade, 86294.788, 105, S04, B01, 1
B01, Trade, 86298.135, 109, S16, B01, 1
B01, Trade, 86320.731, 109, S00, B01, 1
B01, Trade, 86341.885, 109, B01, S17, 1
B01, Trade, 86345.000, 102, B01, S05, 1
B01, Trade, 86353.904, 101, B01, S22, 1
B01, Trade, 86365.423, 101, B01, S06, 1
B01, Trade, 86369.500, 113, S02, B01, 1
B01, Trade, 86387.346, 106, B01, S00, 1
B01, Trade, 86392.904, 111, S22, B01, 1
B02, 100
B02, Trade, 85062.212, 110, B02, S16, 1
B02, Trade, 85087.885, 114, S04, B02, 1
B02, Trade, 85101.923, 107, B02, S15, 1
B02, Trade, 85110.519, 106, B02, S08, 1
B02, Trade, 85121.462, 113, S15, B02, 1
B02, Trade, 85142.058, 113, B02, S16, 1
B02, Trade, 85152.250, 108, P01, B02, 1
B02, Trade, 85166.231, 112, S17, B02, 1
B02, Trade, 85183.385, 101, B02, S17, 1
B02, Trade, 85186.558, 102, B02, S08, 1
B02, Trade, 85198.942, 122, S03, B02, 1
B02, Trade, 85213.827, 105, B02, S19, 1
B02, Trade, 85217.077, 129, B02, P00, 1
B02, Trade, 85226.327, 100, B02, S24, 1
B02, Trade, 85246.288, 101, S20, B02, 1
B02, Trade, 85271.000, 101, B02, S07, 1
B02, Trade, 85271.712, 105, S20, B02, 1
B02, Trade, 85283.231, 105, B02, S19, 1
B02, Trade, 85292.577, 103, S06, B02, 1
B02, Trade, 85306.615, 104, B02, S23, 1
B02, Trade, 85316.846, 105, S20, B02, 1
B02, Trade, 85324.615, 101, B02, S23, 1
B02, Trade, 85338.038, 107, S18, B02, 1
B02, Trade, 85355.115, 106, B02, S08, 1
B02, Trade, 85366.500, 107, B02, S15, 1
B02, Trade, 85380.654, 103, B02, S04, 1
B02, Trade, 85389.885, 107, B02, S01, 1
B02, Trade, 85404.750, 109, S22, B02, 1
B02, Trade, 85422.788, 99, B02, S01, 1
B02, Trade, 85430.192, 107, P01, B02, 1
B02, Trade, 85447.096, 103, B02, S23, 1
B02, Trade, 85458.538, 106, S02, B02, 1
B02, Trade, 85467.481, 107, B02, S13, 1
B02, Trade, 85477.885, 102, B02, S17, 1
B02, Trade, 85486.731, 105, S09, B02, 1
B02, Trade, 85502.846, 102, B02, S01, 1
B02, Trade, 85509.519, 103, S15, B02, 1
B02, Trade, 85524.192, 103, B02, S00, 1
B02, Trade, 85529.635, 106, S04, B02, 1
B02, Trade, 85539.096, 103, S07, B02, 1
B02, Trade, 85559.596, 97, B02, S02, 1
B02, Trade, 85568.673, 110, S05, B02, 1
B02, Trade, 85591.942, 106, S09, B02, 1
B02, Trade, 85596.000, 106, B02, S17, 1
B02, Trade, 85611.346, 106, P01, B02, 1
B02, Trade, 85620.788, 103, B02, S19, 1
B02, Trade, 85636.154, 100, B02, S22, 1
B02, Trade, 85644.654, 100, B02, S18, 1
B02, Trade, 85656.942, 106, S00, B02, 1
B02, Trade, 85676.231, 101, B02, S13, 1
B02, Trade, 85699.577, 107, S20, B02, 1
B02, Trade, 85702.865, 108, P01, B02, 1
B02, Trade, 85722.096, 104, B02, S17, 1
B02, Trade, 85731.692, 103, S02, B02, 1
B02, Trade, 85752.712, 105, S23, B02, 1
B02, Trade, 85762.731, 96, S05, B02, 1
B02, Trade, 85778.750, 100, B02, S04, 1
B02, Trade, 85792.538, 105, S02, B02, 1
B02, Trade, 85808.288, 101, B02, S15, 1
B02, Trade, 85813.750, 106, S03, B02, 1
B02, Trade, 85831.635, 108, S09, B02, 1
B02, Trade, 85841.846, 110, S24, B02, 1
B02, Trade, 85877.192, 112, S02, B02, 1
B02, Trade, 85903.962, 98, B02, S05, 1
B02, Trade, 85916.308, 101, B02, S08, 1
B02, Trade, 85921.519, 114, S21, B02, 1
B02, Trade, 85925.462, 106, S02, B02, 1
B02, Trade, 85943.250, 102, B02, S12, 1
B02, Trade, 85953.635, 97, B02, S08, 1
B02, Trade, 85963.808, 103, S03, B02, 1
B02, Trade, 85973.846, 107, B02, S04, 1
B02, Trade, 85983.558, 110, S03, B02, 1
B02, Trade, 86007.058, 106, S13, B02, 1
B02, Trade, 86027.250, 107, P01, B02, 1
B02, Trade, 86038.423, 125, B02, S22, 1
B02, Trade, 86048.038, 108, B02, S06, 1
B02, Trade, 86069.462, 102, S20, B02, 1
B02, Trade, 86076.769, 113, S11, B02, 1
B02, Trade, 86094.808, 105, B02, S17, 1
B02, Trade, 86096.519, 106, S03, B02, 1
B02, Trade, 86112.231, 108, B02, S16, 1
B02, Trade, 86132.635, 106, S13, B02, 1
B02, Trade, 86138.135, 103, S22, B02, 1
B02, Trade, 86157.135, 115, S17, B02, 1
B02, Trade, 86175.577, 103, S09, B02, 1
B02, Trade, 86193.654, 103, B02, S16, 1
B02, Trade, 86198.115, 110, B02, S09, 1
B02, Trade, 86217.731, 107, B02, S11, 1
B02, Trade, 86223.942, 104, B02, S16, 1
B02, Trade, 86225.115, 109, S21, B02, 1
B02, Trade, 86235.442, 111, S09, B02, 1
B02, Trade, 86251.404, 108, B02, S17, 1
B02, Trade, 86268.058, 113, S16, B02, 1
B02, Trade, 86286.712, 106, S20, B02, 1
B02, Trade, 86299.038, 102, B02, S08, 1
B02, Trade, 86319.423, 111, S22, B02, 1
B02, Trade, 86340.865, 110, B02, S13, 1
B02, Trade, 86355.673, 102, S18, B02, 1
B02, Trade, 86365.038, 106, B02, S08, 1
B02, Trade, 86371.615, 113, S21, B02, 1
B03, 100
B03, Trade, 85124.558, 107, S07, B03, 1
B03, Trade, 85134.635, 110, B03, S23, 1
B03, Trade, 85150.500, 107, B03, S03, 1
B03, Trade, 85158.692, 110, B03, S16, 1
B03, Trade, 85170.635, 100, B03, S12, 1
B03, Trade, 85190.635, 99, B03, S19, 1
B03, Trade, 85198.692, 107, B03, S11, 1
B03, Trade, 85209.192, 105, S05, B03, 1
B03, Trade, 85220.712, 109, B03, S18, 1
B03, Trade, 85224.000, 104, B03, S04, 1
B03, Trade, 85241.462, 105, B03, S06, 1
B03, Trade, 85250.712, 106, S21, B03, 1
B03, Trade, 85270.769, 103, B03, S00, 1
B03, Trade, 85274.942, 99, B03, S15, 1
B03, Trade, 85289.346, 101, S02, B03, 1
B03, Trade, 85297.212, 106, B03, S14, 1
B03, Trade, 85311.731, 107, S00, B03, 1
B03, Trade, 85326.923, 102, B03, S01, 1
B03, Trade, 85339.942, 104, B03, S08, 1
