B00, 100
B00, Trade, 85227.673, 101, P01, B00, 1
B00, Trade, 85240.077, 109, S13, B00, 1
B00, Trade, 85252.327, 103, S12, B00, 1
B00, Trade, 85263.308, 100, B00, S20, 1
B00, Trade, 85275.519, 102, B00, S19, 1
B00, Trade, 85278.731, 108, S18, B00, 1
B00, Trade, 85292.096, 107, P01, B00, 1
B00, Trade, 85309.231, 105, S10, B00, 1
B00, Trade, 85321.808, 102, B00, S14, 1
B00, Trade, 85363.577, 103, B00, S01, 1
B00, Trade, 85368.365, 110, B00, S05, 1
B00, Trade, 85381.481, 104, S06, B00, 1
B00, Trade, 85389.692, 107, B00, S15, 1
B00, Trade, 85403.442, 101, B00, S21, 1
B00, Trade, 85409.365, 100, S20, B00, 1
B00, Trade, 85412.865, 104, S15, B00, 1
B00, Trade, 85428.442, 97, S20, B00, 1
B00, Trade, 85436.788, 101, B00, S06, 1
B00, Trade, 85449.635, 107, S19, B00, 1
B00, Trade, 85453.519, 102, B00, S17, 1
B00, Trade, 85464.808, 108, S22, B00, 1
B00, Trade, 85481.385, 105, S24, B00, 1
B00, Trade, 85492.000, 114, P01, B00, 1
B00, Trade, 85503.865, 103, B00, S21, 1
B00, Trade, 85505.654, 107, S00, B00, 1
B00, Trade, 85515.250, 104, S20, B00, 1
B00, Trade, 85533.212, 112, S23, B00, 1
B00, Trade, 85550.750, 102, B00, S03, 1
B00, Trade, 85555.750, 96, S13, B00, 1
B00, Trade, 85570.500, 105, B00, S22, 1
B00, Trade, 85573.519, 104, S06, B00, 1
B00, Trade, 85592.250, 105, S20, B00, 1
B00, Trade, 85601.942, 104, S13, B00, 1
B00, Trade, 85605.173, 101, S19, B00, 1
B00, Trade, 85619.923, 103, S00, B00, 1
B00, Trade, 85631.173, 104, S06, B00, 1
B00, Trade, 85643.865, 102, P01, B00, 1
B00, Trade, 85661.942, 103, S24, B00, 1
B00, Trade, 85673.115, 101, S15, B00, 1
B00, Trade, 85682.962, 105, S22, B00, 1
B00, Trade, 85685.692, 103, P01, B00, 1
B00, Trade, 85695.827, 106, P00, B00, 1
B00, Trade, 85707.865, 101, S13, B00, 1
B00, Trade, 85722.654, 103, B00, S24, 1
B00, Trade, 85730.712, 107, S23, B00, 1
B00, Trade, 85741.058, 105, P01, B00, 1
B00, Trade, 85754.577, 100, B00, S16, 1
B00, Trade, 85755.058, 102, S11, B00, 1
B00, Trade, 85765.173, 104, S18, B00, 1
B00, Trade, 85779.654, 102, S22, B00, 1
B00, Trade, 85793.019, 103, B00, S24, 1
B00, Trade, 85798.596, 99, S14, B00, 1
B00, Trade, 85806.577, 106, S15, B00, 1
B00, Trade, 85821.019, 108, B00, S16, 1
B00, Trade, 85841.462, 108, S05, B00, 1
B00, Trade, 85848.077, 106, S19, B00, 1
