B00, 100
B00, Trade, 85127.500, 129, S16, B00, 1
B00, Trade, 85138.712, 123, B00, S24, 1
B00, Trade, 85153.769, 128, B00, S09, 1
B00, Trade, 85170.154, 126, B00, S21, 1
B00, Trade, 85175.673, 135, S04, B00, 1
B00, Trade, 85200.288, 128, S20, B00, 1
B00, Trade, 85241.635, 128, B00, S21, 1
B00, Trade, 85242.558, 132, S14, B00, 1
B00, Trade, 85257.288, 131, B00, S19, 1
B00, Trade, 85263.981, 133, S08, B00, 1
B00, Trade, 85277.135, 127, B00, S22, 1
B00, Trade, 85286.596, 130, S09, B00, 1
B00, Trade, 85306.904, 132, B00, S08, 1
B00, Trade, 85308.769, 132, S04, B00, 1
B00, Trade, 85332.673, 134, S07, B00, 1
B00, Trade, 85356.827, 130, B00, S13, 1
B00, Trade, 85358.308, 137, S11, B00, 1
B00, Trade, 85371.481, 128, B00, S10, 1
B00, Trade, 85374.096, 137, S00, B00, 1
B00, Trade, 85398.000, 130, S10, B00, 1
B00, Trade, 85418.692, 124, B00, S06, 1
B00, Trade, 85440.019, 131, S07, B00, 1
B00, Trade, 85450.558, 129, B00, S06, 1
B00, Trade, 85452.288, 130, S15, B00, 1
B00, Trade, 85474.115, 126, B00, S06, 1
B00, Trade, 85482.000, 134, S00, B00, 1
B00, Trade, 85491.981, 127, B00, S14, 1
B00, Trade, 85495.519, 127, B00, S15, 1
B00, Trade, 85510.769, 143, B00, P00, 1
B00, Trade, 85517.385, 134, B00, S07, 1
B00, Trade, 85523.173, 133, P01, B00, 1
B00, Trade, 85535.288, 126, S21, B00, 1
B00, Trade, 85544.673, 132, B00, S03, 1
B00, Trade, 85560.577, 134, B00, S19, 1
B00, Trade, 85575.135, 131, B00, S00, 1
B00, Trade, 85581.808, 125, B00, S04, 1
B00, Trade, 85590.827, 128, S15, B00, 1
B00, Trade, 85595.635, 128, B00, S03, 1
B00, Trade, 85611.558, 130, S20, B00, 1
B00, Trade, 85622.442, 129, S12, B00, 1
B00, Trade, 85628.346, 138, S07, B00, 1
B00, Trade, 85649.346, 132, S10, B00, 1
B00, Trade, 85661.654, 126, B00, S11, 1
B00, Trade, 85671.288, 130, S05, B00, 1
B00, Trade, 85686.596, 127, B00, S19, 1
B00, Trade, 85697.692, 128, B00, S07, 1
B00, Trade, 85711.654, 133, B00, S03, 1
B00, Trade, 85715.038, 126, B00, S04, 1
B00, Trade, 85728.962, 134, S18, B00, 1
B00, Trade, 85740.500, 130, B00, S20, 1
B00, Trade, 85752.962, 130, B00, S18, 1
B00, Trade, 85761.808, 124, S04, B00, 1
B00, Trade, 85767.615, 131, B00, S19, 1
B00, Trade, 85780.327, 126, B00, S03, 1
B00, Trade, 85800.615, 129, S14, B00, 1
B00, Trade, 85810.615, 131, B00, S01, 1
B00, Trade, 85813.558, 129, S12, B00, 1
B00, Trade, 85828.788, 129, S02, B00, 1
B00, Trade, 85838.769, 131, B00, S15, 1
B00, Trade, 85848.981, 131, S07, B00, 1
B00, Trade, 85870.865, 132, B00, S03, 1
B00, Trade, 85881.500, 128, S18, B00, 1
B00, Trade, 85901.558, 129, S18, B00, 1
B00, Trade, 85908.731, 122, S16, B00, 1
B00, Trade, 85926.635, 129, S04, B00, 1
B00, Trade, 85940.212, 124, B00, S21, 1
B00, Trade, 85952.846, 127, B00, S01, 1
B00, Trade, 85967.615, 125, B00, S23, 1
B00, Trade, 85978.769, 126, B00, S03, 1
B00, Trade, 85983.615, 129, S08, B00, 1
B00, Trade, 85992.250, 126, B00, S13, 1
B00, Trade, 85996.365, 130, B00, S02, 1
B00, Trade, 86021.692, 131, B00, S23, 1
B00, Trade, 86032.692, 127, S05, B00, 1
B00, Trade, 86042.577, 136, S10, B00, 1
B00, Trade, 86045.596, 132, P01, B00, 1
B00, Trade, 86060.635, 136, B00, S19, 1
B00, Trade, 86071.788, 132, B00, S21, 1
B00, Trade, 86089.577, 130, S20, B00, 1
B00, Trade, 86105.192, 121, B00, S11, 1
B00, Trade, 86109.885, 124, B00, S01, 1
B00, Trade, 86126.558, 137, S13, B00, 1
B00, Trade, 86141.577, 129, S11, B00, 1
B00, Trade, 86163.365, 130, B00, S03, 1
B00, Trade, 86170.846, 130, S06, B00, 1
B00, Trade, 86184.385, 129, B00, S19, 1
B00, Trade, 86206.135, 126, S15, B00, 1
B00, Trade, 86219.077, 127, B00, S01, 1
B00, Trade, 86245.481, 129, S17, B00, 1
B00, Trade, 86263.288, 136, S19, B00, 1
B00, Trade, 86275.173, 133, B00, S02, 1
B00, Trade, 86290.750, 126, B00, S07, 1
B00, Trade, 86308.269, 125, B00, S22, 1
B00, Trade, 86322.923, 127, S06, B00, 1
B00, Trade, 86327.538, 121, S07, B00, 1
B00, Trade, 86342.615, 128, B00, S15, 1
B00, Trade, 86353.558, 125, B00, S14, 1
B00, Trade, 86357.346, 125, S06, B00, 1
B00, Trade, 86379.885, 129, B00, S24, 1
B00, Trade, 86395.346, 138, S18, B00, 1
B01, 100
B01, Trade, 85246.173, 135, S08, B01, 1
B01, Trade, 85260.423, 134, S17, B01, 1
B01, Trade, 85267.038, 133, P01, B01, 1
B01, Trade, 85286.231, 130, P01, B01, 1
B01, Trade, 85307.404, 132, B01, S14, 1
B01, Trade, 85321.962, 125, B01, S19, 1
B01, Trade, 85328.019, 131, S13, B01, 1
B01, Trade, 85342.615, 129, S08, B01, 1
B01, Trade, 85347.808, 133, S14, B01, 1
B01, Trade, 85352.904, 134, P01, B01, 1
B01, Trade, 85371.558, 130, S23, B01, 1
B01, Trade, 85385.846, 124, B01, S10, 1
B01, Trade, 85388.788, 128, S15, B01, 1
B01, Trade, 85393.462, 130, P01, B01, 1
B01, Trade, 85408.404, 131, S11, B01, 1
B01, Trade, 85423.846, 133, B01, S16, 1
B01, Trade, 85424.788, 137, S14, B01, 1
B01, Trade, 85442.846, 133, S12, B01, 1
B01, Trade, 85450.942, 131, S11, B01, 1
B01, Trade, 85454.885, 131, S00, B01, 1
B01, Trade, 85473.808, 128, S21, B01, 1
B01, Trade, 85486.712, 126, B01, S23, 1
B01, Trade, 85502.250, 139, S21, B01, 1
B01, Trade, 85514.731, 143, S16, B01, 1
B01, Trade, 85529.846, 125, S19, B01, 1
B01, Trade, 85539.250, 130, B01, S08, 1
B01, Trade, 85556.654, 131, B01, S06, 1
B01, Trade, 85558.788, 136, S04, B01, 1
B01, Trade, 85569.673, 133, S20, B01, 1
B01, Trade, 85582.154, 132, S07, B01, 1
B01, Trade, 85586.615, 130, S15, B01, 1
B01, Trade, 85600.865, 128, S13, B01, 1
B01, Trade, 85602.942, 135, S14, B01, 1
B01, Trade, 85615.481, 134, B01, S01, 1
B01, Trade, 85632.442, 130, S05, B01, 1
B01, Trade, 85648.846, 126, P01, B01, 1
B01, Trade, 85658.558, 131, S05, B01, 1
B01, Trade, 85667.481, 130, S14, B01, 1
B01, Trade, 85680.250, 129, S16, B01, 1
B01, Trade, 85692.769, 131, B01, S01, 1
B01, Trade, 85699.308, 130, S11, B01, 1
B01, Trade, 85720.231, 134, S07, B01, 1
B01, Trade, 85724.115, 132, S12, B01, 1
B01, Trade, 85743.692, 132, B01, S13, 1
B01, Trade, 85746.846, 130, B01, S23, 1
B01, Trade, 85754.577, 135, S04, B01, 1
B01, Trade, 85766.038, 132, S09, B01, 1
B01, Trade, 85778.673, 132, S19, B01, 1
B01, Trade, 85790.865, 120, S08, B01, 1
B01, Trade, 85795.769, 124, S01, B01, 1
B01, Trade, 85806.365, 133, S12, B01, 1
B01, Trade, 85842.712, 132, S05, B01, 1
B01, Trade, 85843.423, 130, B01, S13, 1
B01, Trade, 85862.712, 132, S11, B01, 1
B01, Trade, 85872.673, 133, S17, B01, 1
B01, Trade, 85881.462, 127, S00, B01, 1
B01, Trade, 85888.385, 129, S17, B01, 1
B01, Trade, 85898.231, 127, B01, S23, 1
B01, Trade, 85915.058, 133, S19, B01, 1
B01, Trade, 85927.558, 131, S11, B01, 1
B01, Trade, 85940.077, 125, B01, S01, 1
B01, Trade, 85949.885, 133, S17, B01, 1
B01, Trade, 85964.019, 128, S07, B01, 1
B01, Trade, 85973.962, 136, S06, B01, 1
B01, Trade, 85990.712, 129, P01, B01, 1
B01, Trade, 86000.077, 132, S18, B01, 1
B01, Trade, 86004.115, 131, P01, B01, 1
B01, Trade, 86019.000, 134, S05, B01, 1
B01, Trade, 86027.038, 130, B01, S11, 1
B01, Trade, 86035.327, 137, S04, B01, 1
B01, Trade, 86050.750, 128, B01, S03, 1
B01, Trade, 86065.538, 127, B01, S18, 1
B01, Trade, 86066.558, 131, P01, B01, 1
B01, Trade, 86087.558, 127, B01, S09, 1
B01, Trade, 86092.115, 136, S23, B01, 1
B01, Trade, 86096.827, 129, B01, S15, 1
B01, Trade, 86112.038, 136, S17, B01, 1
B01, Trade, 86118.365, 129, S15, B01, 1
B01, Trade, 86131.038, 137, S14, B01, 1
B01, Trade, 86142.769, 132, S08, B01, 1
B01, Trade, 86150.231, 129, S06, B01, 1
B01, Trade, 86164.231, 124, B01, S00, 1
