dataset_day,simulation,FlashStart,FlashEnd,PT1_profit,PT2_profit
1,1,42268,44341,1396.82,1159.615
1,2,21045,21584,1279.975,1138.555
1,3,61325,62932,1020.74,1208.985
1,4,25088,27058,495.42999999999995,155.57000000000005
1,5,27928,28247,1182.395,1850.6950000000002
1,6,31481,33341,1338.235,523.8
1,7,26916,29244,1329.01,1188.3
1,8,35248,37657,1177.18,2217.04
1,9,18486,19792,1339.24,597.6700000000001
1,10,14236,17575,1303.265,939.3499999999999
2,1,49563,51427,1142.91,403.78
2,2,37726,39896,1007.0350000000001,1210.52
2,3,32977,34227,969.21,882.97
2,4,28165,29813,1003.0350000000001,1169.685
2,5,17080,20494,944.29,1578.7199999999998
2,6,48119,49779,966.9549999999999,2212.105
2,7,38362,40036,1012.6949999999999,1549.5100000000002
2,8,71146,73963,1128.575,910.1199999999999
2,9,66013,68158,1097.865,1641.33
2,10,2943,3536,1061.46,1214.08
3,1,59432,60374,1570.8449999999998,1935.1149999999998
3,2,76851,78723,908.685,1198.415
3,3,52944,54881,1537.495,2275.315
3,4,50825,53029,1076.775,1382.415
3,5,25399,26043,1427.29,1221.99
3,6,72938,75938,1965.315,2576.27
3,7,21250,24582,1074.31,2713.845
3,8,33966,35649,1521.82,2122.445
3,9,71371,74854,1686.505,2309.735
3,10,46598,49210,1732.4650000000001,3255.99
