B00, 100
B00, Trade, 85274.808, 168, B00, S24, 1
B00, Trade, 85283.596, 164, B00, S18, 1
B00, Trade, 85295.692, 169, B00, S03, 1
B00, Trade, 85312.596, 163, B00, S08, 1
B00, Trade, 85314.788, 165, B00, S23, 1
B00, Trade, 85334.923, 169, B00, S08, 1
B00, Trade, 85360.346, 170, S24, B00, 1
B00, Trade, 85368.077, 167, B00, S21, 1
B00, Trade, 85376.808, 167, S13, B00, 1
B00, Trade, 85390.346, 167, B00, S14, 1
B00, Trade, 85414.558, 162, B00, S22, 1
B00, Trade, 85423.712, 170, B00, S14, 1
B00, Trade, 85426.635, 166, B00, S15, 1
B00, Trade, 85442.750, 168, B00, S06, 1
B00, Trade, 85451.462, 168, B00, S04, 1
B00, Trade, 85462.327, 166, B00, S07, 1
B00, Trade, 85467.712, 168, B00, S06, 1
B00, Trade, 85487.788, 167, S16, B00, 1
B00, Trade, 85499.731, 164, B00, S06, 1
B00, Trade, 85509.154, 174, B00, S20, 1
B00, Trade, 85521.192, 172, B00, S21, 1
B00, Trade, 85527.519, 167, B00, S05, 1
B00, Trade, 85543.519, 169, B00, S23, 1
B00, Trade, 85547.538, 173, B00, S21, 1
B00, Trade, 85559.365, 170, B00, S04, 1
B00, Trade, 85570.904, 163, B00, S03, 1
B00, Trade, 85576.885, 164, S22, B00, 1
B00, Trade, 85591.423, 172, B00, S02, 1
B00, Trade, 85601.250, 163, B00, S18, 1
B00, Trade, 85612.538, 163, B00, S09, 1
B00, Trade, 85621.154, 165, B00, S20, 1
B00, Trade, 85629.192, 166, B00, S20, 1
B00, Trade, 85636.923, 170, B00, S02, 1
B00, Trade, 85651.192, 162, B00, S13, 1
B00, Trade, 85662.769, 172, B00, S06, 1
B00, Trade, 85671.808, 167, B00, S12, 1
B00, Trade, 85683.865, 164, B00, S15, 1
B00, Trade, 85687.231, 167, B00, S21, 1
B00, Trade, 85706.058, 168, B00, S19, 1
B00, Trade, 85724.346, 169, B00, S22, 1
B00, Trade, 85732.558, 171, B00, S15, 1
B00, Trade, 85753.058, 170, B00, S13, 1
B00, Trade, 85757.404, 169, B00, S07, 1
B00, Trade, 85774.231, 162, B00, S16, 1
B00, Trade, 85779.577, 161, B00, S09, 1
B00, Trade, 85784.346, 167, S20, B00, 1
B00, Trade, 85800.365, 169, B00, S05, 1
B00, Trade, 85806.500, 165, B00, S22, 1
B00, Trade, 85822.192, 170, S03, B00, 1
B00, Trade, 85830.692, 168, B00, S06, 1
B00, Trade, 85838.846, 170, B00, S20, 1
B00, Trade, 85849.000, 177, B00, S05, 1
B00, Trade, 85861.904, 171, B00, S04, 1
B00, Trade, 85872.865, 172, B00, S04, 1
B00, Trade, 85879.692, 170, B00, S04, 1
B00, Trade, 85885.288, 171, S12, B00, 1
B00, Trade, 85895.058, 171, S23, B00, 1
B00, Trade, 85908.962, 169, B00, S06, 1
B00, Trade, 85924.058, 174, B00, S08, 1
B00, Trade, 85932.442, 165, B00, S13, 1
B00, Trade, 85937.942, 173, S08, B00, 1
B00, Trade, 85947.923, 168, B00, S22, 1
B00, Trade, 85965.769, 170, S23, B00, 1
B00, Trade, 85986.288, 171, S11, B00, 1
B00, Trade, 86002.538, 170, B00, S05, 1
B00, Trade, 86008.000, 172, B00, S14, 1
