B00, 100
B00, Trade, 83521.519, 159, S14, B00, 1
B00, Trade, 83536.115, 162, B00, S10, 1
B00, Trade, 83560.827, 162, B00, S09, 1
B00, Trade, 83580.231, 166, S15, B00, 1
B00, Trade, 83598.269, 163, S12, B00, 1
B00, Trade, 83610.288, 165, S23, B00, 1
B00, Trade, 83686.827, 165, S16, B00, 1
B00, Trade, 83726.000, 172, S08, B00, 1
B00, Trade, 83734.731, 162, B00, S10, 1
B00, Trade, 83740.942, 167, S09, B00, 1
B00, Trade, 83877.442, 167, S03, B00, 1
B00, Trade, 83912.577, 167, S14, B00, 1
B00, Trade, 83918.365, 166, B00, S17, 1
B00, Trade, 83943.885, 163, S06, B00, 1
B00, Trade, 83960.327, 167, S05, B00, 1
B00, Trade, 83976.365, 165, P01, B00, 1
B00, Trade, 83987.404, 170, S02, B00, 1
B00, Trade, 83999.481, 164, S22, B00, 1
B00, Trade, 84029.962, 169, S18, B00, 1
B00, Trade, 84077.000, 175, S08, B00, 1
B00, Trade, 84094.750, 166, S18, B00, 1
B00, Trade, 84101.115, 170, S01, B00, 1
B00, Trade, 84126.769, 170, S19, B00, 1
B00, Trade, 84135.942, 166, S21, B00, 1
B00, Trade, 84145.865, 172, S20, B00, 1
B00, Trade, 84193.712, 162, S13, B00, 1
B00, Trade, 84227.808, 162, P01, B00, 1
B00, Trade, 84281.538, 160, S05, B00, 1
B00, Trade, 84350.538, 169, P01, B00, 1
B00, Trade, 84366.077, 170, P01, B00, 1
B00, Trade, 84468.673, 166, B00, S00, 1
B00, Trade, 84479.442, 164, S22, B00, 1
B00, Trade, 84502.212, 169, S06, B00, 1
B00, Trade, 84508.788, 166, S09, B00, 1
B00, Trade, 84532.192, 169, S22, B00, 1
B00, Trade, 84547.558, 167, S11, B00, 1
B00, Trade, 84586.404, 165, P01, B00, 1
B00, Trade, 84595.538, 163, S06, B00, 1
B00, Trade, 84643.712, 165, B00, S20, 1
B00, Trade, 84675.923, 166, S16, B00, 1
B00, Trade, 84694.596, 165, P01, B00, 1
B00, Trade, 84756.404, 163, S01, B00, 1
B00, Trade, 84779.308, 164, S22, B00, 1
B00, Trade, 84800.615, 167, S14, B00, 1
B00, Trade, 84810.654, 170, S12, B00, 1
B00, Trade, 84823.365, 166, S16, B00, 1
B00, Trade, 84851.288, 163, S01, B00, 1
B00, Trade, 84866.442, 170, S22, B00, 1
B00, Trade, 84877.269, 164, S16, B00, 1
B00, Trade, 84947.615, 167, S09, B00, 1
B00, Trade, 84966.346, 171, S03, B00, 1
B00, Trade, 84980.288, 164, S15, B00, 1
B00, Trade, 85059.808, 165, B00, S06, 1
B00, Trade, 85103.769, 164, P01, B00, 1
B00, Trade, 85112.654, 161, S24, B00, 1
B00, Trade, 85123.385, 161, P01, B00, 1
B00, Trade, 85178.365, 170, S06, B00, 1
B00, Trade, 85184.096, 160, B00, S05, 1
B00, Trade, 85208.481, 164, S07, B00, 1
B00, Trade, 85236.442, 162, B00, S13, 1
B00, Trade, 85248.077, 166, S09, B00, 1
B00, Trade, 85255.538, 172, S15, B00, 1
B00, Trade, 85319.000, 171, S01, B00, 1
B00, Trade, 85397.000, 165, P01, B00, 1
B00, Trade, 85435.712, 169, P01, B00, 1
B00, Trade, 85475.000, 167, S05, B00, 1
B00, Trade, 85490.192, 167, S06, B00, 1
B00, Trade, 85502.731, 169, S01, B00, 1
B00, Trade, 85558.538, 170, S08, B00, 1
B00, Trade, 85583.173, 168, P01, B00, 1
B00, Trade, 85615.115, 168, S05, B00, 1
B00, Trade, 85642.000, 171, S16, B00, 1
B00, Trade, 85653.115, 165, P01, B00, 1
B00, Trade, 85667.923, 166, S22, B00, 1
B00, Trade, 85761.769, 173, S03, B00, 1
B00, Trade, 85772.558, 166, B00, S15, 1
B00, Trade, 85779.923, 169, S09, B00, 1
B00, Trade, 85821.385, 170, S04, B00, 1
B00, Trade, 85857.269, 171, S01, B00, 1
B00, Trade, 85876.865, 168, B00, S21, 1
B00, Trade, 85888.250, 171, S01, B00, 1
B00, Trade, 85926.038, 170, S06, B00, 1
B00, Trade, 85941.846, 177, S09, B00, 1
B00, Trade, 86045.538, 167, S00, B00, 1
B00, Trade, 86049.077, 169, S22, B00, 1
B00, Trade, 86065.558, 166, B00, S10, 1
B00, Trade, 86073.404, 173, S07, B00, 1
B00, Trade, 86090.077, 172, S03, B00, 1
B00, Trade, 86121.481, 164, B00, S08, 1
B00, Trade, 86143.000, 173, S19, B00, 1
B00, Trade, 86151.327, 166, B00, S20, 1
B00, Trade, 86191.404, 176, S22, B00, 1
B00, Trade, 86223.058, 168, S03, B00, 1
B00, Trade, 86310.615, 172, S05, B00, 1
B00, Trade, 86323.500, 170, B00, S08, 1
B00, Trade, 86338.808, 167, S05, B00, 1
B00, Trade, 86341.423, 167, S10, B00, 1
B00, Trade, 86359.019, 167, S08, B00, 1
B00, Trade, 86377.577, 171, B00, S17, 1
B00, Trade, 86397.038, 173, S15, B00, 1
B01, 100
B01, Trade, 84930.596, 163, B01, S18, 1
B01, Trade, 84937.462, 161, B01, S04, 1
B01, Trade, 84950.654, 167, S05, B01, 1
B01, Trade, 84966.519, 167, B01, S17, 1
B01, Trade, 84970.654, 168, S04, B01, 1
B01, Trade, 84986.000, 160, B01, S22, 1
B01, Trade, 84993.673, 159, B01, S06, 1
B01, Trade, 85005.019, 166, B01, S15, 1
B01, Trade, 85023.173, 162, B01, S13, 1
B01, Trade, 85031.269, 170, S19, B01, 1
B01, Trade, 85045.000, 166, B01, S12, 1
B01, Trade, 85046.808, 167, P01, B01, 1
B01, Trade, 85064.846, 165, B01, S07, 1
B01, Trade, 85076.827, 162, B01, S13, 1
B01, Trade, 85098.538, 170, S04, B01, 1
B01, Trade, 85111.250, 160, B01, S02, 1
B01, Trade, 85113.981, 149, S20, B01, 1
B01, Trade, 85137.135, 170, S21, B01, 1
B01, Trade, 85154.846, 168, S18, B01, 1
B01, Trade, 85164.885, 168, S12, B01, 1
B01, Trade, 85184.615, 164, S13, B01, 1
B01, Trade, 85194.558, 167, P01, B01, 1
B01, Trade, 85232.212, 166, B01, S23, 1
