dataset_day,simulation,FlashStart,FlashEnd,PT1_profit,PT2_profit
1,1,46791,49939,1013.52,859.54
1,2,14776,15114,1176.19,701.885
1,3,13046,14524,1413.85,572.835
1,4,14262,14722,1376.525,1399.94
1,5,36641,38808,1355.365,1422.86
1,6,78483,81387,1262.26,1216.73
1,7,23209,25553,1439.08,1422.845
1,8,4799,5171,1539.19,620.5899999999999
1,9,3947,6853,1233.375,823.185
1,10,19842,22223,1287.465,977.575
2,1,32174,33512,1139.035,2380.1
2,2,24712,28071,1593.87,2088.685
2,3,66492,68474,1357.055,1479.665
2,4,17766,18591,1347.175,1884.585
2,5,28939,31254,1587.25,1650.9899999999998
2,6,29762,32019,1256.195,1966.7800000000002
2,7,53783,56397,1263.75,1552.4250000000002
2,8,11701,13938,1409.96,1800.895
2,9,49579,51452,993.9300000000001,1929.565
2,10,3655,3963,1017.2049999999999,2473.785
3,1,7754,9839,339.65999999999997,620.0
3,2,64360,66500,589.655,1760.5700000000002
3,3,68078,68774,1656.5100000000002,756.3299999999999
3,4,72988,75128,1337.53,2623.555
3,5,10902,11520,1715.1599999999999,2407.64
3,6,12342,14511,316.76,957.3599999999999
3,7,71367,74886,1530.1,2741.155
3,8,50616,53942,1280.435,1976.1599999999999
3,9,19135,20485,1357.045,1504.35
3,10,64931,66582,1474.865,2301.89
