B00, 100
B00, Trade, 85048.000, 177, B00, S22, 1
B00, Trade, 85068.500, 176, S03, B00, 1
B00, Trade, 85078.731, 169, B00, S06, 1
B00, Trade, 85094.904, 169, B00, S22, 1
B00, Trade, 85104.423, 173, S15, B00, 1
B00, Trade, 85121.942, 175, B00, S10, 1
B00, Trade, 85144.654, 166, S15, B00, 1
B00, Trade, 85160.904, 170, B00, S06, 1
B00, Trade, 85172.327, 171, S16, B00, 1
B00, Trade, 85186.596, 174, S06, B00, 1
B00, Trade, 85192.673, 169, S17, B00, 1
B00, Trade, 85206.212, 175, B00, S21, 1
B00, Trade, 85222.885, 167, B00, S02, 1
B00, Trade, 85231.385, 170, S16, B00, 1
B00, Trade, 85236.635, 173, S23, B00, 1
B00, Trade, 85246.346, 175, S01, B00, 1
B00, Trade, 85268.038, 176, B00, S16, 1
B00, Trade, 85278.692, 165, B00, S08, 1
B00, Trade, 85303.423, 171, B00, S17, 1
B00, Trade, 85309.519, 172, B00, S18, 1
B00, Trade, 85322.769, 169, B00, S12, 1
B00, Trade, 85330.769, 172, S00, B00, 1
B00, Trade, 85342.442, 171, B00, S21, 1
B00, Trade, 85346.346, 175, B00, S08, 1
B00, Trade, 85367.077, 173, B00, S01, 1
B00, Trade, 85375.808, 173, P00, B00, 1
B00, Trade, 85387.788, 177, B00, S07, 1
B00, Trade, 85406.827, 163, B00, S08, 1
B00, Trade, 85410.019, 172, S16, B00, 1
B00, Trade, 85415.788, 160, B00, S04, 1
B00, Trade, 85438.673, 176, S10, B00, 1
B00, Trade, 85454.577, 173, S09, B00, 1
B00, Trade, 85463.615, 163, B00, S22, 1
B00, Trade, 85477.981, 181, S08, B00, 1
B00, Trade, 85492.423, 174, P00, B00, 1
B00, Trade, 85521.365, 178, S16, B00, 1
B00, Trade, 85536.731, 174, S04, B00, 1
B00, Trade, 85550.365, 167, S15, B00, 1
B00, Trade, 85570.577, 180, S09, B00, 1
B00, Trade, 85577.962, 172, B00, S21, 1
B00, Trade, 85594.192, 166, B00, S19, 1
B00, Trade, 85598.827, 174, S15, B00, 1
B00, Trade, 85609.423, 173, B00, S18, 1
B00, Trade, 85622.404, 174, S23, B00, 1
B00, Trade, 85638.154, 172, S09, B00, 1
B00, Trade, 85649.577, 168, B00, S13, 1
B00, Trade, 85653.577, 169, P00, B00, 1
B00, Trade, 85682.423, 165, B00, S05, 1
B00, Trade, 85692.615, 168, S02, B00, 1
B00, Trade, 85722.308, 171, S03, B00, 1
B00, Trade, 85741.558, 177, S09, B00, 1
B00, Trade, 85749.192, 172, B00, S24, 1
B00, Trade, 85754.654, 175, S10, B00, 1
