B00, 100
B00, Trade, 84982.577, 173, S09, B00, 1
B00, Trade, 85009.346, 169, S10, B00, 1
B00, Trade, 85045.942, 172, S18, B00, 1
B00, Trade, 85057.058, 164, B00, S06, 1
B00, Trade, 85066.288, 172, S19, B00, 1
B00, Trade, 85079.827, 172, B00, S08, 1
B00, Trade, 85094.404, 171, B00, S13, 1
B00, Trade, 85112.692, 167, B00, S00, 1
B00, Trade, 85118.462, 171, S09, B00, 1
B00, Trade, 85128.558, 172, B00, S24, 1
B00, Trade, 85135.442, 169, B00, S01, 1
B00, Trade, 85160.788, 174, S11, B00, 1
B00, Trade, 85170.269, 167, B00, S08, 1
B00, Trade, 85180.442, 172, S04, B00, 1
B00, Trade, 85188.904, 170, B00, S03, 1
B00, Trade, 85199.769, 186, S12, B00, 1
B00, Trade, 85221.423, 177, P00, B00, 1
B00, Trade, 85235.308, 170, S14, B00, 1
B00, Trade, 85251.423, 171, B00, S14, 1
B00, Trade, 85259.481, 170, B00, S24, 1
B00, Trade, 85271.808, 174, S17, B00, 1
B00, Trade, 85292.654, 175, P00, B00, 1
B00, Trade, 85297.538, 173, P00, B00, 1
B00, Trade, 85316.288, 171, B00, S07, 1
B00, Trade, 85323.865, 170, B00, S19, 1
B00, Trade, 85336.769, 171, S17, B00, 1
B00, Trade, 85358.846, 172, B00, S18, 1
B00, Trade, 85371.808, 173, S16, B00, 1
B00, Trade, 85385.269, 169, B00, S05, 1
B00, Trade, 85402.923, 173, S16, B00, 1
B00, Trade, 85423.654, 169, S14, B00, 1
B00, Trade, 85452.115, 168, B00, S05, 1
B00, Trade, 85458.192, 170, S01, B00, 1
B00, Trade, 85468.019, 177, S23, B00, 1
B00, Trade, 85478.250, 171, B00, S20, 1
B00, Trade, 85501.077, 172, B00, S23, 1
B00, Trade, 85508.346, 171, S12, B00, 1
B00, Trade, 85531.519, 168, S06, B00, 1
B00, Trade, 85541.231, 177, S16, B00, 1
B00, Trade, 85551.885, 168, B00, S10, 1
B00, Trade, 85567.635, 160, B00, S16, 1
B00, Trade, 85575.981, 166, S09, B00, 1
B00, Trade, 85588.135, 174, S14, B00, 1
B00, Trade, 85606.000, 175, B00, S15, 1
B00, Trade, 85627.962, 161, B00, S10, 1
B00, Trade, 85642.346, 167, S08, B00, 1
B00, Trade, 85652.327, 179, S22, B00, 1
B00, Trade, 85664.462, 175, S11, B00, 1
B00, Trade, 85680.673, 164, B00, S02, 1
B00, Trade, 85684.750, 169, S19, B00, 1
B00, Trade, 85693.731, 172, S17, B00, 1
B00, Trade, 85708.750, 168, B00, S10, 1
B00, Trade, 85725.692, 166, S01, B00, 1
B00, Trade, 85730.135, 167, S21, B00, 1
B00, Trade, 85751.423, 174, S19, B00, 1
B00, Trade, 85760.500, 167, B00, S05, 1
B00, Trade, 85773.904, 165, S20, B00, 1
B00, Trade, 85792.000, 171, P00, B00, 1
B00, Trade, 85800.346, 169, B00, S05, 1
B00, Trade, 85810.885, 173, P00, B00, 1
B00, Trade, 85823.635, 166, B00, S20, 1
B00, Trade, 85833.135, 174, S17, B00, 1
B00, Trade, 85839.558, 162, S21, B00, 1
B00, Trade, 85854.308, 166, B00, S18, 1
B00, Trade, 85855.462, 170, S21, B00, 1
B00, Trade, 85866.827, 170, S17, B00, 1
B00, Trade, 85884.000, 168, B00, S02, 1
B00, Trade, 85900.096, 175, B00, S19, 1
B00, Trade, 85904.885, 174, S09, B00, 1
B00, Trade, 85920.173, 174, S12, B00, 1
B00, Trade, 85941.308, 162, B00, S12, 1
B00, Trade, 85943.231, 168, S08, B00, 1
B00, Trade, 85956.846, 176, P00, B00, 1
B00, Trade, 85968.058, 169, B00, S24, 1
B00, Trade, 85980.135, 168, S08, B00, 1
B00, Trade, 85999.788, 174, S14, B00, 1
B00, Trade, 86010.077, 170, B00, S21, 1
B00, Trade, 86032.135, 173, S24, B00, 1
B00, Trade, 86044.692, 167, B00, S20, 1
B00, Trade, 86055.462, 176, S06, B00, 1
B00, Trade, 86059.135, 170, B00, S10, 1
B00, Trade, 86076.481, 174, B00, S06, 1
B00, Trade, 86080.442, 174, S23, B00, 1
B00, Trade, 86089.365, 167, B00, S19, 1
B00, Trade, 86109.096, 166, B00, S21, 1
B00, Trade, 86122.019, 168, B00, S12, 1
B00, Trade, 86133.327, 175, S08, B00, 1
B00, Trade, 86155.827, 176, P00, B00, 1
B00, Trade, 86194.596, 167, B00, S12, 1
B00, Trade, 86197.365, 172, S24, B00, 1
B00, Trade, 86227.731, 171, S00, B00, 1
B00, Trade, 86240.212, 167, B00, S24, 1
B00, Trade, 86255.385, 166, B00, S23, 1
B00, Trade, 86316.308, 165, B00, S02, 1
B00, Trade, 86324.500, 172, S04, B00, 1
B00, Trade, 86343.731, 166, B00, S06, 1
B00, Trade, 86346.712, 166, S04, B00, 1
B00, Trade, 86365.077, 167, B00, S20, 1
B00, Trade, 86382.827, 171, B00, S01, 1
B00, Trade, 86396.250, 167, B00, S18, 1
B01, 100
B01, Trade, 85050.846, 173, B01, S22, 1
B01, Trade, 85096.173, 169, B01, S10, 1
B01, Trade, 85096.442, 173, S12, B01, 1
B01, Trade, 85106.885, 166, B01, S24, 1
B01, Trade, 85116.481, 171, B01, S20, 1
B01, Trade, 85135.115, 179, S24, B01, 1
B01, Trade, 85151.154, 166, B01, S06, 1
B01, Trade, 85163.654, 172, B01, S23, 1
B01, Trade, 85172.385, 166, B01, S06, 1
B01, Trade, 85175.231, 168, S21, B01, 1
B01, Trade, 85193.058, 183, B01, S20, 1
B01, Trade, 85206.846, 174, B01, S23, 1
B01, Trade, 85214.442, 176, S07, B01, 1
B01, Trade, 85227.365, 171, B01, S20, 1
B01, Trade, 85235.692, 170, B01, S00, 1
B01, Trade, 85243.154, 175, S20, B01, 1
B01, Trade, 85258.942, 173, S05, B01, 1
B01, Trade, 85271.942, 172, B01, S22, 1
B01, Trade, 85282.519, 168, B01, S02, 1
B01, Trade, 85294.385, 171, S17, B01, 1
B01, Trade, 85312.000, 167, B01, S02, 1
B01, Trade, 85321.654, 174, S05, B01, 1
B01, Trade, 85325.308, 175, B01, S00, 1
B01, Trade, 85353.731, 172, S22, B01, 1
B01, Trade, 85374.942, 175, B01, S20, 1
B01, Trade, 85378.731, 184, S13, B01, 1
B01, Trade, 85400.192, 176, S19, B01, 1
B01, Trade, 85405.385, 173, B01, S09, 1
B01, Trade, 85423.596, 169, P00, B01, 1
B01, Trade, 85446.865, 172, S21, B01, 1
B01, Trade, 85456.250, 168, S19, B01, 1
B01, Trade, 85478.058, 173, S08, B01, 1
B01, Trade, 85489.577, 180, S18, B01, 1
B01, Trade, 85497.423, 173, B01, S10, 1
B01, Trade, 85509.962, 170, S11, B01, 1
B01, Trade, 85518.788, 164, S03, B01, 1
B01, Trade, 85523.077, 170, S09, B01, 1
B01, Trade, 85540.731, 174, B01, S18, 1
B01, Trade, 85547.019, 174, B01, S07, 1
B01, Trade, 85555.404, 170, B01, S18, 1
B01, Trade, 85574.019, 166, B01, S18, 1
B01, Trade, 85585.865, 172, S08, B01, 1
B01, Trade, 85607.923, 168, B01, S12, 1
B01, Trade, 85631.712, 160, B01, S06, 1
B01, Trade, 85636.212, 170, S18, B01, 1
B01, Trade, 85655.500, 169, B01, S04, 1
B01, Trade, 85661.308, 170, P00, B01, 1
B01, Trade, 85692.692, 172, P00, B01, 1
B01, Trade, 85707.154, 171, S03, B01, 1
B01, Trade, 85719.846, 167, S23, B01, 1
B01, Trade, 85731.769, 163, B01, S13, 1
B01, Trade, 85738.250, 165, S24, B01, 1
B01, Trade, 85754.462, 171, B01, S20, 1
B01, Trade, 85759.346, 172, S04, B01, 1
B01, Trade, 85806.962, 173, B01, S09, 1
B01, Trade, 85812.731, 171, B01, S19, 1
B01, Trade, 85833.750, 175, S16, B01, 1
B01, Trade, 85834.615, 175, S23, B01, 1
B01, Trade, 85854.827, 167, B01, S10, 1
B01, Trade, 85865.019, 170, S11, B01, 1
B01, Trade, 85875.481, 171, B01, S23, 1
B01, Trade, 85887.346, 166, B01, S07, 1
B01, Trade, 85893.654, 173, S21, B01, 1
B01, Trade, 85919.885, 175, S16, B01, 1
B01, Trade, 85929.000, 171, S10, B01, 1
B01, Trade, 85935.212, 171, S16, B01, 1
B01, Trade, 85952.096, 174, B01, S10, 1
B01, Trade, 85964.231, 172, B01, S05, 1
B01, Trade, 85973.519, 169, B01, S00, 1
B01, Trade, 85986.135, 166, S04, B01, 1
B01, Trade, 86028.423, 176, S20, B01, 1
B01, Trade, 86041.135, 173, B01, S15, 1
B01, Trade, 86051.019, 168, B01, S17, 1
B01, Trade, 86057.000, 173, S04, B01, 1
B01, Trade, 86068.635, 173, B01, S06, 1
B01, Trade, 86088.654, 171, S05, B01, 1
B01, Trade, 86104.981, 172, S11, B01, 1
