B00, 100
B00, Trade, 85233.673, 170, P00, B00, 1
B00, Trade, 85248.423, 176, S16, B00, 1
B00, Trade, 85261.885, 168, S01, B00, 1
B00, Trade, 85271.058, 168, S09, B00, 1
B00, Trade, 85278.019, 175, S03, B00, 1
B00, Trade, 85295.596, 167, S24, B00, 1
B00, Trade, 85297.212, 168, P00, B00, 1
B00, Trade, 85312.846, 160, B00, S13, 1
B00, Trade, 85318.462, 171, S12, B00, 1
B00, Trade, 85324.000, 166, S15, B00, 1
B00, Trade, 85333.654, 170, S15, B00, 1
B00, Trade, 85345.192, 168, S09, B00, 1
B00, Trade, 85355.596, 169, B00, S15, 1
B00, Trade, 85366.212, 171, P00, B00, 1
B00, Trade, 85382.673, 170, B00, S22, 1
B00, Trade, 85392.269, 172, S03, B00, 1
B00, Trade, 85398.923, 176, S14, B00, 1
B00, Trade, 85410.538, 171, B00, S21, 1
B00, Trade, 85418.846, 167, S12, B00, 1
B00, Trade, 85430.231, 169, S18, B00, 1
B00, Trade, 85446.481, 166, B00, S21, 1
B00, Trade, 85448.596, 169, P00, B00, 1
B00, Trade, 85461.827, 162, S04, B00, 1
B00, Trade, 85465.038, 166, S12, B00, 1
B00, Trade, 85480.519, 172, S10, B00, 1
B00, Trade, 85496.481, 164, B00, S23, 1
B00, Trade, 85502.269, 165, S16, B00, 1
B00, Trade, 85511.423, 170, P00, B00, 1
B00, Trade, 85522.596, 165, P00, B00, 1
B00, Trade, 85534.615, 156, B00, S15, 1
B00, Trade, 85537.962, 163, S21, B00, 1
B00, Trade, 85551.596, 162, S24, B00, 1
B00, Trade, 85572.077, 166, S15, B00, 1
B00, Trade, 85582.962, 168, S23, B00, 1
B00, Trade, 85588.346, 171, S21, B00, 1
B00, Trade, 85601.308, 158, S21, B00, 1
B00, Trade, 85612.538, 167, S14, B00, 1
B00, Trade, 85622.058, 165, B00, S06, 1
B00, Trade, 85630.058, 162, S09, B00, 1
B00, Trade, 85634.385, 163, B00, S10, 1
B00, Trade, 85652.365, 162, B00, S01, 1
B00, Trade, 85682.115, 168, S02, B00, 1
B00, Trade, 85702.327, 169, S13, B00, 1
B00, Trade, 85707.154, 168, S14, B00, 1
B00, Trade, 85723.481, 164, P00, B00, 1
B00, Trade, 85742.673, 170, B00, S09, 1
B00, Trade, 85751.808, 170, S16, B00, 1
B00, Trade, 85754.962, 161, B00, S02, 1
B00, Trade, 85768.019, 171, S14, B00, 1
B00, Trade, 85786.288, 161, B00, S08, 1
B00, Trade, 85796.577, 169, S12, B00, 1
B00, Trade, 85809.500, 168, S15, B00, 1
B00, Trade, 85822.096, 173, S03, B00, 1
