dataset_day,simulation,FlashStart,FlashEnd,PT1_profit,PT2_profit
1,1,9240,11881,2228.99,3376.985
1,2,76144,77517,2330.23,2479.16
1,3,34876,36844,2080.495,2776.43
1,4,35091,36783,1878.9650000000001,2865.045
1,5,35035,36348,2002.6799999999998,1969.1399999999999
1,6,43777,45333,2143.12,3173.73
1,7,70192,70872,2090.965,3323.825
1,8,12177,15668,2126.905,3705.175
1,9,3489,6353,1822.7600000000002,3647.49
1,10,16588,18863,1919.6599999999999,3077.7
2,1,79573,83170,1632.1350000000002,1119.01
2,2,56473,57005,1684.6100000000001,1788.06
2,3,79699,81565,1829.5,1155.445
2,4,60231,62781,1430.07,2622.8
2,5,10465,12019,1526.715,2990.315
2,6,66814,68855,1706.3400000000001,1036.51
2,7,18235,18758,1368.395,1316.395
2,8,24741,28336,1691.1799999999998,1868.5549999999998
2,9,34948,35546,1951.3400000000001,1649.0900000000001
2,10,49434,52834,1594.5300000000002,1807.62
3,1,30518,32902,1318.395,907.435
3,2,48546,50911,1058.3,1288.425
3,3,76448,77201,1118.595,1842.705
3,4,23424,25906,1310.895,1669.7399999999998
3,5,79582,82604,1320.24,965.2249999999999
3,6,31988,34114,1101.74,1957.2150000000001
3,7,26905,29008,1161.33,2388.775
3,8,49143,51212,1284.3,2089.825
3,9,51944,52925,1459.385,1676.37
3,10,25336,25940,1359.38,849.4000000000001
