B00, 100
B00, Trade, 84930.135, 105, P01, B00, 1
B00, Trade, 84933.077, 108, B00, S24, 1
B00, Trade, 84949.154, 102, B00, S10, 1
B00, Trade, 84967.019, 109, S09, B00, 1
B00, Trade, 84974.865, 111, S19, B00, 1
B00, Trade, 84992.712, 109, S16, B00, 1
B00, Trade, 85009.442, 105, B00, S17, 1
B00, Trade, 85026.846, 110, S19, B00, 1
B00, Trade, 85039.673, 110, B00, S19, 1
B00, Trade, 85064.558, 107, S11, B00, 1
B00, Trade, 85079.404, 97, B00, S18, 1
B00, Trade, 85100.654, 111, B00, S13, 1
B00, Trade, 85107.288, 117, B00, S15, 1
B00, Trade, 85128.750, 113, S00, B00, 1
B00, Trade, 85151.442, 106, S11, B00, 1
B00, Trade, 85159.019, 103, B00, S23, 1
B00, Trade, 85181.404, 109, S08, B00, 1
B00, Trade, 85190.288, 113, S11, B00, 1
B00, Trade, 85204.288, 108, S07, B00, 1
B00, Trade, 85222.827, 111, B00, S18, 1
B00, Trade, 85229.058, 111, B00, S14, 1
B00, Trade, 85245.096, 103, B00, S18, 1
B00, Trade, 85256.000, 100, B00, S22, 1
B00, Trade, 85264.788, 105, B00, S24, 1
B00, Trade, 85278.827, 105, B00, S10, 1
B00, Trade, 85290.615, 104, B00, S24, 1
B00, Trade, 85308.077, 118, S22, B00, 1
B00, Trade, 85324.423, 107, S01, B00, 1
B00, Trade, 85357.731, 110, P01, B00, 1
B00, Trade, 85378.077, 110, S04, B00, 1
B00, Trade, 85386.827, 104, B00, S13, 1
B00, Trade, 85407.058, 104, B00, S24, 1
B00, Trade, 85418.077, 102, P01, B00, 1
B00, Trade, 85436.327, 101, B00, S11, 1
B00, Trade, 85462.904, 109, B00, S22, 1
B00, Trade, 85464.462, 103, S07, B00, 1
B00, Trade, 85476.173, 109, S01, B00, 1
B00, Trade, 85490.615, 107, S02, B00, 1
B00, Trade, 85505.135, 102, B00, S04, 1
B00, Trade, 85508.846, 103, S00, B00, 1
B00, Trade, 85526.135, 103, B00, S23, 1
B00, Trade, 85532.865, 103, B00, S03, 1
B00, Trade, 85538.231, 105, P01, B00, 1
B00, Trade, 85562.962, 111, S23, B00, 1
B00, Trade, 85568.000, 104, B00, S17, 1
B00, Trade, 85577.019, 107, B00, S07, 1
B00, Trade, 85583.250, 115, S24, B00, 1
B00, Trade, 85609.308, 114, S09, B00, 1
B00, Trade, 85619.212, 106, B00, S22, 1
B00, Trade, 85623.269, 106, S02, B00, 1
B00, Trade, 85661.808, 110, P01, B00, 1
B00, Trade, 85670.808, 106, B00, S19, 1
B00, Trade, 85682.808, 103, B00, S15, 1
B00, Trade, 85705.288, 110, P01, B00, 1
B00, Trade, 85715.308, 101, S00, B00, 1
B00, Trade, 85735.808, 108, S10, B00, 1
B00, Trade, 85755.173, 116, S24, B00, 1
B00, Trade, 85778.442, 108, S23, B00, 1
B00, Trade, 85786.712, 107, S11, B00, 1
B00, Trade, 85799.865, 105, S12, B00, 1
B00, Trade, 85811.596, 98, B00, S10, 1
B00, Trade, 85838.327, 100, S24, B00, 1
B00, Trade, 85853.173, 98, B00, S00, 1
B00, Trade, 85867.981, 101, P01, B00, 1
B00, Trade, 85879.442, 99, S07, B00, 1
B00, Trade, 85898.596, 98, B00, S10, 1
B00, Trade, 85914.481, 101, B00, S05, 1
B00, Trade, 85925.115, 95, B00, S06, 1
B00, Trade, 85941.923, 95, S04, B00, 1
B00, Trade, 85971.538, 98, B00, S10, 1
B00, Trade, 85974.673, 105, S21, B00, 1
B00, Trade, 85980.558, 102, B00, S20, 1
B00, Trade, 85990.077, 98, S24, B00, 1
B00, Trade, 86003.808, 99, B00, S18, 1
B00, Trade, 86013.365, 103, B00, S08, 1
B00, Trade, 86031.288, 100, S07, B00, 1
B00, Trade, 86046.808, 100, B00, S15, 1
B00, Trade, 86057.673, 96, B00, S03, 1
B00, Trade, 86060.192, 100, S09, B00, 1
B00, Trade, 86076.154, 91, B00, S13, 1
B00, Trade, 86082.981, 104, S02, B00, 1
B00, Trade, 86089.712, 106, S11, B00, 1
B00, Trade, 86109.077, 97, B00, S22, 1
B00, Trade, 86120.923, 97, B00, S01, 1
B00, Trade, 86124.385, 101, S04, B00, 1
B00, Trade, 86156.096, 99, S19, B00, 1
B00, Trade, 86172.231, 98, S05, B00, 1
B00, Trade, 86184.731, 104, S05, B00, 1
B00, Trade, 86198.288, 101, B00, S12, 1
B00, Trade, 86234.269, 97, S05, B00, 1
B00, Trade, 86255.423, 100, S14, B00, 1
B00, Trade, 86261.538, 92, S08, B00, 1
B00, Trade, 86265.923, 102, S23, B00, 1
B00, Trade, 86276.500, 101, B00, S19, 1
B00, Trade, 86308.019, 102, S02, B00, 1
B00, Trade, 86326.731, 108, S09, B00, 1
B00, Trade, 86343.923, 105, S16, B00, 1
B00, Trade, 86361.654, 98, B00, S14, 1
B00, Trade, 86382.962, 105, S12, B00, 1
B00, Trade, 86396.346, 98, S14, B00, 1
B01, 100
B01, Trade, 85171.654, 107, S09, B01, 1
B01, Trade, 85180.712, 109, S12, B01, 1
B01, Trade, 85193.058, 107, B01, S09, 1
B01, Trade, 85201.750, 111, S08, B01, 1
B01, Trade, 85209.827, 103, B01, S22, 1
B01, Trade, 85240.942, 110, S01, B01, 1
B01, Trade, 85260.481, 106, B01, S15, 1
B01, Trade, 85278.212, 108, P01, B01, 1
B01, Trade, 85290.423, 112, S04, B01, 1
B01, Trade, 85300.481, 111, S12, B01, 1
B01, Trade, 85311.288, 115, B01, S06, 1
B01, Trade, 85322.558, 108, S02, B01, 1
B01, Trade, 85330.346, 107, S11, B01, 1
B01, Trade, 85340.058, 107, S18, B01, 1
B01, Trade, 85344.346, 107, S04, B01, 1
B01, Trade, 85361.577, 105, S23, B01, 1
B01, Trade, 85368.846, 113, S08, B01, 1
