B00, 100
B00, Trade, 85211.635, 128, B00, S08, 1
B00, Trade, 85218.481, 125, S04, B00, 1
B00, Trade, 85233.231, 130, B00, S08, 1
B00, Trade, 85251.558, 125, S14, B00, 1
B00, Trade, 85254.750, 129, B00, S00, 1
B00, Trade, 85277.500, 125, B00, S05, 1
B00, Trade, 85284.192, 125, B00, S10, 1
B00, Trade, 85295.288, 130, S24, B00, 1
B00, Trade, 85303.885, 126, B00, S23, 1
B00, Trade, 85321.135, 130, B00, S10, 1
B00, Trade, 85328.250, 132, B00, S04, 1
B00, Trade, 85358.923, 131, B00, S08, 1
B00, Trade, 85372.423, 128, B00, S17, 1
B00, Trade, 85379.442, 122, B00, S15, 1
B00, Trade, 85392.577, 133, B00, S17, 1
B00, Trade, 85395.750, 129, S20, B00, 1
B00, Trade, 85407.942, 126, B00, S14, 1
B00, Trade, 85420.173, 135, B00, S20, 1
B00, Trade, 85432.519, 134, S01, B00, 1
B00, Trade, 85440.212, 127, B00, S16, 1
B00, Trade, 85453.135, 124, S13, B00, 1
B00, Trade, 85468.442, 126, B00, S24, 1
B00, Trade, 85479.615, 126, B00, S06, 1
B00, Trade, 85491.308, 125, B00, S16, 1
B00, Trade, 85502.442, 138, S11, B00, 1
B00, Trade, 85510.885, 134, B00, S24, 1
B00, Trade, 85519.192, 125, S11, B00, 1
B00, Trade, 85533.250, 131, B00, S08, 1
B00, Trade, 85537.788, 124, B00, S09, 1
B00, Trade, 85554.385, 130, B00, S07, 1
B00, Trade, 85569.058, 130, B00, S00, 1
B00, Trade, 85581.558, 127, B00, S24, 1
B00, Trade, 85584.077, 127, B00, S22, 1
B00, Trade, 85604.346, 132, B00, S21, 1
B00, Trade, 85606.077, 131, B00, S15, 1
B00, Trade, 85616.846, 132, B00, S07, 1
B00, Trade, 85627.635, 135, S18, B00, 1
B00, Trade, 85635.500, 129, P00, B00, 1
B00, Trade, 85648.288, 126, S03, B00, 1
B00, Trade, 85666.635, 131, B00, S13, 1
B00, Trade, 85672.846, 135, B00, S19, 1
B00, Trade, 85685.212, 135, B00, S21, 1
B00, Trade, 85695.673, 127, B00, S09, 1
B00, Trade, 85704.250, 132, S18, B00, 1
B00, Trade, 85709.788, 129, B00, S12, 1
B00, Trade, 85718.000, 125, B00, S06, 1
B00, Trade, 85726.538, 135, B00, S24, 1
B00, Trade, 85735.462, 131, S01, B00, 1
B00, Trade, 85753.077, 131, S21, B00, 1
B00, Trade, 85759.096, 131, B00, S17, 1
B00, Trade, 85776.481, 126, B00, S16, 1
B00, Trade, 85789.346, 131, S03, B00, 1
B00, Trade, 85807.385, 125, B00, S15, 1
B00, Trade, 85820.885, 128, B00, S23, 1
B00, Trade, 85831.058, 132, S00, B00, 1
B00, Trade, 85842.615, 129, B00, S15, 1
B00, Trade, 85850.327, 128, B00, S01, 1
B00, Trade, 85856.942, 126, B00, S10, 1
B00, Trade, 85869.135, 128, B00, S21, 1
B00, Trade, 85878.481, 132, B00, S06, 1
B00, Trade, 85888.019, 129, S21, B00, 1
B00, Trade, 85906.231, 129, B00, S17, 1
B00, Trade, 85924.442, 125, B00, S12, 1
B00, Trade, 85931.519, 126, B00, S23, 1
B00, Trade, 85946.731, 130, S20, B00, 1
B00, Trade, 85963.385, 130, S19, B00, 1
B00, Trade, 85973.135, 126, B00, S13, 1
B00, Trade, 85977.327, 134, B00, S19, 1
B00, Trade, 85993.308, 135, B00, S23, 1
B00, Trade, 86001.692, 127, B00, S19, 1
B00, Trade, 86011.288, 126, B00, S14, 1
B00, Trade, 86024.308, 129, B00, S08, 1
B00, Trade, 86034.692, 133, B00, S09, 1
B00, Trade, 86038.462, 133, B00, S01, 1
B00, Trade, 86052.673, 127, B00, S24, 1
B00, Trade, 86053.865, 128, B00, S15, 1
B00, Trade, 86067.404, 123, B00, S12, 1
B00, Trade, 86089.808, 130, B00, S04, 1
B00, Trade, 86100.077, 124, B00, S17, 1
