B00, 100
B00, Trade, 85055.673, 133, S05, B00, 1
B00, Trade, 85063.615, 130, B00, S22, 1
B00, Trade, 85081.846, 134, S03, B00, 1
B00, Trade, 85102.269, 128, S18, B00, 1
B00, Trade, 85117.000, 130, S13, B00, 1
B00, Trade, 85139.673, 125, B00, S03, 1
B00, Trade, 85162.654, 135, S00, B00, 1
B00, Trade, 85187.846, 128, B00, S16, 1
B00, Trade, 85199.135, 130, S18, B00, 1
B00, Trade, 85229.750, 136, S10, B00, 1
B00, Trade, 85234.808, 138, S03, B00, 1
B00, Trade, 85255.942, 126, B00, S10, 1
B00, Trade, 85264.596, 126, B00, S02, 1
B00, Trade, 85273.288, 132, B00, S11, 1
B00, Trade, 85292.654, 133, S19, B00, 1
B00, Trade, 85297.500, 130, B00, S05, 1
B00, Trade, 85311.942, 130, B00, S14, 1
B00, Trade, 85318.827, 135, S03, B00, 1
B00, Trade, 85333.654, 131, B00, S11, 1
B00, Trade, 85343.577, 126, B00, S09, 1
B00, Trade, 85353.365, 123, B00, S23, 1
B00, Trade, 85360.558, 127, P00, B00, 1
B00, Trade, 85379.115, 123, B00, S10, 1
B00, Trade, 85423.673, 130, S12, B00, 1
B00, Trade, 85436.058, 126, B00, S01, 1
B00, Trade, 85450.731, 135, S08, B00, 1
B00, Trade, 85474.308, 134, S17, B00, 1
B00, Trade, 85493.731, 126, B00, S12, 1
B00, Trade, 85501.038, 128, S15, B00, 1
B00, Trade, 85516.673, 134, S11, B00, 1
B00, Trade, 85528.712, 125, B00, S20, 1
B00, Trade, 85540.135, 122, B00, S06, 1
B00, Trade, 85559.519, 128, B00, S16, 1
B00, Trade, 85567.038, 130, B00, S19, 1
B00, Trade, 85582.577, 122, P00, B00, 1
B00, Trade, 85591.038, 133, B00, S00, 1
B00, Trade, 85598.462, 138, S12, B00, 1
B00, Trade, 85605.788, 131, P00, B00, 1
B00, Trade, 85620.846, 133, B00, S05, 1
B00, Trade, 85637.365, 130, B00, S06, 1
B00, Trade, 85644.519, 126, B00, S00, 1
B00, Trade, 85649.096, 131, S02, B00, 1
B00, Trade, 85676.923, 125, B00, S12, 1
B00, Trade, 85684.865, 130, S10, B00, 1
B00, Trade, 85699.654, 128, B00, S18, 1
B00, Trade, 85725.288, 126, B00, S12, 1
B00, Trade, 85731.500, 133, S23, B00, 1
B00, Trade, 85743.231, 128, B00, S05, 1
B00, Trade, 85754.635, 128, B00, S11, 1
B00, Trade, 85759.615, 132, S08, B00, 1
B00, Trade, 85780.000, 127, B00, S17, 1
B00, Trade, 85781.673, 128, S22, B00, 1
B00, Trade, 85791.135, 130, S05, B00, 1
B00, Trade, 85802.442, 127, B00, S14, 1
B00, Trade, 85813.385, 129, S03, B00, 1
B00, Trade, 85829.808, 139, S23, B00, 1
B00, Trade, 85844.635, 127, B00, S22, 1
B00, Trade, 85846.404, 133, P00, B00, 1
B00, Trade, 85862.731, 132, B00, S23, 1
B00, Trade, 85873.769, 133, B00, S16, 1
B00, Trade, 85882.269, 129, B00, S23, 1
B00, Trade, 85890.058, 131, S18, B00, 1
B00, Trade, 85894.154, 136, B00, S05, 1
B00, Trade, 85917.692, 128, B00, S06, 1
B00, Trade, 85918.519, 135, S04, B00, 1
B00, Trade, 85940.615, 135, S00, B00, 1
B00, Trade, 85946.173, 129, S04, B00, 1
B00, Trade, 85958.577, 121, B00, S20, 1
B00, Trade, 85977.115, 128, S00, B00, 1
B00, Trade, 85992.769, 132, S17, B00, 1
B00, Trade, 85997.558, 129, P00, B00, 1
B00, Trade, 86021.038, 130, S14, B00, 1
B00, Trade, 86028.327, 130, B00, S19, 1
B00, Trade, 86046.115, 127, B00, S20, 1
B00, Trade, 86050.692, 129, S24, B00, 1
B00, Trade, 86062.423, 130, S15, B00, 1
B00, Trade, 86067.750, 133, B00, S17, 1
B00, Trade, 86081.577, 132, P00, B00, 1
B00, Trade, 86087.500, 132, B00, S06, 1
B00, Trade, 86099.135, 134, S24, B00, 1
B00, Trade, 86120.750, 134, B00, S03, 1
B00, Trade, 86127.308, 132, S17, B00, 1
B00, Trade, 86152.058, 123, B00, S20, 1
B00, Trade, 86176.365, 136, P00, B00, 1
B00, Trade, 86200.577, 122, B00, S23, 1
B00, Trade, 86202.000, 131, S12, B00, 1
B00, Trade, 86207.808, 126, S04, B00, 1
B00, Trade, 86219.019, 128, B00, S04, 1
B00, Trade, 86242.558, 135, S20, B00, 1
B00, Trade, 86244.962, 126, S14, B00, 1
B00, Trade, 86265.462, 135, B00, S21, 1
B00, Trade, 86288.173, 131, P00, B00, 1
B00, Trade, 86298.058, 128, B00, S16, 1
B00, Trade, 86310.500, 129, P00, B00, 1
B00, Trade, 86322.654, 130, B00, S24, 1
B00, Trade, 86343.942, 132, S19, B00, 1
B00, Trade, 86351.673, 123, B00, S22, 1
B00, Trade, 86365.308, 132, S06, B00, 1
B00, Trade, 86385.096, 135, S12, B00, 1
B00, Trade, 86388.962, 130, S08, B00, 1
B01, 100
B01, Trade, 85173.269, 123, B01, S22, 1
B01, Trade, 85189.808, 135, S07, B01, 1
B01, Trade, 85201.577, 125, B01, S12, 1
B01, Trade, 85206.019, 124, B01, S09, 1
B01, Trade, 85237.308, 130, B01, S11, 1
B01, Trade, 85246.481, 126, S13, B01, 1
B01, Trade, 85267.038, 124, B01, S01, 1
B01, Trade, 85267.981, 124, B01, P00, 1
B01, Trade, 85283.346, 131, S23, B01, 1
B01, Trade, 85294.615, 127, B01, S19, 1
B01, Trade, 85305.865, 131, B01, S22, 1
B01, Trade, 85319.269, 135, P00, B01, 1
B01, Trade, 85334.212, 132, S24, B01, 1
B01, Trade, 85338.577, 130, S04, B01, 1
B01, Trade, 85344.885, 129, B01, S03, 1
B01, Trade, 85355.423, 126, S03, B01, 1
B01, Trade, 85373.442, 127, B01, S07, 1
B01, Trade, 85384.692, 124, B01, S23, 1
B01, Trade, 85396.827, 130, S03, B01, 1
B01, Trade, 85407.038, 130, B01, S16, 1
B01, Trade, 85421.346, 130, B01, S04, 1
B01, Trade, 85432.519, 126, B01, S05, 1
B01, Trade, 85443.096, 132, S04, B01, 1
B01, Trade, 85447.769, 133, S12, B01, 1
B01, Trade, 85465.577, 130, B01, S20, 1
B01, Trade, 85476.346, 126, B01, S05, 1
B01, Trade, 85480.962, 129, B01, S03, 1
B01, Trade, 85492.462, 126, B01, S09, 1
B01, Trade, 85517.019, 125, B01, S00, 1
B01, Trade, 85533.000, 124, B01, S11, 1
B01, Trade, 85537.250, 125, S22, B01, 1
B01, Trade, 85568.173, 130, B01, S16, 1
B01, Trade, 85578.327, 128, B01, S14, 1
B01, Trade, 85590.615, 133, P00, B01, 1
B01, Trade, 85603.519, 135, S17, B01, 1
B01, Trade, 85616.038, 133, S05, B01, 1
B01, Trade, 85636.058, 130, B01, S20, 1
B01, Trade, 85650.885, 128, B01, S20, 1
B01, Trade, 85659.173, 128, S15, B01, 1
B01, Trade, 85678.962, 131, B01, S14, 1
B01, Trade, 85688.731, 124, B01, S09, 1
B01, Trade, 85704.596, 124, S00, B01, 1
B01, Trade, 85716.308, 130, B01, S01, 1
B01, Trade, 85727.942, 130, B01, S06, 1
B01, Trade, 85742.077, 131, B01, S14, 1
B01, Trade, 85750.788, 132, B01, S06, 1
B01, Trade, 85758.769, 128, S05, B01, 1
B01, Trade, 85773.904, 130, B01, S07, 1
B01, Trade, 85782.558, 124, B01, S01, 1
B01, Trade, 85783.327, 127, B01, S06, 1
B01, Trade, 85803.788, 121, B01, S10, 1
B01, Trade, 85815.904, 129, B01, S18, 1
B01, Trade, 85828.769, 126, B01, S17, 1
B01, Trade, 85840.481, 128, B01, S23, 1
B01, Trade, 85858.615, 133, B01, S20, 1
B01, Trade, 85874.462, 130, B01, S05, 1
B01, Trade, 85889.500, 130, B01, S02, 1
B01, Trade, 85894.981, 135, S04, B01, 1
B01, Trade, 85913.442, 132, B01, S23, 1
B01, Trade, 85920.481, 133, S07, B01, 1
B01, Trade, 85929.962, 130, B01, S07, 1
B01, Trade, 85941.250, 134, B01, S14, 1
B01, Trade, 85944.442, 126, B01, S14, 1
B01, Trade, 85968.077, 120, B01, S14, 1
B01, Trade, 85979.115, 126, B01, S22, 1
B01, Trade, 85999.096, 127, S02, B01, 1
B01, Trade, 86004.788, 122, S16, B01, 1
B01, Trade, 86021.923, 130, B01, S22, 1
B01, Trade, 86041.173, 129, B01, S17, 1
B01, Trade, 86044.865, 131, S18, B01, 1
B01, Trade, 86055.827, 135, B01, S05, 1
B01, Trade, 86070.154, 128, B01, S20, 1
B01, Trade, 86074.308, 127, B01, S14, 1
B01, Trade, 86091.019, 123, B01, S20, 1
B01, Trade, 86108.981, 127, B01, S19, 1
B01, Trade, 86112.269, 131, S07, B01, 1
B01, Trade, 86114.769, 130, S12, B01, 1
B01, Trade, 86131.288, 137, B01, S16, 1
B01, Trade, 86138.481, 137, S04, B01, 1
B01, Trade, 86146.019, 135, B01, S15, 1
B01, Trade, 86161.404, 125, P00, B01, 1
B01, Trade, 86165.538, 127, S05, B01, 1
B01, Trade, 86184.481, 127, B01, S03, 1
B01, Trade, 86194.404, 129, S24, B01, 1
B01, Trade, 86203.327, 123, B01, S10, 1
B01, Trade, 86221.404, 130, S00, B01, 1
B01, Trade, 86239.481, 129, B01, S10, 1
B01, Trade, 86246.442, 125, B01, S09, 1
B01, Trade, 86253.308, 131, B01, S15, 1
B01, Trade, 86260.596, 133, B01, S08, 1
B01, Trade, 86273.577, 128, B01, S11, 1
B01, Trade, 86274.327, 128, S12, B01, 1
B01, Trade, 86292.519, 130, B01, S14, 1
B01, Trade, 86314.462, 123, B01, S10, 1
B01, Trade, 86320.808, 132, S03, B01, 1
B01, Trade, 86324.923, 140, B01, S22, 1
B01, Trade, 86344.692, 130, S18, B01, 1
B01, Trade, 86378.885, 127, B01, S08, 1
B01, Trade, 86389.019, 127, B01, S01, 1
B01, Trade, 86394.538, 127, B01, S12, 1
B02, 100
B02, Trade, 83924.942, 132, S00, B02, 1
B02, Trade, 83936.500, 136, S04, B02, 1
B02, Trade, 83944.577, 131, S05, B02, 1
B02, Trade, 83976.923, 136, S00, B02, 1
B02, Trade, 84035.788, 128, S13, B02, 1
B02, Trade, 84050.654, 138, P00, B02, 1
B02, Trade, 84080.923, 135, S11, B02, 1
B02, Trade, 84105.558, 129, P00, B02, 1
B02, Trade, 84188.346, 127, B02, S05, 1
B02, Trade, 84207.269, 129, P00, B02, 1
B02, Trade, 84216.962, 129, S19, B02, 1
B02, Trade, 84229.808, 135, S13, B02, 1
B02, Trade, 84254.327, 135, S00, B02, 1
B02, Trade, 84269.712, 134, S17, B02, 1
B02, Trade, 84274.981, 134, S04, B02, 1
B02, Trade, 84287.077, 135, S07, B02, 1
B02, Trade, 84327.346, 132, P00, B02, 1
B02, Trade, 84375.750, 132, S05, B02, 1
B02, Trade, 84394.577, 132, S03, B02, 1
B02, Trade, 84409.923, 134, S24, B02, 1
B02, Trade, 84418.731, 128, B02, S22, 1
B02, Trade, 84484.462, 135, P00, B02, 1
B02, Trade, 84492.077, 129, S04, B02, 1
B02, Trade, 84500.846, 129, B02, S16, 1
B02, Trade, 84526.154, 130, B02, S12, 1
B02, Trade, 84545.731, 137, S00, B02, 1
B02, Trade, 84570.058, 130, S19, B02, 1
B02, Trade, 84581.827, 133, S18, B02, 1
B02, Trade, 84587.038, 131, S22, B02, 1
B02, Trade, 84608.558, 128, P00, B02, 1
B02, Trade, 84668.365, 131, S17, B02, 1
B02, Trade, 84681.385, 123, S00, B02, 1
B02, Trade, 84693.481, 130, S24, B02, 1
B02, Trade, 84737.865, 139, S03, B02, 1
B02, Trade, 84761.942, 126, S12, B02, 1
B02, Trade, 84782.731, 133, B02, S05, 1
B02, Trade, 84805.750, 130, S17, B02, 1
B02, Trade, 84811.404, 130, S08, B02, 1
B02, Trade, 84831.192, 130, B02, S14, 1
B02, Trade, 84850.808, 128, B02, S04, 1
B02, Trade, 84876.577, 135, S14, B02, 1
B02, Trade, 84880.673, 136, B02, S24, 1
B02, Trade, 84893.538, 129, S23, B02, 1
B02, Trade, 84900.615, 128, S02, B02, 1
B02, Trade, 84908.096, 135, S11, B02, 1
B02, Trade, 84930.154, 129, P00, B02, 1
B02, Trade, 84951.962, 137, S07, B02, 1
B02, Trade, 84967.538, 129, S19, B02, 1
B02, Trade, 85009.212, 136, S12, B02, 1
B02, Trade, 85023.923, 128, S19, B02, 1
B02, Trade, 85033.231, 133, S22, B02, 1
B02, Trade, 85049.019, 134, S20, B02, 1
B02, Trade, 85060.192, 133, S23, B02, 1
B02, Trade, 85074.365, 136, S24, B02, 1
B02, Trade, 85090.538, 131, S12, B02, 1
B02, Trade, 85118.115, 127, B02, S12, 1
B02, Trade, 85168.769, 133, B02, S15, 1
B02, Trade, 85182.750, 126, S17, B02, 1
B02, Trade, 85204.596, 126, P00, B02, 1
B02, Trade, 85257.981, 129, B02, S04, 1
B02, Trade, 85283.923, 136, S04, B02, 1
B02, Trade, 85293.808, 133, S20, B02, 1
B02, Trade, 85297.135, 131, S07, B02, 1
B02, Trade, 85323.673, 133, S08, B02, 1
B02, Trade, 85381.115, 125, S18, B02, 1
B02, Trade, 85392.462, 124, S24, B02, 1
B02, Trade, 85419.923, 134, S01, B02, 1
B02, Trade, 85508.692, 126, S23, B02, 1
B02, Trade, 85521.846, 135, S19, B02, 1
B02, Trade, 85532.519, 132, S23, B02, 1
B02, Trade, 85559.827, 131, P00, B02, 1
B02, Trade, 85599.923, 135, B02, S06, 1
B02, Trade, 85608.346, 132, S18, B02, 1
B02, Trade, 85634.019, 133, S00, B02, 1
B02, Trade, 85663.019, 132, S11, B02, 1
B02, Trade, 85712.538, 130, B02, S02, 1
B02, Trade, 85797.135, 122, S12, B02, 1
B02, Trade, 85810.096, 123, B02, S16, 1
B02, Trade, 85813.962, 129, S15, B02, 1
B02, Trade, 85823.327, 131, S16, B02, 1
B02, Trade, 85845.615, 129, S04, B02, 1
B02, Trade, 85857.288, 135, B02, S00, 1
B02, Trade, 85876.538, 132, S04, B02, 1
B02, Trade, 85904.077, 131, S07, B02, 1
B02, Trade, 85918.769, 135, S23, B02, 1
B02, Trade, 85972.673, 124, P00, B02, 1
B02, Trade, 86007.346, 124, S19, B02, 1
B02, Trade, 86020.173, 130, B02, S08, 1
B02, Trade, 86042.173, 132, S06, B02, 1
B02, Trade, 86071.288, 129, S12, B02, 1
B02, Trade, 86095.981, 140, S19, B02, 1
B02, Trade, 86131.365, 139, S19, B02, 1
B02, Trade, 86144.731, 135, S00, B02, 1
B02, Trade, 86163.808, 127, S15, B02, 1
B02, Trade, 86169.731, 137, S24, B02, 1
B02, Trade, 86235.596, 122, S12, B02, 1
B02, Trade, 86272.385, 130, P00, B02, 1
B02, Trade, 86312.250, 128, S16, B02, 1
B02, Trade, 86323.058, 131, S18, B02, 1
B02, Trade, 86395.923, 133, S10, B02, 1
B03, 100
B03, Trade, 85175.500, 125, B03, S04, 1
B03, Trade, 85203.923, 124, B03, S24, 1
B03, Trade, 85213.596, 130, B03, S07, 1
B03, Trade, 85217.250, 132, B03, S24, 1
B03, Trade, 85232.846, 136, S15, B03, 1
B03, Trade, 85248.635, 130, S03, B03, 1
B03, Trade, 85258.519, 130, S13, B03, 1
B03, Trade, 85263.077, 147, S17, B03, 1
B03, Trade, 85281.000, 138, S04, B03, 1
B03, Trade, 85289.346, 131, S07, B03, 1
B03, Trade, 85310.923, 135, B03, S02, 1
B03, Trade, 85320.731, 132, B03, S11, 1
B03, Trade, 85340.231, 129, S08, B03, 1
B03, Trade, 85359.404, 124, S17, B03, 1
B03, Trade, 85368.558, 126, B03, S15, 1
B03, Trade, 85381.038, 122, B03, S02, 1
B03, Trade, 85390.692, 124, S07, B03, 1
B03, Trade, 85401.827, 134, S04, B03, 1
B03, Trade, 85404.846, 134, S03, B03, 1
B03, Trade, 85418.135, 133, S06, B03, 1
B03, Trade, 85434.365, 122, B03, S16, 1
B03, Trade, 85448.481, 132, B03, S09, 1
B03, Trade, 85466.385, 130, S08, B03, 1
B03, Trade, 85477.885, 129, S04, B03, 1
B03, Trade, 85486.846, 135, S16, B03, 1
B03, Trade, 85493.385, 127, P00, B03, 1
B03, Trade, 85506.808, 123, B03, S04, 1
B03, Trade, 85521.192, 133, S18, B03, 1
B03, Trade, 85532.192, 125, B03, S18, 1
B03, Trade, 85540.654, 129, S04, B03, 1
B03, Trade, 85545.788, 132, B03, S01, 1
B03, Trade, 85552.788, 134, S22, B03, 1
B03, Trade, 85572.596, 130, S08, B03, 1
B03, Trade, 85576.827, 135, S24, B03, 1
B03, Trade, 85588.058, 132, S23, B03, 1
B03, Trade, 85595.365, 132, S14, B03, 1
B03, Trade, 85607.038, 129, S03, B03, 1
B03, Trade, 85628.231, 126, B03, S14, 1
B03, Trade, 85630.212, 127, B03, S11, 1
B03, Trade, 85642.635, 132, S15, B03, 1
B03, Trade, 85667.135, 133, S24, B03, 1
B03, Trade, 85687.077, 132, S24, B03, 1
B03, Trade, 85706.808, 122, B03, S10, 1
B03, Trade, 85709.731, 133, S24, B03, 1
B03, Trade, 85721.231, 127, B03, S06, 1
B03, Trade, 85729.558, 133, S02, B03, 1
B03, Trade, 85741.096, 134, S03, B03, 1
B03, Trade, 85754.077, 129, B03, S16, 1
B03, Trade, 85761.231, 136, S17, B03, 1
B03, Trade, 85768.423, 139, B03, S20, 1
B03, Trade, 85777.365, 130, B03, S14, 1
B03, Trade, 85786.077, 127, S14, B03, 1
B03, Trade, 85797.423, 125, S19, B03, 1
B03, Trade, 85814.692, 130, S19, B03, 1
B03, Trade, 85827.288, 135, S08, B03, 1
B03, Trade, 85839.058, 130, S00, B03, 1
B03, Trade, 85859.654, 134, S04, B03, 1
B03, Trade, 85865.750, 136, S24, B03, 1
B03, Trade, 85886.558, 131, S07, B03, 1
B03, Trade, 85911.404, 133, B03, S00, 1
B03, Trade, 85918.173, 129, P00, B03, 1
B03, Trade, 85931.673, 135, S02, B03, 1
B03, Trade, 85941.038, 135, B03, S15, 1
B03, Trade, 85944.596, 134, S10, B03, 1
B03, Trade, 85962.885, 125, S10, B03, 1
B03, Trade, 85974.212, 124, S04, B03, 1
B03, Trade, 85986.250, 129, S01, B03, 1
B03, Trade, 86026.058, 126, B03, S23, 1
B03, Trade, 86041.288, 130, S22, B03, 1
B03, Trade, 86056.327, 130, B03, S16, 1
B03, Trade, 86056.942, 135, S01, B03, 1
B03, Trade, 86076.923, 131, B03, S11, 1
B03, Trade, 86093.596, 136, S04, B03, 1
B03, Trade, 86098.615, 135, B03, S04, 1
B03, Trade, 86112.519, 134, S12, B03, 1
B03, Trade, 86124.058, 124, B03, S05, 1
B03, Trade, 86143.635, 135, S12, B03, 1
B03, Trade, 86149.538, 135, S24, B03, 1
B03, Trade, 86161.788, 125, S07, B03, 1
B03, Trade, 86175.904, 136, S08, B03, 1
B03, Trade, 86197.538, 125, B03, S02, 1
B03, Trade, 86203.615, 127, S19, B03, 1
B03, Trade, 86208.808, 135, S02, B03, 1
B03, Trade, 86220.712, 128, S07, B03, 1
B03, Trade, 86227.346, 128, S09, B03, 1
B03, Trade, 86243.885, 133, S19, B03, 1
B03, Trade, 86249.115, 128, S08, B03, 1
B03, Trade, 86264.519, 135, S03, B03, 1
B03, Trade, 86279.173, 126, B03, S19, 1
B03, Trade, 86293.962, 133, S18, B03, 1
B03, Trade, 86303.442, 134, S07, B03, 1
B03, Trade, 86310.692, 129, S07, B03, 1
B03, Trade, 86315.038, 123, S05, B03, 1
B03, Trade, 86325.981, 139, B03, S16, 1
B03, Trade, 86341.519, 133, P00, B03, 1
B03, Trade, 86351.269, 137, B03, S12, 1
B03, Trade, 86360.442, 131, S13, B03, 1
B03, Trade, 86368.808, 133, S22, B03, 1
B03, Trade, 86385.365, 134, P00, B03, 1
B03, Trade, 86396.442, 134, S24, B03, 1
B04, 100
B04, Trade, 83756.442, 134, S24, B04, 1
B04, Trade, 83782.077, 132, S08, B04, 1
B04, Trade, 83821.250, 128, S07, B04, 1
B04, Trade, 83827.885, 127, S12, B04, 1
B04, Trade, 83861.404, 130, B04, S05, 1
B04, Trade, 83912.788, 137, S01, B04, 1
B04, Trade, 83960.154, 126, B04, S16, 1
B04, Trade, 83979.577, 135, P00, B04, 1
B04, Trade, 84023.269, 134, S22, B04, 1
B04, Trade, 84032.712, 133, S10, B04, 1
B04, Trade, 84035.962, 120, B04, S01, 1
B04, Trade, 84059.615, 132, S13, B04, 1
B04, Trade, 84073.481, 134, S17, B04, 1
B04, Trade, 84100.288, 130, B04, S20, 1
B04, Trade, 84118.231, 134, S17, B04, 1
B04, Trade, 84206.904, 125, B04, S18, 1
B04, Trade, 84229.135, 136, S05, B04, 1
B04, Trade, 84259.288, 130, S05, B04, 1
B04, Trade, 84271.885, 132, S03, B04, 1
B04, Trade, 84289.596, 136, S23, B04, 1
B04, Trade, 84331.500, 126, B04, S01, 1
B04, Trade, 84336.288, 128, P00, B04, 1
B04, Trade, 84360.192, 131, S16, B04, 1
B04, Trade, 84374.442, 128, B04, S00, 1
B04, Trade, 84417.596, 130, S22, B04, 1
B04, Trade, 84445.519, 132, S17, B04, 1
B04, Trade, 84567.577, 136, S02, B04, 1
B04, Trade, 84581.962, 133, S06, B04, 1
B04, Trade, 84600.462, 133, S08, B04, 1
B04, Trade, 84627.654, 126, S08, B04, 1
B04, Trade, 84632.962, 129, S23, B04, 1
B04, Trade, 84675.058, 133, P00, B04, 1
B04, Trade, 84687.750, 136, S04, B04, 1
B04, Trade, 84724.577, 136, S02, B04, 1
B04, Trade, 84767.269, 136, S00, B04, 1
B04, Trade, 84781.769, 134, S03, B04, 1
B04, Trade, 84787.327, 137, S04, B04, 1
B04, Trade, 84803.769, 129, B04, S08, 1
B04, Trade, 84817.385, 129, P00, B04, 1
B04, Trade, 84872.558, 126, B04, S18, 1
B04, Trade, 84876.346, 124, S02, B04, 1
B04, Trade, 84925.712, 135, S24, B04, 1
B04, Trade, 84987.308, 126, S01, B04, 1
B04, Trade, 85000.885, 130, S08, B04, 1
B04, Trade, 85018.731, 128, P00, B04, 1
B04, Trade, 85049.115, 137, S12, B04, 1
B04, Trade, 85062.442, 136, B04, S03, 1
B04, Trade, 85064.942, 130, S06, B04, 1
B04, Trade, 85150.904, 128, S01, B04, 1
B04, Trade, 85181.404, 122, B04, S11, 1
B04, Trade, 85200.308, 133, B04, S03, 1
B04, Trade, 85246.077, 129, P00, B04, 1
B04, Trade, 85260.885, 129, S19, B04, 1
B04, Trade, 85280.615, 136, S00, B04, 1
