dataset_day,simulation,PT1_profit,PT2_profit
1,1,1434.835,1241.105
1,2,1324.585,1272.84
1,3,1098.525,1854.9850000000001
1,4,387.78999999999996,1009.02
1,5,1032.22,550.815
1,6,1065.365,1563.38
1,7,1403.345,540.4849999999999
1,8,1019.145,1782.38
1,9,1337.61,1130.06
1,10,1080.485,791.1199999999999
2,1,918.655,211.735
2,2,947.0,245.47500000000002
2,3,1155.565,-168.53500000000003
2,4,972.7049999999999,1726.1750000000002
2,5,1244.03,603.325
2,6,1198.475,1180.56
2,7,1067.43,67.67999999999995
2,8,1137.195,1438.33
2,9,919.51,445.34000000000003
2,10,969.9300000000001,248.04999999999995
3,1,754.96,2198.345
3,2,1447.32,2004.1149999999998
3,3,1711.8400000000001,1985.935
3,4,1617.4850000000001,1779.3400000000001
3,5,1684.06,2204.74
3,6,1506.79,2572.16
3,7,1982.895,1526.145
3,8,781.5050000000001,1852.7350000000001
3,9,1709.9499999999998,990.075
3,10,1616.13,1947.6950000000002
