B00, 100
B00, Trade, 84981.904, 162, S10, B00, 1
B00, Trade, 84990.019, 158, B00, S10, 1
B00, Trade, 84999.192, 159, S12, B00, 1
B00, Trade, 85019.865, 150, B00, S19, 1
B00, Trade, 85037.577, 151, S20, B00, 1
B00, Trade, 85065.096, 162, S07, B00, 1
B00, Trade, 85083.904, 151, B00, S22, 1
B00, Trade, 85102.250, 159, B00, S11, 1
B00, Trade, 85133.212, 159, S09, B00, 1
B00, Trade, 85147.981, 154, B00, S23, 1
B00, Trade, 85156.058, 155, B00, S05, 1
B00, Trade, 85167.442, 151, S11, B00, 1
B00, Trade, 85186.788, 157, B00, S15, 1
B00, Trade, 85209.481, 155, P01, B00, 1
B00, Trade, 85217.846, 153, S14, B00, 1
B00, Trade, 85237.615, 152, B00, S13, 1
B00, Trade, 85240.788, 156, B00, S10, 1
B00, Trade, 85247.558, 148, B00, S05, 1
B00, Trade, 85259.019, 161, P01, B00, 1
B00, Trade, 85272.519, 152, B00, S05, 1
B00, Trade, 85278.846, 151, B00, S10, 1
B00, Trade, 85293.019, 154, B00, S22, 1
B00, Trade, 85300.308, 162, S17, B00, 1
B00, Trade, 85308.231, 154, B00, S00, 1
B00, Trade, 85315.635, 156, S08, B00, 1
B00, Trade, 85328.231, 157, B00, S07, 1
B00, Trade, 85336.250, 151, B00, S16, 1
B00, Trade, 85357.442, 155, B00, S24, 1
B00, Trade, 85374.404, 160, S01, B00, 1
B00, Trade, 85389.481, 158, S09, B00, 1
B00, Trade, 85409.038, 153, B00, S13, 1
B00, Trade, 85429.558, 155, B00, S14, 1
B00, Trade, 85434.308, 157, B00, S19, 1
B00, Trade, 85461.192, 158, B00, S16, 1
B00, Trade, 85464.346, 156, S12, B00, 1
B00, Trade, 85477.750, 155, S22, B00, 1
B00, Trade, 85502.115, 154, S19, B00, 1
B00, Trade, 85516.365, 151, B00, S04, 1
B00, Trade, 85540.173, 156, S09, B00, 1
B00, Trade, 85552.923, 158, P01, B00, 1
B00, Trade, 85564.712, 155, B00, S22, 1
B00, Trade, 85566.192, 154, B00, S23, 1
B00, Trade, 85580.808, 155, B00, S24, 1
B00, Trade, 85603.288, 156, S14, B00, 1
B00, Trade, 85621.462, 158, B00, S24, 1
B00, Trade, 85641.904, 159, S14, B00, 1
B00, Trade, 85645.173, 155, B00, S24, 1
B00, Trade, 85661.885, 155, B00, S13, 1
B00, Trade, 85678.135, 156, S13, B00, 1
B00, Trade, 85702.192, 158, S00, B00, 1
B00, Trade, 85716.558, 159, S22, B00, 1
B00, Trade, 85736.019, 157, S03, B00, 1
B00, Trade, 85759.904, 149, B00, S19, 1
B00, Trade, 85761.000, 151, S15, B00, 1
