B00, 100
B00, Trade, 85151.846, 168, B00, S11, 1
B00, Trade, 85159.038, 166, S21, B00, 1
B00, Trade, 85170.385, 168, B00, S10, 1
B00, Trade, 85181.019, 167, S06, B00, 1
B00, Trade, 85199.673, 157, B00, S20, 1
B00, Trade, 85202.808, 164, B00, S04, 1
B00, Trade, 85205.558, 171, B00, S04, 1
B00, Trade, 85225.000, 165, B00, S04, 1
B00, Trade, 85231.962, 167, B00, S21, 1
B00, Trade, 85243.692, 165, S06, B00, 1
B00, Trade, 85251.019, 168, S19, B00, 1
B00, Trade, 85261.942, 167, B00, S04, 1
B00, Trade, 85267.058, 168, B00, S22, 1
B00, Trade, 85281.596, 170, S19, B00, 1
B00, Trade, 85285.846, 166, B00, S01, 1
B00, Trade, 85300.692, 164, B00, S03, 1
B00, Trade, 85303.673, 163, B00, S08, 1
B00, Trade, 85320.577, 166, S10, B00, 1
B00, Trade, 85327.000, 169, B00, S05, 1
B00, Trade, 85342.327, 173, B00, S07, 1
B00, Trade, 85354.673, 163, B00, S13, 1
B00, Trade, 85359.981, 169, B00, S22, 1
B00, Trade, 85368.673, 171, S24, B00, 1
B00, Trade, 85382.135, 159, S22, B00, 1
B00, Trade, 85383.731, 169, B00, S10, 1
B00, Trade, 85396.788, 172, S06, B00, 1
B00, Trade, 85406.442, 166, B00, S21, 1
B00, Trade, 85412.846, 165, B00, S08, 1
B00, Trade, 85428.404, 167, S18, B00, 1
B00, Trade, 85436.808, 166, B00, S08, 1
B00, Trade, 85450.692, 168, S12, B00, 1
B00, Trade, 85471.615, 171, S03, B00, 1
B00, Trade, 85480.038, 161, B00, S00, 1
B00, Trade, 85490.019, 172, B00, S00, 1
B00, Trade, 85508.327, 167, B00, S16, 1
B00, Trade, 85520.615, 164, B00, S13, 1
B00, Trade, 85538.423, 161, B00, S04, 1
B00, Trade, 85540.519, 164, B00, S15, 1
B00, Trade, 85548.077, 164, B00, S02, 1
B00, Trade, 85563.327, 165, B00, S12, 1
B00, Trade, 85568.558, 170, S00, B00, 1
B00, Trade, 85581.577, 167, B00, S16, 1
B00, Trade, 85591.846, 174, B00, S06, 1
B00, Trade, 85605.385, 167, B00, S04, 1
B00, Trade, 85621.731, 166, B00, S16, 1
B00, Trade, 85625.308, 165, S22, B00, 1
B00, Trade, 85640.808, 163, B00, S05, 1
B00, Trade, 85654.000, 167, B00, S04, 1
B00, Trade, 85656.519, 166, B00, S24, 1
B00, Trade, 85676.346, 170, B00, S13, 1
B00, Trade, 85695.192, 166, B00, S06, 1
B00, Trade, 85710.462, 162, S11, B00, 1
B00, Trade, 85716.865, 165, S22, B00, 1
B00, Trade, 85726.058, 171, B00, S03, 1
B00, Trade, 85738.212, 168, B00, S09, 1
B00, Trade, 85754.981, 172, B00, S13, 1
B00, Trade, 85788.365, 165, B00, S10, 1
B00, Trade, 85804.346, 171, S12, B00, 1
B00, Trade, 85824.192, 169, B00, S02, 1
B00, Trade, 85833.481, 166, B00, S13, 1
B00, Trade, 85849.327, 167, B00, S08, 1
B00, Trade, 85864.808, 171, S19, B00, 1
B00, Trade, 85870.115, 184, B00, S02, 1
B00, Trade, 85881.308, 167, B00, S03, 1
B00, Trade, 85909.346, 163, B00, S09, 1
B00, Trade, 85912.577, 164, B00, S08, 1
B00, Trade, 85928.808, 163, B00, S05, 1
B00, Trade, 85948.423, 169, B00, S04, 1
B00, Trade, 85963.962, 173, B00, S24, 1
B00, Trade, 85970.673, 174, B00, S19, 1
B00, Trade, 85984.519, 166, B00, S21, 1
B00, Trade, 85991.385, 169, B00, S17, 1
B00, Trade, 86002.654, 175, B00, S13, 1
