dataset_day,simulation,PT1_profit,PT2_profit
1,1,1212.93,721.2650000000001
1,2,1211.72,2150.34
1,3,1165.555,2011.895
1,4,1343.975,678.8399999999999
1,5,1008.155,917.875
1,6,827.74,1675.8449999999998
1,7,1080.52,1538.275
1,8,1253.095,1344.99
1,9,1183.7,460.32500000000005
1,10,1092.015,1685.23
2,1,1361.8,1337.71
2,2,1537.025,1555.17
2,3,1346.185,1086.545
2,4,1278.19,1114.535
2,5,1062.52,1772.9850000000001
2,6,1317.5,812.7149999999999
2,7,1220.73,1056.29
2,8,998.065,1776.0700000000002
2,9,1285.055,1132.925
2,10,1165.31,2532.235
3,1,1520.325,1722.8899999999999
3,2,1337.795,1305.565
3,3,435.17499999999995,2516.74
3,4,590.3299999999999,1768.835
3,5,1300.6,1535.88
3,6,1219.165,2798.025
3,7,329.625,1254.82
3,8,1457.96,2373.915
3,9,1403.3,2390.935
3,10,724.03,1778.4850000000001
