B00, 100
B00, Trade, 85247.654, 172, B00, S07, 1
B00, Trade, 85260.154, 169, B00, S23, 1
B00, Trade, 85263.558, 170, B00, S10, 1
B00, Trade, 85277.846, 168, S07, B00, 1
B00, Trade, 85290.558, 171, S11, B00, 1
B00, Trade, 85298.192, 172, S11, B00, 1
B00, Trade, 85311.154, 169, B00, S23, 1
B00, Trade, 85323.173, 172, B00, S24, 1
B00, Trade, 85328.615, 167, P00, B00, 1
B00, Trade, 85348.923, 167, B00, S24, 1
B00, Trade, 85354.000, 162, B00, S19, 1
B00, Trade, 85370.404, 174, B00, S10, 1
B00, Trade, 85377.942, 168, B00, S00, 1
B00, Trade, 85386.558, 174, B00, S24, 1
B00, Trade, 85405.923, 174, S09, B00, 1
B00, Trade, 85415.750, 172, P00, B00, 1
B00, Trade, 85437.154, 173, B00, S10, 1
B00, Trade, 85447.788, 171, B00, S00, 1
B00, Trade, 85451.481, 175, B00, S06, 1
B00, Trade, 85457.904, 167, S01, B00, 1
B00, Trade, 85467.827, 166, B00, S08, 1
B00, Trade, 85482.615, 162, B00, S20, 1
B00, Trade, 85484.462, 163, B00, S10, 1
B00, Trade, 85495.538, 172, B00, S11, 1
B00, Trade, 85512.385, 166, B00, S06, 1
B00, Trade, 85522.538, 164, B00, S07, 1
B00, Trade, 85532.212, 167, B00, S06, 1
B00, Trade, 85542.038, 175, B00, S18, 1
B00, Trade, 85547.615, 169, B00, S24, 1
B00, Trade, 85555.481, 166, B00, S22, 1
B00, Trade, 85571.885, 168, B00, S15, 1
B00, Trade, 85579.904, 170, B00, S24, 1
B00, Trade, 85592.019, 171, B00, S23, 1
B00, Trade, 85604.750, 168, B00, S04, 1
B00, Trade, 85611.808, 164, B00, S05, 1
B00, Trade, 85617.019, 172, B00, S12, 1
B00, Trade, 85634.731, 169, B00, S05, 1
B00, Trade, 85636.135, 169, B00, S19, 1
B00, Trade, 85653.808, 167, B00, S17, 1
B00, Trade, 85675.115, 167, B00, S05, 1
B00, Trade, 85690.596, 165, B00, S07, 1
B00, Trade, 85694.615, 167, S02, B00, 1
B00, Trade, 85709.731, 172, B00, S17, 1
B00, Trade, 85716.981, 170, B00, S15, 1
B00, Trade, 85726.173, 169, B00, S19, 1
B00, Trade, 85745.558, 174, S05, B00, 1
B00, Trade, 85773.885, 168, B00, S06, 1
B00, Trade, 85778.577, 163, S00, B00, 1
B00, Trade, 85789.115, 171, S08, B00, 1
B00, Trade, 85811.327, 172, B00, S17, 1
B00, Trade, 85821.904, 169, S01, B00, 1
B00, Trade, 85832.846, 168, B00, S10, 1
B00, Trade, 85842.692, 167, B00, S00, 1
B00, Trade, 85846.192, 166, B00, S20, 1
B00, Trade, 85864.077, 173, B00, S14, 1
B00, Trade, 85871.038, 169, B00, S09, 1
B00, Trade, 85877.654, 172, S10, B00, 1
B00, Trade, 85896.250, 169, S13, B00, 1
B00, Trade, 85902.462, 166, B00, S17, 1
B00, Trade, 85921.923, 171, B00, S20, 1
B00, Trade, 85935.481, 173, B00, S16, 1
B00, Trade, 85943.615, 169, B00, S11, 1
B00, Trade, 85946.750, 174, S01, B00, 1
B00, Trade, 85953.385, 176, B00, S23, 1
B00, Trade, 85966.962, 163, S05, B00, 1
B00, Trade, 85975.115, 168, B00, S13, 1
B00, Trade, 85985.885, 166, B00, S00, 1
B00, Trade, 86001.519, 169, B00, S23, 1
B00, Trade, 86012.904, 174, B00, S10, 1
B00, Trade, 86035.404, 171, B00, S07, 1
B00, Trade, 86037.231, 169, B00, S04, 1
B00, Trade, 86049.962, 170, B00, S16, 1
B00, Trade, 86060.635, 170, B00, S11, 1
B00, Trade, 86067.500, 170, B00, S00, 1
B00, Trade, 86082.904, 174, S18, B00, 1
B00, Trade, 86089.404, 167, B00, S19, 1
B00, Trade, 86107.904, 167, B00, S19, 1
B00, Trade, 86112.769, 171, S11, B00, 1
B00, Trade, 86121.019, 167, B00, S17, 1
B00, Trade, 86129.769, 169, B00, S10, 1
B00, Trade, 86145.423, 167, B00, S23, 1
B00, Trade, 86163.365, 168, B00, S04, 1
B00, Trade, 86173.673, 168, B00, S17, 1
B00, Trade, 86185.885, 165, B00, S21, 1
B00, Trade, 86188.000, 171, S17, B00, 1
B00, Trade, 86203.615, 172, B00, S23, 1
B00, Trade, 86218.327, 162, B00, S03, 1
B00, Trade, 86228.308, 165, B00, S17, 1
B00, Trade, 86239.712, 172, S24, B00, 1
B00, Trade, 86245.481, 167, B00, S00, 1
B00, Trade, 86260.827, 172, B00, S04, 1
B00, Trade, 86276.846, 171, B00, S13, 1
B00, Trade, 86289.942, 169, S14, B00, 1
B00, Trade, 86295.308, 171, B00, S01, 1
B00, Trade, 86313.423, 168, B00, S07, 1
B00, Trade, 86320.212, 171, B00, S17, 1
B00, Trade, 86332.865, 168, B00, S14, 1
B00, Trade, 86353.846, 171, B00, S18, 1
B00, Trade, 86357.500, 169, B00, S17, 1
B00, Trade, 86390.154, 164, B00, S19, 1
B01, 100
B01, Trade, 85246.000, 171, S14, B01, 1
B01, Trade, 85265.769, 173, S15, B01, 1
B01, Trade, 85276.365, 174, P00, B01, 1
B01, Trade, 85299.808, 172, B01, S10, 1
B01, Trade, 85306.058, 175, S01, B01, 1
B01, Trade, 85316.404, 174, S13, B01, 1
B01, Trade, 85331.942, 173, S16, B01, 1
B01, Trade, 85338.308, 176, S08, B01, 1
B01, Trade, 85351.365, 164, B01, S16, 1
B01, Trade, 85360.962, 176, S10, B01, 1
B01, Trade, 85365.096, 175, S07, B01, 1
B01, Trade, 85377.731, 172, B01, S15, 1
B01, Trade, 85391.731, 175, S01, B01, 1
B01, Trade, 85399.808, 171, S14, B01, 1
B01, Trade, 85409.058, 171, S15, B01, 1
B01, Trade, 85416.808, 170, B01, S12, 1
B01, Trade, 85431.712, 172, S17, B01, 1
B01, Trade, 85437.769, 179, S07, B01, 1
B01, Trade, 85446.731, 175, S20, B01, 1
B01, Trade, 85458.885, 164, B01, S14, 1
B01, Trade, 85465.423, 166, P00, B01, 1
B01, Trade, 85482.654, 170, S08, B01, 1
B01, Trade, 85489.981, 174, S23, B01, 1
B01, Trade, 85496.788, 175, S07, B01, 1
B01, Trade, 85504.654, 169, S18, B01, 1
B01, Trade, 85522.192, 174, S12, B01, 1
B01, Trade, 85523.558, 173, S01, B01, 1
B01, Trade, 85543.019, 177, S19, B01, 1
B01, Trade, 85560.077, 169, P00, B01, 1
B01, Trade, 85575.365, 168, S09, B01, 1
B01, Trade, 85590.942, 171, B01, S03, 1
B01, Trade, 85595.154, 169, S14, B01, 1
B01, Trade, 85611.250, 168, S24, B01, 1
B01, Trade, 85617.462, 171, B01, S00, 1
B01, Trade, 85632.115, 171, S09, B01, 1
B01, Trade, 85639.904, 177, P00, B01, 1
B01, Trade, 85647.904, 166, S07, B01, 1
B01, Trade, 85654.250, 171, S12, B01, 1
B01, Trade, 85677.250, 165, B01, S19, 1
B01, Trade, 85700.654, 174, P00, B01, 1
B01, Trade, 85705.346, 177, S06, B01, 1
B01, Trade, 85726.442, 167, B01, S16, 1
B01, Trade, 85729.846, 170, S07, B01, 1
B01, Trade, 85736.019, 176, B01, S10, 1
B01, Trade, 85749.788, 176, S11, B01, 1
B01, Trade, 85765.654, 170, B01, S16, 1
B01, Trade, 85783.346, 166, S08, B01, 1
B01, Trade, 85787.404, 170, S20, B01, 1
B01, Trade, 85798.635, 172, S16, B01, 1
