B00, 100
B00, Trade, 85073.635, 164, P00, B00, 1
B00, Trade, 85109.462, 170, B00, S11, 1
B00, Trade, 85119.519, 171, B00, S17, 1
B00, Trade, 85128.846, 174, S23, B00, 1
B00, Trade, 85151.058, 172, S17, B00, 1
B00, Trade, 85170.538, 167, B00, S11, 1
B00, Trade, 85171.673, 172, S16, B00, 1
B00, Trade, 85184.558, 168, B00, S14, 1
B00, Trade, 85197.654, 171, S14, B00, 1
B00, Trade, 85207.962, 165, B00, S03, 1
B00, Trade, 85230.327, 169, S20, B00, 1
B00, Trade, 85242.846, 171, B00, S16, 1
B00, Trade, 85245.923, 177, S17, B00, 1
B00, Trade, 85282.558, 176, B00, S01, 1
B00, Trade, 85303.442, 168, B00, S11, 1
B00, Trade, 85313.962, 168, B00, S01, 1
B00, Trade, 85321.000, 175, S19, B00, 1
B00, Trade, 85332.019, 166, B00, S23, 1
B00, Trade, 85339.885, 168, B00, S03, 1
B00, Trade, 85348.750, 171, B00, S20, 1
B00, Trade, 85365.865, 176, B00, S11, 1
B00, Trade, 85372.788, 176, S22, B00, 1
B00, Trade, 85383.058, 174, S12, B00, 1
B00, Trade, 85404.192, 171, S01, B00, 1
B00, Trade, 85409.346, 176, S03, B00, 1
B00, Trade, 85432.596, 170, B00, S24, 1
B00, Trade, 85437.058, 169, S17, B00, 1
B00, Trade, 85452.327, 176, B00, S01, 1
B00, Trade, 85470.827, 169, B00, S17, 1
B00, Trade, 85483.462, 166, B00, S07, 1
B00, Trade, 85491.346, 166, B00, S06, 1
B00, Trade, 85495.154, 173, S14, B00, 1
B00, Trade, 85522.923, 168, S17, B00, 1
B00, Trade, 85528.942, 171, S05, B00, 1
B00, Trade, 85537.635, 166, B00, S06, 1
B00, Trade, 85549.423, 173, S01, B00, 1
B00, Trade, 85559.788, 175, S08, B00, 1
B00, Trade, 85573.923, 166, B00, S17, 1
B00, Trade, 85588.635, 164, B00, S17, 1
B00, Trade, 85591.231, 175, S03, B00, 1
B00, Trade, 85600.154, 166, B00, S05, 1
B00, Trade, 85615.808, 166, B00, S18, 1
B00, Trade, 85619.596, 171, S14, B00, 1
B00, Trade, 85627.712, 176, S04, B00, 1
B00, Trade, 85635.673, 172, B00, S00, 1
B00, Trade, 85653.250, 169, B00, S11, 1
B00, Trade, 85672.462, 174, S16, B00, 1
B00, Trade, 85680.481, 173, S07, B00, 1
B00, Trade, 85692.385, 167, B00, S13, 1
B00, Trade, 85700.135, 167, B00, S20, 1
