B00, 100
B00, Trade, 85098.462, 164, S15, B00, 1
B00, Trade, 85106.846, 166, B00, S17, 1
B00, Trade, 85122.192, 164, S04, B00, 1
B00, Trade, 85125.538, 165, S11, B00, 1
B00, Trade, 85138.654, 171, S04, B00, 1
B00, Trade, 85150.577, 167, B00, S17, 1
B00, Trade, 85170.885, 161, B00, S03, 1
B00, Trade, 85177.231, 163, S18, B00, 1
B00, Trade, 85188.788, 171, B00, S15, 1
B00, Trade, 85209.135, 172, S23, B00, 1
B00, Trade, 85216.615, 165, B00, S14, 1
B00, Trade, 85234.981, 165, B00, S05, 1
B00, Trade, 85239.500, 169, B00, S01, 1
B00, Trade, 85245.865, 168, S08, B00, 1
B00, Trade, 85264.865, 170, B00, P01, 1
B00, Trade, 85287.712, 169, S11, B00, 1
B00, Trade, 85303.442, 171, B00, S20, 1
B00, Trade, 85308.231, 168, B00, S21, 1
B00, Trade, 85320.885, 161, S00, B00, 1
B00, Trade, 85327.269, 168, S18, B00, 1
B00, Trade, 85340.423, 158, B00, S20, 1
B00, Trade, 85349.308, 170, S22, B00, 1
B00, Trade, 85363.135, 167, S12, B00, 1
B00, Trade, 85371.404, 165, B00, S09, 1
B00, Trade, 85395.904, 159, B00, S24, 1
B00, Trade, 85403.288, 168, B00, S20, 1
B00, Trade, 85417.365, 165, B00, S16, 1
B00, Trade, 85418.154, 171, S05, B00, 1
B00, Trade, 85436.346, 161, B00, S17, 1
B00, Trade, 85440.654, 170, S18, B00, 1
B00, Trade, 85447.154, 168, S07, B00, 1
B00, Trade, 85460.096, 164, B00, S18, 1
B00, Trade, 85465.250, 163, B00, S12, 1
B00, Trade, 85490.673, 159, B00, S20, 1
B00, Trade, 85517.000, 172, S18, B00, 1
B00, Trade, 85534.827, 165, B00, S09, 1
B00, Trade, 85543.327, 158, B00, S18, 1
B00, Trade, 85547.077, 159, B00, S10, 1
B00, Trade, 85558.981, 165, B00, S08, 1
B00, Trade, 85571.038, 163, B00, S04, 1
B00, Trade, 85572.827, 167, S20, B00, 1
B00, Trade, 85591.327, 164, B00, S01, 1
B00, Trade, 85595.000, 165, S15, B00, 1
B00, Trade, 85612.173, 174, S00, B00, 1
B00, Trade, 85631.423, 164, P01, B00, 1
B00, Trade, 85639.481, 170, S14, B00, 1
B00, Trade, 85644.923, 167, S22, B00, 1
B00, Trade, 85666.423, 163, B00, S04, 1
B00, Trade, 85677.635, 166, B00, S20, 1
B00, Trade, 85681.000, 169, B00, S05, 1
B00, Trade, 85689.962, 165, S05, B00, 1
B00, Trade, 85705.885, 164, B00, S01, 1
B00, Trade, 85716.058, 169, S04, B00, 1
B00, Trade, 85736.885, 164, B00, S06, 1
B00, Trade, 85749.731, 162, S24, B00, 1
B00, Trade, 85765.615, 159, B00, S14, 1
B00, Trade, 85770.769, 170, B00, S22, 1
B00, Trade, 85775.231, 171, B00, S17, 1
B00, Trade, 85792.673, 167, B00, S03, 1
B00, Trade, 85805.673, 167, B00, S03, 1
B00, Trade, 85811.346, 163, B00, S22, 1
B00, Trade, 85824.519, 165, B00, S09, 1
B00, Trade, 85843.865, 170, S22, B00, 1
B00, Trade, 85866.654, 166, S05, B00, 1
B00, Trade, 85881.865, 167, S18, B00, 1
B00, Trade, 85900.962, 171, S13, B00, 1
B00, Trade, 85910.635, 169, B00, S10, 1
B00, Trade, 85924.000, 167, B00, S09, 1
B00, Trade, 85933.577, 165, B00, S14, 1
B00, Trade, 85936.115, 165, S03, B00, 1
B00, Trade, 85960.173, 164, S15, B00, 1
B00, Trade, 85971.385, 164, B00, S21, 1
B00, Trade, 85993.635, 165, S03, B00, 1
B00, Trade, 86008.865, 171, B00, S16, 1
B00, Trade, 86035.865, 174, S18, B00, 1
B00, Trade, 86060.981, 166, B00, S12, 1
B00, Trade, 86075.077, 167, S03, B00, 1
B00, Trade, 86100.192, 174, S12, B00, 1
B00, Trade, 86122.462, 161, B00, S04, 1
B00, Trade, 86135.846, 161, B00, S09, 1
B00, Trade, 86144.731, 169, S13, B00, 1
B00, Trade, 86153.808, 173, S10, B00, 1
B00, Trade, 86173.596, 167, B00, S08, 1
B00, Trade, 86187.058, 171, B00, S02, 1
B00, Trade, 86196.000, 164, B00, S21, 1
B00, Trade, 86203.846, 170, S00, B00, 1
B00, Trade, 86219.962, 173, P01, B00, 1
B00, Trade, 86238.038, 165, B00, S18, 1
B00, Trade, 86251.635, 167, S13, B00, 1
B00, Trade, 86263.250, 168, S24, B00, 1
B00, Trade, 86292.288, 169, S05, B00, 1
B00, Trade, 86303.154, 165, P01, B00, 1
B00, Trade, 86320.788, 164, B00, S08, 1
B00, Trade, 86329.115, 171, S11, B00, 1
B00, Trade, 86342.154, 167, B00, S14, 1
B00, Trade, 86359.308, 165, B00, S03, 1
B00, Trade, 86362.692, 168, S00, B00, 1
B00, Trade, 86374.288, 167, B00, S21, 1
B00, Trade, 86385.231, 166, B00, S21, 1
B00, Trade, 86389.423, 162, B00, S12, 1
B01, 100
B01, Trade, 85285.096, 160, B01, S05, 1
B01, Trade, 85294.308, 181, S23, B01, 1
B01, Trade, 85312.481, 170, S24, B01, 1
B01, Trade, 85322.442, 173, S23, B01, 1
B01, Trade, 85329.558, 168, P01, B01, 1
B01, Trade, 85343.827, 168, S04, B01, 1
B01, Trade, 85358.135, 169, S13, B01, 1
B01, Trade, 85371.865, 165, B01, S24, 1
B01, Trade, 85379.250, 166, S24, B01, 1
B01, Trade, 85382.827, 168, S03, B01, 1
B01, Trade, 85395.962, 167, S04, B01, 1
B01, Trade, 85409.019, 171, S15, B01, 1
B01, Trade, 85414.788, 170, P01, B01, 1
B01, Trade, 85429.577, 166, S10, B01, 1
B01, Trade, 85436.635, 171, S13, B01, 1
B01, Trade, 85447.192, 169, S24, B01, 1
B01, Trade, 85462.712, 166, S11, B01, 1
B01, Trade, 85490.135, 163, P01, B01, 1
B01, Trade, 85497.096, 171, S15, B01, 1
B01, Trade, 85510.673, 168, S17, B01, 1
B01, Trade, 85523.346, 167, B01, S16, 1
B01, Trade, 85528.019, 168, S18, B01, 1
B01, Trade, 85536.192, 163, B01, S19, 1
B01, Trade, 85551.481, 164, S15, B01, 1
B01, Trade, 85561.846, 170, S11, B01, 1
B01, Trade, 85563.885, 172, P01, B01, 1
B01, Trade, 85573.635, 169, B01, S03, 1
B01, Trade, 85583.481, 165, S12, B01, 1
B01, Trade, 85597.654, 167, S22, B01, 1
B01, Trade, 85604.327, 165, S18, B01, 1
B01, Trade, 85619.154, 164, S02, B01, 1
B01, Trade, 85631.750, 162, B01, S03, 1
B01, Trade, 85638.538, 169, S20, B01, 1
B01, Trade, 85650.462, 168, S23, B01, 1
B01, Trade, 85656.308, 170, S14, B01, 1
