dataset_day,simulation,PT1_profit,PT2_profit
1,1,2071.27,2454.945
1,2,2053.65,3558.16
1,3,1831.355,3219.49
1,4,2096.825,3304.3
1,5,2200.28,1895.5349999999999
1,6,1845.255,3550.265
1,7,1937.9699999999998,3082.465
1,8,2250.545,2446.97
1,9,2122.4,2783.205
1,10,2128.195,3635.4049999999997
2,1,1456.725,2047.755
2,2,1662.5100000000002,1479.895
2,3,1472.915,1257.18
2,4,1563.3200000000002,2025.0100000000002
2,5,1604.1149999999998,1565.67
2,6,1599.5300000000002,2544.34
2,7,1525.555,2004.775
2,8,1617.5500000000002,2674.195
2,9,1708.2350000000001,2366.54
2,10,1550.855,1320.415
3,1,1332.54,1821.98
3,2,1283.92,925.56
3,3,1242.28,1960.23
3,4,1137.215,742.4549999999999
3,5,1442.45,748.55
3,6,1151.665,1688.21
3,7,1191.105,1102.58
3,8,1217.775,2740.725
3,9,1306.695,1456.865
3,10,1047.565,1632.665
